number,values_0,params_lambda0,params_lambda1
0,0.02480563335120678,31.489116479568608,6351.221010640702
1,0.028461769223213196,847.1801418819975,248.10409748678117
2,0.025254681706428528,4.207988669606635,4.2070539502879365
3,0.02319289930164814,1.7073967431528116,2915.443189153754
4,0.07791101932525635,253.78155082656647,679.6578090758157
5,0.027573861181735992,1.2087541473056955,7579.479953348006
6,0.08784490078687668,2136.832907235876,7.068974950624602
7,0.06949096918106079,5.337032762603957,5.415244119402537
8,0.08380317687988281,16.480446427978972,125.61043700013555
9,0.07087591290473938,53.42937261279775,14.61896279370496
10,0.027572793886065483,6033.1785306612455,1283.8690919175979
11,0.0652647316455841,59.566414419165056,7757.467485848172
12,0.02726745791733265,1.3360677515366617,1976.2262699444
13,0.0291290283203125,15.69396909081089,37.13740624438134
14,0.04142279550433159,274.9722132780832,1.1290337641647066
15,0.02656233310699463,14.244938630011458,3014.0816146116217
16,0.049713149666786194,4.968033474441876,367.4461535161686
17,0.0661846324801445,265.1760628792379,2832.8407632472686
18,0.051079582422971725,34.13823852854526,9822.768552187994
19,0.023321181535720825,2.480250175422416,989.1396793336546
20,0.0683215782046318,2.4515492694487877,572.989158107108
21,0.04711877182126045,7.488348249004942,3704.964283476694
22,0.0534844696521759,1.9409940328987791,1030.143143108355
23,0.03661522641777992,1.0431828921075252,151.05725745793634
24,0.0710708349943161,2.915183955884295,55.34203534942884
25,0.06192822381854057,11.137430768688413,4669.1971155203555
26,0.029257068410515785,25.85775779563324,1420.2610928904962
27,0.030024757608771324,97.35125945191652,552.100871289373
28,0.036697614938020706,2.7207714989710965,5345.231200202872
29,0.03994802013039589,7.484019160581977,298.6977283347639
30,0.03048074059188366,1290.7627214036975,2306.969478552332
31,0.09228771924972534,3.9848890339603606,24.479622961804555
32,0.03576849028468132,1.7664310600934743,75.77072216043948
33,0.02717306651175022,7.328108418669587,1.0459309296898949
34,0.034302420914173126,499.1678001076384,7.535799866152858
35,0.028466882184147835,3.9607799975017324,879.9180476615694
36,0.029591558501124382,1.044613435299008,3.4780196132837777
37,0.02957025356590748,30.894604454091063,2.01540990702211
38,0.03009912557899952,127.80953585249836,196.41351737567723
39,0.054107651114463806,10.476790916451186,6644.039148739343
40,0.062327396124601364,1.7153925205497993,1685.2192453045297
41,0.0281215813010931,17.138306397102546,3122.926254827262
42,0.027525851503014565,55.5679895313139,5336.63230165248
43,0.047808680683374405,19.51152627609543,2741.572504952721
44,0.028667591512203217,10.746952080881368,787.7540473552882
45,0.02328469417989254,4.5961623532897615,9903.489724625562
46,0.030970947816967964,3.301246610622964,7259.890519648889
47,0.05088166892528534,5.594341913355017,12.717785184553827
48,0.030818192288279533,1.687086531114176,8882.439076512703
49,0.03353660926222801,5097.670010864778,3823.138768923957
