epoch,train_task,kd_pct,si_pct,kl,val_mse
0,0.0002471742283204168,0.0,0.0,0.0,0.0003316488907772647
1,0.00018037392405564337,0.0,0.0,0.0,0.00020368855487906662
2,0.00015521132349833504,0.0,0.0,0.0,0.0005675852916588399
3,0.00014526569037262726,0.0,0.0,0.0,0.00019699176092394678
4,0.0001355282135672074,0.0,0.0,0.0,0.00034433979969460024
5,0.0001253952220491157,0.0,0.0,0.0,0.0002661123118105432
6,0.00012084160665233064,0.0,0.0,0.0,6.671348217145841e-05
7,0.00014707961359801484,0.0,0.0,0.0,0.0004844385513333705
8,0.00011315873555663019,0.0,0.0,0.0,0.0004222359501919359
9,0.0001110492060038511,0.0,0.0,0.0,0.00023317854755015963
10,0.00010792672812889501,0.0,0.0,0.0,0.00012283193409472036
11,0.00010559127618477505,0.0,0.0,0.0,7.88284946137132e-05
12,0.00010646365236166363,0.0,0.0,0.0,8.45450890716814e-05
13,0.000104337860923865,0.0,0.0,0.0,0.00017925856328268204
14,9.737217495163147e-05,0.0,0.0,0.0,0.00014080332803026918
15,9.836314582057397e-05,0.0,0.0,0.0,0.00015143600889270547
16,9.581721580149813e-05,0.0,0.0,0.0,6.20086102005619e-05
17,0.0001004441377229627,0.0,0.0,0.0,0.00015005853610993732
18,9.966883316214923e-05,0.0,0.0,0.0,0.00015320526499076903
19,9.033312501976672e-05,0.0,0.0,0.0,6.889942556594647e-05
20,9.787511756492369e-05,0.0,0.0,0.0,0.00010498851364609224
21,9.393617700767461e-05,0.0,0.0,0.0,0.00012065524164571374
22,9.296684279470107e-05,0.0,0.0,0.0,0.0002712879229755923
23,9.55566582383607e-05,0.0,0.0,0.0,0.0001952139219322996
24,8.470358057556423e-05,0.0,0.0,0.0,0.00014562706446939115
25,9.238918895053413e-05,0.0,0.0,0.0,0.00010274688022412748
26,9.088831865959281e-05,0.0,0.0,0.0,0.00025457730442018933
27,9.08587839727967e-05,0.0,0.0,0.0,0.00028356490152253044
28,8.661039934512546e-05,0.0,0.0,0.0,9.44292691667217e-05
29,8.83134868665415e-05,0.0,0.0,0.0,0.00020096393237213563
30,8.470619133223903e-05,0.0,0.0,0.0,9.700883820724697e-05
31,8.670035505968492e-05,0.0,0.0,0.0,0.00019848231413434583
32,9.912461009982391e-05,0.0,0.0,0.0,0.0001427030275810077
33,8.229620906605428e-05,0.0,0.0,0.0,0.00019433723541922892
34,8.638258167006045e-05,0.0,0.0,0.0,5.1491650019279436e-05
35,8.457484321821069e-05,0.0,0.0,0.0,0.00012221735458064958
36,8.435917359758143e-05,0.0,0.0,0.0,0.0005441880172805997
37,8.660471755570892e-05,0.0,0.0,0.0,0.0001956103803569657
38,8.200760664690036e-05,0.0,0.0,0.0,0.00014424881626915755
39,8.203086700332e-05,0.0,0.0,0.0,0.0001826647898786828
40,8.139122840527857e-05,0.0,0.0,0.0,9.372619361313556e-05
41,7.957863833130344e-05,0.0,0.0,0.0,0.0003089158934111222
42,8.383752776382409e-05,0.0,0.0,0.0,0.00017977320754882065
43,7.693745739008434e-05,0.0,0.0,0.0,0.00018298135359564699
44,7.794464137665143e-05,0.0,0.0,0.0,0.00034824051311618175
45,7.737339624807472e-05,0.0,0.0,0.0,0.00015333295618616437
46,8.222414154169697e-05,0.0,0.0,0.0,0.00018506107839702404
47,7.852032911275906e-05,0.0,0.0,0.0,0.00026511352807699195
48,8.051961488673358e-05,0.0,0.0,0.0,0.00012745499340407413
49,7.69043658248773e-05,0.0,0.0,0.0,0.0001952579713373282
50,7.824048827210178e-05,0.0,0.0,0.0,0.00015551713120387332
51,8.077566035322841e-05,0.0,0.0,0.0,0.00021885242819306421
52,7.818657483739437e-05,0.0,0.0,0.0,0.00020735723038850623
53,7.523621064052158e-05,0.0,0.0,0.0,0.00012621327224168513
54,7.598315899462153e-05,0.0,0.0,0.0,0.00023846428426052855
