epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,ewc_loss
0,0.022722628178652934,0.002242688734258815,0.0001,171.32834148406982,0.022722628178652934,0.0,0.0
1,0.006286736320127151,0.0011379180856852058,0.0001,180.96301698684692,0.006286736320127151,0.0,0.0
2,0.0036614298551898,0.0012390688727040326,0.0001,185.9603955745697,0.0036614298551898,0.0,0.0
3,0.002000044899939399,0.0012031927039660138,0.0001,200.36847639083862,0.002000044899939399,0.0,0.0
4,0.0011192199155552107,0.0005665375589396863,0.0001,200.67600393295288,0.0011192199155552107,0.0,0.0
5,0.0005955853422036899,0.0008916276879009195,0.0001,177.9440803527832,0.0005955853422036899,0.0,0.0
6,0.00040951380829276233,0.0005782719125084992,0.0001,169.78662967681885,0.00040951380829276233,0.0,0.0
7,0.000310597298997452,0.00035550235185121364,0.0001,169.83065247535706,0.000310597298997452,0.0,0.0
8,0.00023760573081852072,0.00048508851869992817,0.0001,169.67681455612183,0.00023760573081852072,0.0,0.0
9,0.00020216842111410736,0.00030041902825621167,0.0001,175.43517303466797,0.00020216842111410736,0.0,0.0
10,0.0001887565959061887,0.00035374662460088235,0.0001,172.0289764404297,0.0001887565959061887,0.0,0.0
11,0.0001652697598189359,0.0002646351412472052,0.0001,191.61175227165222,0.0001652697598189359,0.0,0.0
12,0.00014900453602304236,0.0002829160222399742,0.0001,173.31146836280823,0.00014900453602304236,0.0,0.0
13,0.00021937661918973282,0.0003063399599260798,0.0001,170.589106798172,0.00021937661918973282,0.0,0.0
14,0.00013703899349367966,0.00036347304964429714,0.0001,170.85734391212463,0.00013703899349367966,0.0,0.0
15,0.00013580025245574614,0.0003010053754923768,0.0001,175.52995228767395,0.00013580025245574614,0.0,0.0
16,0.00013259848765292408,0.0003086352945037558,0.0001,192.02448630332947,0.00013259848765292408,0.0,0.0
17,0.00012778746928846074,0.0002714957156822037,5e-05,177.2849531173706,0.00012778746928846074,0.0,0.0
18,0.00010744355579364633,0.00035201468157381377,5e-05,170.64054465293884,0.00010744355579364633,0.0,0.0
19,0.00010335844984303628,0.0003427212581506695,5e-05,171.61567664146423,0.00010335844984303628,0.0,0.0
20,0.00010237193649681902,0.0003932188386701082,5e-05,170.3179895877838,0.00010237193649681902,0.0,0.0
21,0.00010328263817487765,0.0003836332554768734,5e-05,169.20866322517395,0.00010328263817487765,0.0,0.0
22,9.964637527309901e-05,0.0004834810765762883,5e-05,194.9973020553589,9.964637527309901e-05,0.0,0.0
23,9.842183162694116e-05,0.0004978591644828934,2.5e-05,238.02842140197754,9.842183162694116e-05,0.0,0.0
24,9.108518836343229e-05,0.000401651568416479,2.5e-05,245.86055946350098,9.108518836343229e-05,0.0,0.0
25,9.07508505237895e-05,0.0004573783516247691,2.5e-05,257.489470243454,9.07508505237895e-05,0.0,0.0
26,8.98908892990406e-05,0.00045964095572358126,2.5e-05,264.18520975112915,8.98908892990406e-05,0.0,0.0
27,9.078116507815215e-05,0.0004710867187193011,2.5e-05,270.7120113372803,9.078116507815215e-05,0.0,0.0
28,8.767524516867086e-05,0.0005218017172010306,2.5e-05,263.73538970947266,8.767524516867086e-05,0.0,0.0
29,8.71877886217284e-05,0.0004429208184404633,1.25e-05,258.85056471824646,8.71877886217284e-05,0.0,0.0
30,8.434559484515343e-05,0.0005118978256278488,1.25e-05,175.1264624595642,8.434559484515343e-05,0.0,0.0
31,8.334258688456189e-05,0.0004709754361778391,1.25e-05,177.34533047676086,8.334258688456189e-05,0.0,0.0
