epoch,train_loss,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0007671125914168091,0.0021632618655907094,0.28497572126048865,0.0,0.0,0.0,0.0,0.0001,96.80601644515991
1,0.0007279771670908655,0.0017139324219769758,0.2821546957649323,0.029860436121582748,5.5825551366906066e-05,0.12864053350607518,0.003908442540491598,0.0001,96.06908178329468
2,0.0008128150342615396,0.0018804927587513945,0.2735283189965599,0.059729214534322284,0.0001083141862710794,0.21683029237055682,0.011639827695849782,0.0001,91.57027530670166
3,0.0008440025267694766,0.0012624630664952515,0.27690111136291135,0.08958902483125633,0.00016439006749745399,0.2983165992702552,0.023470072479116758,0.0001,82.76001834869385
4,0.0008354978842450137,0.0013596463743066707,0.2860264753831661,0.11943446539524262,0.00022621384190291464,0.3736279449504928,0.03709973123727938,0.0001,86.07628202438354
5,0.000891837755991091,0.0013063945042571794,0.2822499645004423,0.149302100862621,0.0002791596549517151,0.41777343905924635,0.045622732290555,0.0001,89.37767910957336
6,0.0009533419877689916,0.0011175907873736963,0.29016263316910224,0.17913951553676363,0.000344193785294569,0.44181570698126693,0.05443522756832631,0.0001,87.318434715271
7,0.001043400302141777,0.0009805693625917695,0.2745147498049714,0.20904920117376838,0.00038031953049284367,0.44976797204140845,0.058527364994269596,0.0001,103.67480492591858
8,0.0011152116033604019,0.0012039710641388503,0.27954594971495156,0.238894002910193,0.00044239883592291296,0.456936318187353,0.06628444394728687,0.0001,105.2688250541687
9,0.001224472405723995,0.0010410730426044473,0.2871784593693286,0.2687224108391706,0.000511035664331769,0.44521774204537684,0.0729699723783049,0.0001,95.82484006881714
10,0.001210904835835267,0.00048402949438033433,0.281938402344775,0.298605980345571,0.0005576078617716663,0.4840178914538531,0.08059770237219428,0.0001,101.46467661857605
11,0.0016103527929073637,0.0012161990413179391,0.27970689390344244,0.29861647204839,0.0005534111806437877,0.41205267446647276,0.0644147721938307,0.0001,92.27981925010681
12,0.0018566395651884535,0.00023514114722319448,0.2810039501533105,0.2986108303111189,0.0005556678755523182,0.3109183585012986,0.06691980340328445,0.0001,98.07712268829346
13,0.001432297743332003,0.0002045764377139183,0.2824995706037877,0.2986032035665909,0.0005587185733636771,0.40096394986449396,0.08563378866359973,0.0001,112.50061821937561
14,0.0012401777121601402,0.00037612547538369996,0.2769396029793248,0.2986298691178437,0.0005480523528624443,0.4680894058140989,0.09550074160468312,0.0001,126.04235982894897
15,0.001264291044045831,0.0003031381087717025,0.2824436602951721,0.2986041649134127,0.0005583340346349158,0.46206724354423473,0.09773508678704429,0.0001,125.70890355110168
16,0.0012275545590450195,0.0001881519730646405,0.2809428182985948,0.2986110692022777,0.0005555723190890245,0.4750649582741641,0.10141897517910564,0.0001,125.8550271987915
17,0.0012381800319010419,0.0003598401035699675,0.2815967094075558,0.298607739656826,0.0005569041372695381,0.4775558733056207,0.09984696861211505,0.0001,125.21715354919434
18,0.0012549790615559516,0.0006794366848700064,0.2879560914986756,0.2985771727668994,0.0005691308932402559,0.4705426964688046,0.10178521676595079,0.0001,126.50143098831177
19,0.0012081617861049998,0.000380148963580602,0.2795799773622871,0.29861693524444066,0.0005532259022237489,0.49416481305608595,0.10219680481317238,0.0001,127.8200056552887
20,0.0012357391718407183,0.00018908274977353902,0.28070302649792506,0.298611638916244,0.0005553444335025095,0.48332375685614026,0.09727484608374622,0.0001,122.99870157241821
21,0.0012139555913613525,0.000323678985180167,0.28788307844192657,0.298577399147617,0.000569040340953133,0.4760085200108448,0.10363791548249154,0.0001,124.85717344284058
22,0.0013468989481432885,0.00014666291682972926,0.2858642544193485,0.2985868860327241,0.0005652455869104348,0.43092434542012414,0.09616583209220028,0.0001,121.2952926158905
23,0.0011850895232913463,0.0003215334345234757,0.28610671387505626,0.2985857913331507,0.000565683466739692,0.4869578899683499,0.11090701032164293,0.0001,122.28300285339355
24,0.0012663239009045224,0.0003354056734443923,0.28175433988878235,0.29860701014587976,0.0005571959416482471,0.48172532278889735,0.10326672221426221,0.0001,115.09968137741089
25,0.001189269047816934,0.00027727438902858847,0.28310249814727373,0.29860039711427766,0.0005598411542889343,0.5145081973900322,0.1093951687785488,0.0001,113.94057750701904
26,0.0011534682190025246,0.00020949410860417143,0.28192830931512924,0.29860586356201274,0.0005576545751947552,0.5190184614843353,0.10938667511974964,0.0001,109.80588436126709
27,0.0011413555586033172,0.0001459127805964133,0.2792437636637978,0.2986195882229259,0.0005521647108295789,0.5280375299283933,0.10822411064618889,0.0001,100.8255684375763
