alpha,MAE,MAE_smooth
0.01,0.005653494503349066,0.006181119542869673
0.02,0.005653494503349066,0.0057735289145732826
0.03,0.005653494503349066,0.005684358608000284
0.04,0.005653494503349066,0.005651003042589993
0.05,0.005653494503349066,0.0056354767419584985
0.060000000000000005,0.005653494503349066,0.0056266464248212475
0.06999999999999999,0.005653494503349066,0.005621357930984683
0.08,0.005653494503349066,0.005618296878876994
0.09,0.005653494503349066,0.005616735184870199
0.09999999999999999,0.005653494503349066,0.005616333941041886
0.11,0.005653494503349066,0.005616475311141264
0.12,0.005653494503349066,0.0056169192437767945
0.13,0.005653494503349066,0.00561757728734148
0.14,0.005653494503349066,0.0056183947011521325
0.15000000000000002,0.005653494503349066,0.00561923258521931
0.16,0.005653494503349066,0.005620120380568248
0.17,0.005653494503349066,0.0056210397348083856
0.18000000000000002,0.005653494503349066,0.005621942984737246
0.19,0.005653494503349066,0.005622894442983249
0.2,0.005653494503349066,0.005623771982573532
0.21000000000000002,0.005653494503349066,0.005624588499554848
0.22,0.005653494503349066,0.0056253638492705154
0.23,0.005653494503349066,0.0056261226302192465
0.24000000000000002,0.005653494503349066,0.005626852398275313
0.25,0.005653494503349066,0.005627526651750524
0.26,0.005653494503349066,0.005628176330731229
0.27,0.005653494503349066,0.0056288210671923
0.28,0.005653494503349066,0.00562943169757347
0.29000000000000004,0.005653494503349066,0.005630012593643336
0.3,0.005653494503349066,0.005630586169936147
0.31,0.005653494503349066,0.005631152612200311
0.32,0.005653494503349066,0.0056316960730499604
0.33,0.005653494503349066,0.0056322105389879605
0.34,0.005653494503349066,0.005632725436906299
0.35000000000000003,0.005653494503349066,0.005633218359779821
0.36000000000000004,0.005653494503349066,0.005633682912020725
0.37,0.005653494503349066,0.005634125039704699
0.38,0.005653494503349066,0.005634553415345841
0.39,0.005653494503349066,0.005634971401201487
0.4,0.005653494503349066,0.005635386850849841
0.41000000000000003,0.005653494503349066,0.005635796137119679
0.42000000000000004,0.005653494503349066,0.005636194728471761
0.43,0.005653494503349066,0.005636588346144636
0.44,0.005653494503349066,0.005636989439467584
0.45,0.005653494503349066,0.005637392865737901
0.46,0.005653494503349066,0.005637784466951834
0.47000000000000003,0.005653494503349066,0.005638171424833942
0.48000000000000004,0.005653494503349066,0.00563855458792878
0.49,0.005653494503349066,0.0056389373911392305
0.5,0.005653494503349066,0.005639314534770062
