fold,val_loss,RMSE,MAE,MAPE,R²
1,0.0012248387970390478,0.037257407,0.025400717,0.030839419,0.8277977705001831
2,0.001614613856739432,0.0426854,0.036175035,0.042302363,0.7347354888916016
3,0.0018702893250919792,0.04798843,0.040874332,0.049825247,0.8199732899665833
4,0.000536147406372801,0.058488894,0.052780174,0.055261053,-3.659123420715332
Average,0.0013114723463108148,0.046605032,0.038807563,0.04455702,-0.31915421783924103
