,eval_task0,eval_task1,eval_task2
after_task0,-0.02909592166543007,-0.07773160189390182,-0.26696062088012695
after_task1,-0.025483388453722,-0.06325770914554596,-0.03179391101002693
after_task2,-0.027207469567656517,-0.07324071228504181,-0.10502791404724121
