number,values_0,values_1,params_alpha1,params_alpha2,params_lambda0,params_lambda1,user_attrs_ACC,user_attrs_BWT
0,-0.028382152318954468,-0.018410013988614082,0.802595566679381,0.6148035553662853,443.0375245218269,1398.196140899406,-0.028382152318954468,-0.018410013988614082
1,-0.056206971406936646,-0.017668602988123894,0.37509772218100595,3.0374980367128455,186.62266976517975,866.3279761354556,-0.056206971406936646,-0.017668602988123894
2,-0.013188319901625315,-0.03350518271327019,1.9161084252463925,0.5711627077804184,7780.1555769014285,141.35935551752303,-0.013188319901625315,-0.03350518271327019
3,-0.060320148865381874,0.005583085119724274,0.06934930622678662,0.07468417772099228,505.9803874660433,5981.221901152558,-0.060320148865381874,0.005583085119724274
4,-0.04952033360799154,-0.014501462690532207,1.800045596455803,2.7478580932058074,11.498870747119451,3146.7304061660097,-0.04952033360799154,-0.014501462690532207
5,-0.047769625981648765,-0.019008547067642212,0.41872484342184035,1.8198196783931937,8626.9052207149,2497.328610406058,-0.047769625981648765,-0.019008547067642212
6,-0.042536765336990356,-0.03018278256058693,0.09675570442797632,3.8753223981709555,22.637229697395483,831.310113377874,-0.042536765336990356,-0.03018278256058693
7,-0.03492074211438497,-0.016392843797802925,0.1690757133910145,1.7678173145744052,367.7434662105215,175.38232373118052,-0.03492074211438497,-0.016392843797802925
8,-0.028643955787022907,-0.021847059950232506,0.05451921640984262,0.8594903371659688,233.58825194833562,507.34320323943354,-0.028643955787022907,-0.021847059950232506
9,-0.03114597002665202,-0.021205034106969833,3.8589234310590297,1.155076112509118,685.9416411328702,709.2543214735832,-0.03114597002665202,-0.021205034106969833
10,-0.03007587045431137,-0.022722601890563965,1.2423169084491192,0.06598131209211099,119.8184512601387,204.6896396312667,-0.03007587045431137,-0.022722601890563965
11,-0.037672591706117,-0.007143779657781124,0.1317452987057806,0.09053627033315538,1000.6913513545575,1027.8118224157008,-0.037672591706117,-0.007143779657781124
12,-0.025762788951396942,-0.025730809196829796,0.6908178411287395,0.37685391491321923,88.36597074694362,123.34805700860018,-0.025762788951396942,-0.025730809196829796
13,-0.029299405713876087,-0.02731483243405819,0.1308348728042723,0.10509669045577205,9228.29595742744,20.2364548436489,-0.029299405713876087,-0.02731483243405819
14,-0.05989911158879598,0.012108088470995426,0.4281456639409115,0.15410658207214736,910.5944026265283,57.527408141166866,-0.05989911158879598,0.012108088470995426
15,-0.05375252664089203,-0.000618545338511467,1.027138914314297,0.09447913469013004,29.985324349454395,21.43509553579854,-0.05375252664089203,-0.000618545338511467
16,-0.03910486896832784,-0.013061733916401863,2.1925851280425617,0.07819384263213897,38.881864731536666,127.69547619045521,-0.03910486896832784,-0.013061733916401863
17,-0.021076152722040813,-0.02247537672519684,4.486306433216252,0.43278520686809063,3264.635677523524,19.422056969726924,-0.021076152722040813,-0.02247537672519684
18,-0.0340267022450765,-0.017822712659835815,1.504863688807365,0.05988879692356143,8516.933662231999,652.4339610666344,-0.0340267022450765,-0.017822712659835815
19,-0.04849244157473246,0.0005199071019887924,0.1955466586125529,0.08638243504108946,70.53763390632231,22.939802981311868,-0.04849244157473246,0.0005199071019887924
20,-0.037804484367370605,-0.011283167637884617,0.06718386692055366,1.2131492751842892,89.93930726120072,174.89966737814592,-0.037804484367370605,-0.011283167637884617
21,-0.025899569193522137,-0.025553718209266663,0.5565012078365317,0.07706390747502063,500.96151379839364,62.54152586876391,-0.025899569193522137,-0.025553718209266663
22,-0.06940628588199615,-0.0023269876837730408,0.21682427816213837,1.0809130601976882,534.3668232660406,6136.045802294313,-0.06940628588199615,-0.0023269876837730408
