epoch,train_task,kd_pct,si_pct,kl,val_mse
0,0.034180290633885176,0.0,0.0,0.0,0.0018105589735385563
1,0.007451909425306393,0.0,0.0,0.0,0.0009682664125505623
2,0.005641080956709424,0.0,0.0,0.0,0.001144908711349235
3,0.004638671395266914,0.0,0.0,0.0,0.0005009434105301385
4,0.003708597376165229,0.0,0.0,0.0,0.0010207831203754199
5,0.002845186315753861,0.0,0.0,0.0,0.00038384924479144836
6,0.0019421338859293834,0.0,0.0,0.0,0.0003466020740066581
7,0.0013745446139404659,0.0,0.0,0.0,0.00023535887788941824
8,0.0011363551059817274,0.0,0.0,0.0,0.0002873056698012691
9,0.0008587046682471622,0.0,0.0,0.0,0.0009257041117799518
10,0.0006458128901347535,0.0,0.0,0.0,0.0009103204335133983
11,0.0005321239077995336,0.0,0.0,0.0,0.0012564984550696987
12,0.00047212422864992634,0.0,0.0,0.0,0.008528246885802804
13,0.00045203152614647126,0.0,0.0,0.0,0.0026869809688438895
14,0.0003381041612583971,0.0,0.0,0.0,0.008834601717429816
15,0.00024410068600834816,0.0,0.0,0.0,0.0032509371502151556
16,0.0001853382732976456,0.0,0.0,0.0,0.0017876560644898116
17,0.00016709421141633605,0.0,0.0,0.0,0.0014942007333308826
18,0.0002049002215764345,0.0,0.0,0.0,0.005722361826316621
19,0.00012736624796186874,0.0,0.0,0.0,0.0009897081058653924
20,0.00011670858213835847,0.0,0.0,0.0,0.0011320191827907356
21,0.00010791537070219369,0.0,0.0,0.0,0.004002249610326576
22,0.00010172310177145643,0.0,0.0,0.0,0.006907040903164641
23,9.68462783928408e-05,0.0,0.0,0.0,0.01113049783288579
24,0.00022405797724145068,0.0,0.0,0.0,0.0008647883764519199
25,9.728141403449673e-05,0.0,0.0,0.0,0.005241052296555266
26,0.00011489074787655878,0.0,0.0,0.0,0.0019420191932621625
27,0.00010919846165791966,0.0,0.0,0.0,0.011501430466613807
