epoch,train_loss,val_loss,lr,time
1,0.026922780103744545,0.0018134370656761837,0.0001,77.59866118431091
2,0.006745607467348937,0.0004934312260627845,0.0001,80.22002530097961
3,0.004987359738376199,0.0007693041065408049,0.0001,79.40796852111816
4,0.00383365375520074,0.00045653226100865853,0.0001,77.38055610656738
5,0.0030281997167322778,0.0006712576882302819,0.0001,80.54259848594666
6,0.0023394634111346285,0.00043766556547606615,0.0001,81.03237438201904
7,0.0017662579663519017,0.0004607749317896105,0.0001,80.02137994766235
8,0.001328664644319659,0.0004103005327609117,0.0001,79.16588735580444
9,0.0009953175955696733,0.00048351683916232066,0.0001,78.16060185432434
10,0.0007663384653259417,0.00039355990881206757,0.0001,77.81648683547974
11,0.0006242132676843726,0.0004084793276872562,0.0001,77.3720178604126
12,0.0005375827115214803,0.00040821773344647407,0.0001,77.91593861579895
13,0.0004835538657935854,0.0004478401722094625,0.0001,77.64471530914307
14,0.00042101324351054195,0.0005070330214092478,0.0001,77.25605583190918
15,0.000307343416258029,0.0004361557014297374,0.0001,77.60921859741211
16,0.0002866804142838929,0.0005371309309478372,5e-05,77.74550557136536
17,0.0002625250858491183,0.0007809538381835841,5e-05,77.78935980796814
18,0.00022968591488922596,0.00044997023912993374,5e-05,77.5341591835022
19,0.0002419563446936069,0.00045846039213610787,5e-05,77.81733965873718
20,0.00024104051219161837,0.0004458310368633421,5e-05,78.20820212364197
21,0.0002031792053183564,0.0007226273725848476,5e-05,77.89210724830627
22,0.00021393849398005656,0.0006884615383369065,2.5e-05,78.5168104171753
23,0.00016277072467890035,0.0006352759767038581,2.5e-05,79.38893961906433
24,0.0001694565416796536,0.0005601268950527936,2.5e-05,78.99844312667847
25,0.0001531378753734641,0.0004597643467576049,2.5e-05,78.81406283378601
26,0.00014391102826364532,0.0004217749965899569,2.5e-05,79.17705464363098
27,0.00012797393526718515,0.0005749064446159363,2.5e-05,79.03297758102417
28,0.0001127504672393406,0.0006594221235668554,1.25e-05,80.06180119514465
29,9.816479020872292e-05,0.0007381598057272585,1.25e-05,79.91005325317383
30,9.271668237939214e-05,0.0008429271180559807,1.25e-05,80.99919486045837
