epoch,train_loss,val_loss,task_loss,kd_loss,ewc_loss,lr
0,0.03811907689453724,0.00037718476094944937,0.03811907689453724,0.0,0.0,0.0001
1,0.007321610231930972,0.001077787931581626,0.007321610231930972,0.0,0.0,0.0001
2,0.00531692843736456,0.00039792218050333585,0.00531692843736456,0.0,0.0,0.0001
3,0.004334980179622231,0.00042492927126472666,0.004334980179622231,0.0,0.0,0.0001
4,0.003410420660062547,0.0003968858745106721,0.003410420660062547,0.0,0.0,0.0001
5,0.0026823776436107807,0.0003922612781336257,0.0026823776436107807,0.0,0.0,0.0001
6,0.0020628947198011453,0.00046298575981535225,0.0020628947198011453,0.0,0.0,5e-05
7,0.0016348291840317113,0.00040652313176995074,0.0016348291840317113,0.0,0.0,5e-05
8,0.0013996415807345651,0.0004251407374071474,0.0013996415807345651,0.0,0.0,5e-05
9,0.0012009991970261822,0.0005084244616446589,0.0012009991970261822,0.0,0.0,5e-05
10,0.0010315202912396157,0.00040422096345708733,0.0010315202912396157,0.0,0.0,5e-05
11,0.0008856507311200889,0.00045691916487615485,0.0008856507311200889,0.0,0.0,5e-05
12,0.0007717222155892042,0.0004064099461128763,0.0007717222155892042,0.0,0.0,2.5e-05
13,0.0006935815633221238,0.00041008541161214116,0.0006935815633221238,0.0,0.0,2.5e-05
14,0.0006565457453039551,0.00042220553164442546,0.0006565457453039551,0.0,0.0,2.5e-05
15,0.0006195757953989209,0.00041290371841065025,0.0006195757953989209,0.0,0.0,2.5e-05
16,0.0005900075292606673,0.00041259322453652387,0.0005900075292606673,0.0,0.0,2.5e-05
17,0.0005606387691560953,0.0004178615198804613,0.0005606387691560953,0.0,0.0,2.5e-05
18,0.0005369932869391651,0.00042819084428973476,0.0005369932869391651,0.0,0.0,1.25e-05
19,0.0005121915305784881,0.00040064733592218554,0.0005121915305784881,0.0,0.0,1.25e-05
20,0.000497304792952037,0.0004157807420013885,0.000497304792952037,0.0,0.0,1.25e-05
