number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_NUM_LAYERS,params_SEQUENCE_LENGTH,params_WEIGHT_DECAY,user_attrs_best_epoch,state
34,0.00041080013496417846,2025-04-15 17:08:34.032291,2025-04-15 18:43:11.569446,0 days 01:34:37.537155,32,0.5,32,0.0001,4,1008,0.0001,14,COMPLETE
35,0.00040789147298221764,2025-04-15 18:43:11.571999,2025-04-15 19:40:10.150558,0 days 00:56:58.578559,32,0.4,64,0.0001,3,1008,0.0001,3,COMPLETE
36,0.000601891505032492,2025-04-15 19:40:10.152189,2025-04-15 21:35:37.623584,0 days 01:55:27.471395,32,0.4,128,0.0001,3,720,0.0001,2,COMPLETE
37,0.0003981794106421141,2025-04-15 21:35:37.625730,2025-04-15 22:53:36.219261,0 days 01:17:58.593531,32,0.5,32,0.0001,4,864,0.0001,15,COMPLETE
38,0.00040789147298221764,2025-04-15 22:53:36.221842,2025-04-16 00:01:29.761194,0 days 01:07:53.539352,32,0.4,64,0.0001,3,1008,0.0001,3,COMPLETE
39,0.0004400622772269938,2025-04-16 00:01:29.766147,2025-04-16 00:40:05.538922,0 days 00:38:35.772775,32,0.5,32,0.0001,3,144,0.0001,5,COMPLETE
40,0.000415764871354656,2025-04-16 00:40:05.541180,2025-04-16 01:38:49.041801,0 days 00:58:43.500621,32,0.30000000000000004,64,0.0001,4,720,0.0001,2,COMPLETE
41,0.00039669200543471304,2025-04-16 01:38:49.048490,2025-04-16 02:44:11.945701,0 days 01:05:22.897211,32,0.4,32,0.0001,3,1008,0.0001,11,COMPLETE
42,0.00039669200543471304,2025-04-16 02:44:11.949615,2025-04-16 03:51:25.143984,0 days 01:07:13.194369,32,0.4,32,0.0001,3,1008,1e-05,11,COMPLETE
43,0.00040004407264304556,2025-04-16 03:51:25.145493,2025-04-16 04:59:13.990052,0 days 01:07:48.844559,32,0.5,32,0.0001,3,1008,0.0001,11,COMPLETE
44,0.000458892984178146,2025-04-16 04:59:13.994570,2025-04-16 05:30:18.803600,0 days 00:31:04.809030,32,0.30000000000000004,32,0.0001,5,288,0.0001,3,COMPLETE
45,0.00036853157821815886,2025-04-16 05:30:18.805036,2025-04-16 06:13:06.257971,0 days 00:42:47.452935,64,0.4,32,0.0001,3,864,0.0001,23,COMPLETE
46,0.00040830318442845623,2025-04-16 06:13:06.260517,2025-04-16 06:45:40.632661,0 days 00:32:34.372144,64,0.30000000000000004,32,0.0001,3,864,0.0001,10,COMPLETE
47,0.00042293551773953667,2025-04-16 06:45:40.634323,2025-04-16 09:34:17.101251,0 days 02:48:36.466928,64,0.5,128,0.0001,4,864,0.0001,4,COMPLETE
48,0.00036853157821815886,2025-04-16 09:34:17.119873,2025-04-16 10:24:49.120934,0 days 00:50:32.001061,64,0.4,32,0.0001,3,864,0.0,23,COMPLETE
49,0.0004157985953092239,2025-04-16 10:24:49.122668,2025-04-16 10:50:04.625607,0 days 00:25:15.502939,64,0.5,32,0.0001,2,432,0.0,20,COMPLETE
