epoch,train_loss,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.006174626778986777,0.010259010730027775,0.2725703110315854,0.49819539959588566,0.08099253022226287,0.4596167345521866,0.040613957966676696,0.0001,89.72964930534363
1,0.006151239057925421,0.007803685626099085,0.2711619482377235,0.4982044121715686,0.08098757330563722,0.47699035521053024,0.04517823940354286,0.0001,90.60254669189453
2,0.006047555435928709,0.007379207779503268,0.2667282042367085,0.4982329796238321,0.08097186120689231,0.47066514477010596,0.042743885558280945,0.0001,84.84511518478394
3,0.006028665009405296,0.007938374120833471,0.2719989503328358,0.49819900881354817,0.08099054515254811,0.4682454907228805,0.040351912921965445,0.0001,79.76981592178345
4,0.00601737582757958,0.006821656760061221,0.2742395441200848,0.49818467768842517,0.08099842727136626,0.4680987565956088,0.043315718141099045,0.0001,80.56482028961182
5,0.006057439640448181,0.007751622085688737,0.27272343252397035,0.49819446218756946,0.08099304579683622,0.46802802701186325,0.044415106454222565,0.0001,82.02307939529419
6,0.006057924643937524,0.008868858824007212,0.2758841774066028,0.4981735542954618,0.08100454513749611,0.4660721233389228,0.04280200540559342,0.0001,80.86824536323547
7,0.006154793219164407,0.010736256698306145,0.26979862348474243,0.49821327880465516,0.08098269665743968,0.46375509676288196,0.04461901290369834,0.0001,80.81633496284485
8,0.006048297616650706,0.011603727803101989,0.2758190847110151,0.49817430190801243,0.08100413395059308,0.46506828285702173,0.042726405702343984,0.0001,80.75760817527771
9,0.006087402793237891,0.005351278470215945,0.27547162720376883,0.4981767496088311,0.0810027877151437,0.46060887313589666,0.04256301776300866,0.0001,80.46067667007446
10,0.0061393068684693465,0.008671165086020427,0.2756005932899911,0.4981760295767503,0.08100318373278742,0.4596449137607653,0.04362870016250427,0.0001,80.73858308792114
11,0.00605409054297657,0.008674988947146425,0.2675039229803027,0.49822820305426413,0.08097448832015489,0.4685770421623339,0.04277183196461568,0.0001,82.46891379356384
12,0.006037266764650594,0.007630555361088742,0.27307400364711293,0.49819250642470914,0.08099412146641041,0.4594498867672915,0.041452197758194906,0.0001,83.41440725326538
13,0.006231633452741112,0.008231019532439168,0.27409080322055135,0.49818563014283074,0.0809979034214431,0.4745275221992739,0.04552793978931797,0.0001,82.20148086547852
14,0.006027057911935666,0.008508261707858277,0.2679985951296844,0.4982250371052235,0.08097622959212757,0.46501854901603984,0.04172642324374768,0.0001,81.55352520942688
15,0.006090297853441674,0.007361926146999367,0.27842432229655417,0.49815816329779883,0.08101301018621038,0.4680595477387789,0.04300157086937021,5e-05,81.50485420227051
16,0.005901011080374774,0.008670392475454262,0.27374364261260903,0.4981882671391679,0.08099645307345724,0.4669918497668395,0.04035252463021238,5e-05,81.46612095832825
17,0.0059260037992493984,0.007167014183068269,0.27383627374852004,0.4981874142973714,0.08099692213644563,0.4705003769870459,0.04117253669329466,5e-05,81.40361833572388
18,0.005903510283502268,0.007163170950137918,0.27836310550500154,0.4981581480883936,0.08101301855138342,0.46417559089028937,0.04142470403473617,5e-05,81.4324209690094
19,0.005854679043508233,0.008207499181526974,0.27144580590569256,0.4982023989322401,0.08098868058726835,0.46787714628185767,0.039471008689073835,5e-05,81.28528380393982
20,0.00603619101463805,0.007431078463914651,0.2723288440292008,0.4981969357123903,0.08099168535818514,0.4559116561471021,0.04144295917849556,5e-05,81.38252687454224
21,0.00589145003350298,0.00838998554112791,0.27460095569696047,0.4981822299813887,0.08099977351023596,0.4611497771327545,0.04129793552527539,2.5e-05,81.36700129508972
22,0.0057814973498880795,0.00710476800382719,0.2728078266507965,0.4981938543435042,0.08099338011107236,0.4657115695615597,0.040870282729911764,2.5e-05,80.30448198318481
23,0.005774321696796311,0.0073545763445455525,0.27438147592814055,0.49818356794146135,0.08099903763219587,0.4665510769254881,0.04065542137480492,2.5e-05,79.992919921875
24,0.005797040003450149,0.008555875347243768,0.27263277393426333,0.49819530218589125,0.08099258379776013,0.4688521501855588,0.041476710295550966,2.5e-05,80.52932024002075
25,0.005789811831520238,0.007105822389711022,0.2731853489111808,0.49819113799958187,0.08099487410022971,0.46567754470025013,0.040653567001650175,2.5e-05,80.58154630661011
26,0.005804984264099732,0.008506172742233746,0.26813421343516625,0.4982242800787605,0.0809766459566817,0.4664748761451414,0.04128645275946807,2.5e-05,80.45638275146484
27,0.005785861166064445,0.006977013014286434,0.27204598673950614,0.49819930010151586,0.0809903849441666,0.46732352308360225,0.04145699287465767,1.25e-05,80.87049412727356
28,0.005758854797930434,0.007633209187243614,0.2718655184092716,0.49819970668957453,0.08099016132073457,0.46570424856385423,0.04087745009965052,1.25e-05,84.76862621307373
29,0.00575655382049991,0.008505992173256299,0.27108965392627105,0.49820509586353245,0.08098719727505768,0.4668796607079889,0.04114643072392775,1.25e-05,85.09390211105347
