epoch,train_loss,val_loss,lr,time
0,0.022722628178652934,0.002242688734258815,0.0001,211.16346263885498
1,0.006286736320127151,0.0011379180856852058,0.0001,213.06639218330383
2,0.0036614298551898,0.0012390688727040326,0.0001,211.19400238990784
3,0.002000044899939399,0.0012031927039660138,0.0001,211.75359416007996
4,0.0011192199155552107,0.0005665375589396863,0.0001,209.29257082939148
5,0.0005955853422036899,0.0008916276879009195,0.0001,210.89941000938416
6,0.00040951380829276233,0.0005782719125084992,0.0001,212.1260209083557
7,0.000310597298997452,0.00035550235185121364,0.0001,223.9649543762207
8,0.00023760573081852072,0.00048508851869992817,0.0001,217.16245985031128
9,0.00020216842111410736,0.00030041902825621167,0.0001,210.13884735107422
10,0.0001887565959061887,0.00035374662460088235,0.0001,214.33929109573364
11,0.0001652697598189359,0.0002646351412472052,0.0001,214.9250292778015
12,0.00014900453602304236,0.0002829160222399742,0.0001,213.6858615875244
13,0.00021937661918973282,0.0003063399599260798,0.0001,215.3620753288269
14,0.00013703899349367966,0.00036347304964429714,0.0001,205.823894739151
15,0.00013580025245574614,0.0003010053754923768,0.0001,208.62564039230347
16,0.00013259848765292408,0.0003086352945037558,0.0001,214.71290683746338
17,0.00012778746928846074,0.0002714957156822037,0.0001,205.20816087722778
18,0.00010744355579364633,0.00035201468157381377,5e-05,202.76206350326538
19,0.00010335844984303628,0.0003427212581506695,5e-05,200.70371389389038
20,0.00010237193649681902,0.0003932188386701082,5e-05,198.53554558753967
21,0.00010328263817487765,0.0003836332554768734,5e-05,197.65317797660828
22,9.964637527309901e-05,0.0004834810765762883,5.000000000000001e-05,195.45619893074036
23,9.842183162694116e-05,0.0004978591644828934,5.000000000000001e-05,193.15712547302246
24,9.781215834336392e-05,0.0003868030836656853,5.000000000000001e-05,193.96305561065674
25,9.680710598624423e-05,0.0004578940464631104,5e-05,193.3163468837738
26,9.618411311929546e-05,0.0004582615655430856,5e-05,192.2901906967163
27,9.624756016780301e-05,0.0004390623875665108,5e-05,191.44189620018005
28,9.457912846130277e-05,0.0005434827411088435,5e-05,221.149653673172
29,9.358987156132173e-05,0.0003163285407604401,5e-05,227.35065388679504
30,9.546033180951076e-05,0.0003410157340201938,5e-05,242.05214262008667
31,9.916649407570009e-05,0.00037735519517101304,5e-05,269.9076461791992
