number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_num_layers,params_sequence_length,params_weight_decay,state
38,0.0037751948701294094,2025-07-16 23:07:48.323193,2025-07-16 23:25:46.542905,0 days 00:17:58.219712,128,0.4,64,2,708,1e-06,COMPLETE
39,0.001507850675222399,2025-07-16 23:25:46.551862,2025-07-16 23:49:50.154669,0 days 00:24:03.602807,128,0.0,64,2,630,0.0001,COMPLETE
40,0.0012600184456310357,2025-07-16 23:49:50.161037,2025-07-17 00:15:39.873484,0 days 00:25:49.712447,128,0.1,64,2,558,0.0001,COMPLETE
41,0.00209792132037225,2025-07-17 00:15:39.878660,2025-07-17 08:59:44.351796,0 days 08:44:04.473136,32,0.4,256,2,786,0.0001,COMPLETE
42,0.0017505953564580273,2025-07-17 08:59:44.361731,2025-07-17 09:26:14.482282,0 days 00:26:30.120551,64,0.4,64,3,948,0.0001,COMPLETE
43,0.0013388686192182678,2025-07-17 09:26:14.487422,2025-07-17 19:16:18.123471,0 days 09:50:03.636049,64,0.4,256,5,882,0.0001,COMPLETE
44,0.0015921787767552513,2025-07-17 19:16:18.130050,2025-07-17 21:30:25.072305,0 days 02:14:06.942255,64,0.4,128,4,834,0.0001,COMPLETE
45,0.002445127021520684,2025-07-17 21:30:25.079635,2025-07-17 22:18:49.085287,0 days 00:48:24.005652,32,0.3,32,2,750,0.0001,COMPLETE
46,0.0025698915982398296,2025-07-17 22:18:49.092064,2025-07-17 22:37:42.131282,0 days 00:18:53.039218,128,0.4,64,5,318,0.0,COMPLETE
47,0.001197457027466675,2025-07-17 22:37:42.142956,2025-07-17 23:47:15.340959,0 days 01:09:33.198003,64,0.5,32,5,792,0.0001,COMPLETE
48,0.001526002812267856,2025-07-17 23:47:15.350312,2025-07-18 01:39:56.174692,0 days 01:52:40.824380,16,0.2,32,5,660,1e-05,COMPLETE
49,0.0035843823999821157,2025-07-18 01:39:56.185222,2025-07-18 02:09:00.564718,0 days 00:29:04.379496,64,0.4,64,2,960,1e-06,COMPLETE
