epoch,train_loss,val_loss
1,0.033787005849831304,0.004554883309443526
2,0.010101682168873532,0.006267474312027998
3,0.004933929666160756,0.005601207755831728
4,0.0024880126344022017,0.004774402673653247
5,0.0012845509941168053,0.003065008180180706
6,0.0009120083404682404,0.001819307716831061
7,0.000635908243858446,0.0017775473349136738
8,0.0005619279375958826,0.001533241882695628
9,0.00040229609103020053,0.0015334465286052305
10,0.0003556256231956436,0.0015286002653258166
11,0.00033065731721838805,0.0013753238432464405
12,0.00031718514331495186,0.0012943294742583334
13,0.00045795699440963784,0.0019277711445841218
14,0.0004362080586142542,0.001401932470189342
15,0.000232293162853035,0.0014317497695396804
16,0.00020730597812267706,0.0017269965897424478
17,0.0002159554177370371,0.0012248387970390478
18,0.00019683387863607185,0.0013391074556871002
19,0.00021080256208737478,0.0014664740811092362
20,0.00020433843943694723,0.0014709320893065963
21,0.00018926691470263823,0.0013267706882152596
22,0.00019546342594750594,0.0014151975091797934
23,0.00019195337397854417,0.0015365711379903908
24,0.0001741806279394491,0.0015150572681048827
25,0.00017051555743278455,0.001321448610764481
26,0.00017167658092344832,0.0014369299265633512
27,0.00016865072797031874,0.0015337680757202018
28,0.0001684703395239514,0.0014196928233742147
29,0.00016877002708867923,0.0013549271531229296
30,0.00016419047738693414,0.0013570723212098764
31,0.00015894567925225323,0.001429395552188526
32,0.0001612454350241268,0.0014407546767072896
33,0.0001601315596347019,0.0015472199343904106
34,0.00016008481588628668,0.001410836118784333
35,0.00016174611191932065,0.0013549274645595199
36,0.00015649887642256436,0.0014175738204803324
37,0.00015689433444326443,0.0013922517214948857
