trained_after_task,evaluated_on_task,trained_task_idx,eval_task_idx,MAE,RMSE,R2,MAE_smooth,RMSE_smooth,R2_smooth,R_value
task0,task0,0,0,0.046181146,0.05303924,-3.469456195831299,0.04609372817606622,0.052968451322757036,-3.4575336230415754,-0.046181146055459976
task0,task1,0,1,0.05212137,0.061594557,-4.86492919921875,0.052117517540014376,0.06154775342388935,-4.8560194238852725,-0.052121371030807495
task0,task2,0,2,0.15861283,0.16168071,-81.3250961303711,0.1585021391456563,0.16151761215997887,-81.15907874219049,-0.15861283242702484
task1,task0,1,0,0.021363966,0.025626421,-0.04336440563201904,0.021325761893237562,0.025582630200686764,-0.039801556680997274,-0.021363966166973114
task1,task1,1,1,0.07723474,0.08016227,-8.93386173248291,0.07731585131466817,0.08019331994141102,-8.941558781976244,-0.07723473757505417
task1,task2,1,2,0.12658101,0.12745287,-50.15816879272461,0.12664938407848786,0.12745217326573774,-50.1576139720174,-0.12658101320266724
task2,task0,2,0,0.06737419,0.0704835,-6.89286994934082,0.06727607072521403,0.07021757533937802,-6.833425814802979,-0.06737419217824936
task2,task1,2,1,0.06656045,0.06929398,-6.422823905944824,0.06636525647516721,0.06872238443858616,-6.300868689215644,-0.06656044721603394
task2,task2,2,2,0.10537497,0.106901884,-34.990386962890625,0.10521835690142453,0.1066945090689987,-34.85088894890011,-0.10537496954202652
