number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_num_layers,params_seq_length,params_weight_decay,state
40,0.0014382512022404238,2025-07-09 06:31:10.790012,2025-07-09 06:55:19.662166,0 days 00:24:08.872154,0.0,32,2,144,0.0,COMPLETE
41,0.0014382512022404238,2025-07-09 06:55:19.682476,2025-07-09 07:14:02.362526,0 days 00:18:42.680050,0.0,32,2,144,0.0,COMPLETE
42,0.0014382512022404238,2025-07-09 07:14:02.386712,2025-07-09 07:41:20.495163,0 days 00:27:18.108451,0.0,32,2,144,0.0,COMPLETE
43,0.0014382512022404238,2025-07-09 07:41:20.509533,2025-07-09 07:57:42.559557,0 days 00:16:22.050024,0.0,32,2,144,0.0,COMPLETE
44,0.0014382512022404238,2025-07-09 07:57:42.574093,2025-07-09 08:26:35.746233,0 days 00:28:53.172140,0.0,32,2,144,0.0,COMPLETE
45,0.0014382512022404238,2025-07-09 08:26:35.789602,2025-07-09 08:44:52.976034,0 days 00:18:17.186432,0.0,32,2,144,0.0,COMPLETE
46,0.0014382512022404238,2025-07-09 08:44:52.997104,2025-07-09 09:04:11.580735,0 days 00:19:18.583631,0.0,32,2,144,0.0,COMPLETE
47,0.0014382512022404238,2025-07-09 09:04:11.612971,2025-07-09 09:24:35.229793,0 days 00:20:23.616822,0.0,32,2,144,0.0,COMPLETE
48,0.0014382512022404238,2025-07-09 09:24:35.248628,2025-07-09 09:42:50.994195,0 days 00:18:15.745567,0.0,32,2,144,0.0,COMPLETE
49,0.004232977584703237,2025-07-09 09:42:51.030014,2025-07-09 09:50:58.883094,0 days 00:08:07.853080,0.0,32,2,864,0.0,COMPLETE
