number,value,datetime_start,datetime_complete,duration,params_lambda1,params_lambda2,user_attrs_val_update1,user_attrs_val_update2,state
0,0.00041076539169212063,2025-06-17 01:38:31.384142,2025-06-17 02:50:41.966639,0 days 01:12:10.582497,138.22518400871286,58.6983007933162,0.005871404952316205,0.00041076539169212063,COMPLETE
1,0.0032671222559330928,2025-06-17 02:50:41.967840,2025-06-17 03:31:12.816649,0 days 00:40:30.848809,138.12974179719106,11.475759219550625,0.006069890034761402,0.0032671222559330928,COMPLETE
2,0.00040779947355183964,2025-06-17 03:31:12.818789,2025-06-17 04:44:38.430436,0 days 01:13:25.611647,3492.2049637110563,10.67763241257709,0.004195908602731606,0.00040779947355183964,COMPLETE
3,0.0006068517339424618,2025-06-17 04:44:38.431799,2025-06-17 06:03:07.235665,0 days 01:18:28.803866,116.0041092539352,5555.59697128455,0.00443708647173269,0.0006068517339424618,COMPLETE
4,0.001127272013810084,2025-06-17 06:03:07.240276,2025-06-17 06:53:18.697417,0 days 00:50:11.457141,56.6513191472326,445.9578144115318,0.004027542440504999,0.001127272013810084,COMPLETE
5,0.0008232645734450349,2025-06-17 06:53:18.699154,2025-06-17 07:44:33.696088,0 days 00:51:14.996934,7399.119137862037,29.71502977526033,0.006936459627692224,0.0008232645734450349,COMPLETE
6,0.0002007182896866803,2025-06-17 07:44:33.697491,2025-06-17 08:48:11.349571,0 days 01:03:37.652080,1781.7137437734068,46.77042797197997,0.0033779366425119813,0.0002007182896866803,COMPLETE
7,0.0008102556194626629,2025-06-17 08:48:11.351524,2025-06-17 10:00:16.241312,0 days 01:12:04.889788,127.3847723523807,4583.204530135329,0.005829141002939952,0.0008102556194626629,COMPLETE
8,0.00047167313497191487,2025-06-17 10:00:16.243487,2025-06-17 11:22:05.423184,0 days 01:21:49.179697,151.39439866546638,16.6606575817367,0.00642561399408854,0.00047167313497191487,COMPLETE
9,0.0005075185358168213,2025-06-17 11:22:05.425635,2025-06-17 12:35:43.686260,0 days 01:13:38.260625,36.23633351312029,275.31399190627354,0.005710475475106754,0.0005075185358168213,COMPLETE
10,0.0016394551398789747,2025-06-17 12:35:43.687212,2025-06-17 13:23:39.403938,0 days 00:47:55.716726,1030.075816581971,143.65173353502146,0.0054348204910372394,0.0016394551398789747,COMPLETE
11,0.0006392840290892392,2025-06-17 13:23:39.405988,2025-06-17 14:19:23.525309,0 days 00:55:44.119321,1813.149617626024,68.5054591846801,0.010198124262882564,0.0006392840290892392,COMPLETE
12,0.0007406992436433414,2025-06-17 14:19:23.527016,2025-06-17 15:38:48.859994,0 days 01:19:25.332978,8704.563158670173,1328.6057965420148,0.007157118139538901,0.0007406992436433414,COMPLETE
13,0.002173478476933583,2025-06-17 15:38:48.862367,2025-06-17 16:39:35.632452,0 days 01:00:46.770085,1355.6597789237821,10.464273706726376,0.004941120610171765,0.002173478476933583,COMPLETE
14,0.0007273483482241838,2025-06-17 16:39:35.634193,2025-06-17 17:36:46.206348,0 days 00:57:10.572155,3276.580584920417,41.051020823995266,0.005095054643491852,0.0007273483482241838,COMPLETE
15,0.0009277675793860535,2025-06-17 17:36:46.208593,2025-06-17 18:30:02.887230,0 days 00:53:16.678637,612.0547575042884,130.30081200864748,0.004897431803745513,0.0009277675793860535,COMPLETE
16,0.0011386415914987726,2025-06-17 18:30:02.888880,2025-06-17 19:30:57.639921,0 days 01:00:54.751041,3164.8218052060383,21.83859572154217,0.005090752825718223,0.0011386415914987726,COMPLETE
17,0.001124718359340747,2025-06-17 19:30:57.641710,2025-06-17 20:26:11.743563,0 days 00:55:14.101853,411.42705758698,111.92679138659012,0.005849607308030613,0.001124718359340747,COMPLETE
18,0.0005436414595709618,2025-06-17 20:26:11.748420,2025-06-17 21:27:47.056854,0 days 01:01:35.308434,3878.875951980558,723.009442268238,0.005823376534972624,0.0005436414595709618,COMPLETE
19,0.0009885825371198401,2025-06-17 21:27:47.060778,2025-06-17 22:30:14.395162,0 days 01:02:27.334384,17.621706808781525,29.666958881894793,0.005766743839563284,0.0009885825371198401,COMPLETE
20,0.0008456523549007395,2025-06-17 22:30:14.396808,2025-06-17 23:39:05.701721,0 days 01:08:51.304913,794.3124561202249,2042.3290778284293,0.005858387043944415,0.0008456523549007395,COMPLETE
21,0.002374659475787059,2025-06-17 23:39:05.703641,2025-06-18 00:29:24.260403,0 days 00:50:18.556762,230.72964462073313,54.4069449861233,0.008733345641753008,0.002374659475787059,COMPLETE
22,0.0005785673078175992,2025-06-18 00:29:24.261914,2025-06-18 01:31:11.177662,0 days 01:01:46.915748,356.4596930969884,68.7060245597844,0.004961284982129054,0.0005785673078175992,COMPLETE
23,0.0010516152751424113,2025-06-18 01:31:11.179080,2025-06-18 02:34:00.592785,0 days 01:02:49.413705,1860.513245740303,21.232612663696308,0.00441681009645598,0.0010516152751424113,COMPLETE
24,0.0005149508664209353,2025-06-18 02:34:00.594126,2025-06-18 03:46:35.189522,0 days 01:12:34.595396,4965.423566697893,229.7408647435263,0.006467006590231717,0.0005149508664209353,COMPLETE
25,0.0005864244014102005,2025-06-18 03:46:35.192131,2025-06-18 04:55:03.341986,0 days 01:08:28.149855,44.2606910086972,41.20215152845047,0.005703222700405683,0.0005864244014102005,COMPLETE
26,0.0004914143361110804,2025-06-18 04:55:03.343700,2025-06-18 06:13:05.185103,0 days 01:18:01.841403,536.5068418242755,14.82329700160623,0.007195253811501549,0.0004914143361110804,COMPLETE
27,0.001319419583271402,2025-06-18 06:13:05.186589,2025-06-18 07:13:37.950487,0 days 01:00:32.763898,1989.0276401599797,106.3363416053534,0.0038130037688255567,0.001319419583271402,COMPLETE
28,0.0006306874398455578,2025-06-18 07:13:37.952408,2025-06-18 08:21:31.174373,0 days 01:07:53.221965,61.85682749388869,29.625209157748312,0.005315306290338932,0.0006306874398455578,COMPLETE
29,0.0006958686232624787,2025-06-18 08:21:31.176431,2025-06-18 09:33:16.994105,0 days 01:11:45.817674,224.2498472799272,11.764359132133052,0.007448230983740619,0.0006958686232624787,COMPLETE
30,0.0005409830929302864,2025-06-18 09:33:16.996905,2025-06-18 10:50:43.199933,0 days 01:17:26.203028,10.894877464996028,530.1873161495225,0.005322334597298826,0.0005409830929302864,COMPLETE
31,0.0005587850576881766,2025-06-18 10:50:43.201917,2025-06-18 12:09:15.319524,0 days 01:18:32.117607,94.45069396227487,17.880513348094958,0.00585384330965951,0.0005587850576881766,COMPLETE
32,0.0011979691316088962,2025-06-18 12:09:15.321533,2025-06-18 13:02:47.332138,0 days 00:53:32.010605,218.43675423379122,11.010174946876983,0.007824220050048954,0.0011979691316088962,COMPLETE
