epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.001203945081793772,0.001203945081793772,0.0,0.0,0.0016150989710168205,0.3037727299236687,0.0,0.0,0.0,0.0,0.0001,124.70694756507874
1,0.0009323859657647766,0.0008708223429227792,4.2818535215131595e-05,1.874508762686585e-05,0.000647822120250258,0.30057701922610175,0.009740669396072498,0.0002411911065827606,0.045923616171131755,0.020104429190427008,0.0001,122.60125231742859
2,0.0009914851419572642,0.000859609207202756,8.310627598545292e-05,4.87696587690553e-05,0.0009939963182374742,0.29739629263491624,0.01948586041972336,0.00047992043815063513,0.08381999131262326,0.04918849179401763,0.0001,120.31918048858643
3,0.0010971842205639965,0.000890438847789956,0.00012567143736741631,8.107393540662418e-05,0.0008836467132120427,0.2999525760650914,0.02922345428253742,0.0007227860017296604,0.1145399605754594,0.07389272821017143,0.0001,121.21186470985413
4,0.0010461643910993296,0.0007636040006498418,0.00016860330365907222,0.00011395708679041567,0.001313586151979287,0.30219859874405675,0.038958549831278125,0.0009670117585263815,0.1611632981331936,0.10892847028626865,0.0001,118.12653923034668
5,0.001204234042908887,0.0008579162219392036,0.0002034415902132472,0.0001428762307564361,0.001272617471645885,0.300642377768986,0.04870330683105629,0.0012059773919804136,0.1689385808441555,0.11864490262317408,0.0001,116.92286729812622
6,0.001066427041143198,0.0006686582546565988,0.00024284208697984507,0.00015492669950675422,0.0011492730651380717,0.30562831984004124,0.058421507729738045,0.0014594013471426286,0.22771561261192422,0.14527641697895669,0.0001,116.98780608177185
7,0.0010949343632068527,0.0006629072877491475,0.0002722634786590085,0.0001597635967986967,0.0009006478437364413,0.29678622979966784,0.06820449798216625,0.001677551098598348,0.24865735135172942,0.1459115743986514,5e-05,123.34423112869263
8,0.001050377049107266,0.000561801655839625,0.0003142180768732429,0.00017435731639439797,0.0010507732482220502,0.3010151916059485,0.07792395602877657,0.0019302906065549418,0.2991478889797739,0.16599497917684639,5e-05,118.05043530464172
9,0.0010340817517859556,0.0005000463488198188,0.00035267346734749714,0.00018136193561863975,0.0006714132303631764,0.30394162465310376,0.08764468802654102,0.002182336518883201,0.3410498896614288,0.17538452381101471,5e-05,107.60922646522522
10,0.001099397024290746,0.0005393657476324462,0.000377900069712684,0.00018213120694561595,0.00034067242287875933,0.30350475251975034,0.09738756019334112,0.002422328339180966,0.34373393902578425,0.16566463517864644,5e-05,116.35899233818054
11,0.0010916549584403766,0.0005397750985079762,0.00038034140114025493,0.00017153845879214536,0.0003480259755916929,0.2966190919387936,0.09743744250736742,0.002395170190433247,0.3484080736312876,0.15713615136894407,5e-05,106.36740446090698
12,0.0011065245747890625,0.000572520458905985,0.0003726352397126377,0.0001613688761704398,0.0003460709055953054,0.30145439260786366,0.09740389800599811,0.002413433307845489,0.3367618290661763,0.14583397409063567,5e-05,114.45575714111328
13,0.0010833761731964763,0.0005421479853939952,0.00037962650878922303,0.00016160167901325793,0.00017622574418476873,0.3008513457966842,0.09740631100138032,0.0024121195659151896,0.35041061284294617,0.14916488197857994,5e-05,94.41573429107666
14,0.0010718263187919014,0.0005331595038786039,0.00038084454455381163,0.00015782227035948576,0.0001276470013286177,0.29749624520322354,0.0974310859089413,0.002398631005132006,0.3553230013824225,0.1472461233620141,5e-05,84.39384245872498
15,0.0010508488687402315,0.0005141976102317995,0.0003801567144847952,0.0001564945440236366,0.0002538203666240707,0.30620818627332486,0.09736946382716499,0.0024321808052100843,0.36176154896615254,0.14892202739985236,5e-05,82.05348825454712
16,0.0010445127483066413,0.0005181678675451322,0.00037570738795676385,0.0001506374928047451,0.00015830680221996533,0.299258992018012,0.09742013907978712,0.002404590945449188,0.3596963163598135,0.14421795526091746,5e-05,83.8560962677002
17,0.0010399340192304319,0.0005079733478596853,0.0003803434526163487,0.0001516172187543979,0.00019431893896149137,0.3001874620403937,0.09741095389672166,0.0024095917673405036,0.36573806182223856,0.1457950369453219,5e-05,83.74729681015015
18,0.0010257662145658805,0.0005005653454591879,0.0003740755302916723,0.0001511253388150203,0.00025902416110645804,0.3062376179424828,0.09736608916536979,0.002434018121076422,0.3646791295909338,0.14732922245735963,5e-05,78.7921667098999
19,0.0010539579887551425,0.0005309055935935149,0.00037671681819253925,0.0001463355769690886,0.00021998578083562214,0.30179470516872164,0.09739764558336131,0.0024168374046144724,0.35743058282378914,0.13884384247794296,5e-05,79.9634006023407
20,0.0010494492680924307,0.0005260035721040407,0.000375647762825858,0.00014779793316253216,0.0002857034686705765,0.30212432688266927,0.0973966129790599,0.002417399600289574,0.35794751994888485,0.14083380460227712,2.5e-05,79.43528366088867
21,0.001001860248611023,0.0004877162234924676,0.0003726096133258933,0.00014153441179266224,0.00032640200939806343,0.3012566832194171,0.09740212251476867,0.0024143999641816193,0.3719177538408959,0.1412716114736414,2.5e-05,79.4622106552124
22,0.0009896172193871234,0.0004772368470717453,0.00037248930192256057,0.0001398910703928176,0.00020095191883286894,0.29942976573194136,0.09741550239345576,0.002407115363563048,0.3763973530626778,0.14135876746309353,2.5e-05,79.16093158721924
23,0.0009993339706245226,0.0004885664660011437,0.00037122993542095385,0.00013953756920242506,0.0002805237977606078,0.30104540453896333,0.09740484057201042,0.0024129201330165607,0.3714773502485439,0.1396305672619361,2.5e-05,79.75285172462463
24,0.0009862366244408965,0.0004718719712017398,0.0003740851858864136,0.00014027946735274314,0.000150780841968757,0.29972860610790325,0.09741588618832636,0.0024069064085778637,0.3793057128642781,0.14223713039684407,2.5e-05,79.05661940574646
