,eval_task0,eval_task1,eval_task2
after_task0,-0.03262455388903618,-0.0938732698559761,-0.06283093243837357
after_task1,-0.026358328759670258,-0.00642055831849575,-0.047969888895750046
after_task2,-0.03234277293086052,-0.05068323388695717,-0.010538755916059017
