,eval_task0,eval_task1,eval_task2
after_task0,-0.031550101935863495,-0.07871115207672119,-1.7590408325195312
after_task1,-0.022752638906240463,-0.009020724333822727,-0.07036533951759338
after_task2,-0.037548262625932693,-0.025851182639598846,-0.010325019247829914
