epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,s,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0020958219027875776,0.0020958219027875776,0.0,0.0,0.0008792585767038717,1.962561046814369,0.4923627148513792,0.0,0.0,0.0,0.0,0.0001,59.80092740058899
1,0.0018229546897904124,0.0018130425387404574,9.858326030846417e-06,5.382501910897131e-08,0.00041249922614975315,1.9610915089779577,0.49304438785435384,0.0004837732244404206,0.0001480418453979219,0.0054078831942772215,2.9526251755143535e-05,0.0001,59.82996392250061
2,0.001643539720160333,0.0016237839960665575,1.9538903038728523e-05,2.168210550467061e-07,0.0006836677574285524,1.963261270970097,0.492707608460193,0.0009681892067457701,0.00029588144757299544,0.011888305952728929,0.00013192322180418888,0.0001,60.58521842956543
3,0.0015626510901859145,0.0015332570215162273,2.8771572931692627e-05,6.224957379945289e-07,0.0006329378658157246,1.9616153428016319,0.4929936866535219,0.001451464821433772,0.0004440798654619629,0.01841202627534056,0.0003983587519338487,0.0001,60.82712507247925
4,0.0012567706606025496,0.001216629783927606,3.894661397821763e-05,1.194262696725799e-06,0.0002819984659944248,1.963385165934067,0.49214127760664794,0.0019385401467601417,0.00059108270758698,0.030989436019730886,0.0009502630306099112,0.0001,60.750463247299194
5,0.0010346686759791167,0.0009842929660460386,4.831015227884001e-05,2.065557654237916e-06,0.00042715006726924264,1.9670878651498378,0.490845598363061,0.0024293573314577484,0.0007369081768007106,0.04669142248181396,0.0019963469487304804,0.0001,60.74429273605347
6,0.0009243592713748122,0.0008621625324998162,5.910145001177179e-05,3.0952888632241315e-06,0.0006796290079861914,1.958330409701565,0.49554346119337567,0.0028883305818706143,0.0008927533132162387,0.06393774784545558,0.003348577721972179,0.0001,60.76391077041626
7,0.0007694774287878015,0.0006966454832977839,6.868293589680006e-05,4.14900959321742e-06,0.0005213063392469736,1.9612202434899442,0.493872253681731,0.003380882510505983,0.0010380329467056105,0.08925919504227685,0.005391983491645199,0.0001,60.92048263549805
8,0.0007750672973588842,0.0006905481403432496,7.908277667613534e-05,5.43638033949917e-06,0.0008599942912079079,1.9639671076848384,0.49215480174399906,0.003876977047944105,0.001182197901307872,0.10203343238144283,0.0070140752396909995,0.0001,60.848387479782104
9,0.0007121711498164955,0.0006162614492963845,8.857156642339644e-05,7.338134096714604e-06,0.0011790346492325703,1.9613085933428378,0.49355711376720146,0.004349555503049234,0.0013337621714833788,0.12436837190922238,0.010303891274738403,0.0001,60.88906168937683
