epoch,train_loss,val_loss,lr,time
0,0.015105166270945278,0.00197601580254577,0.0001,223.36232566833496
1,0.0037324665637990034,0.000666752059534448,0.0001,221.5735583305359
2,0.00199747788899713,0.0008307098970170898,0.0001,221.4308476448059
3,0.0010528210967774834,0.0009794470506783199,0.0001,221.26551461219788
4,0.0006149493861956918,0.0009649797751139637,0.0001,221.5825378894806
5,0.0004073709261895597,0.0008333419227176617,0.0001,221.47670674324036
6,0.0003142556586785766,0.0008423070856916883,0.0001,222.06028604507446
7,0.00025017461059482175,0.0009661831716682903,0.0001,221.73768997192383
8,0.00019693095514045878,0.0008754658603670754,5e-05,222.726491689682
9,0.00018144434578957761,0.0006114809029311868,5e-05,208.67427563667297
10,0.00016240191027502369,0.0006532492329026865,5e-05,189.41096425056458
11,0.0001589085433842406,0.00048026056716871156,5e-05,220.02568793296814
12,0.00014700206055320842,0.0004333921007529694,5e-05,219.5009503364563
13,0.00014119187345228469,0.0006160361513916055,5e-05,212.2694957256317
14,0.00013700401891335784,0.0006273291657721174,5e-05,221.1477553844452
15,0.00016559979240390158,0.00045677038164968696,5e-05,242.9381082057953
16,0.00013173371237648067,0.0006413829319590067,5e-05,219.09841799736023
17,0.00013027012654679042,0.0008253730445525206,5e-05,220.14719414710999
18,0.00015859839885013554,0.0007325066813427372,5e-05,219.19085931777954
19,0.00011694470317619086,0.0006964947378165986,2.5e-05,230.11892533302307
20,0.00011588063975977381,0.0006635497003974603,2.5e-05,244.2783763408661
21,0.00011705917557092567,0.0006881705497213364,2.5e-05,241.669597864151
22,0.00011669829985204495,0.0007035037920457109,2.5e-05,233.53715348243713
23,0.00011342425350048545,0.0006105607793196176,2.5e-05,234.65163779258728
24,0.00011467772859857076,0.0005680164674413543,2.5e-05,244.09677004814148
25,0.00010846706624715711,0.000659300247131411,1.25e-05,246.08112573623657
26,0.00010707693916909421,0.0006240729411112116,1.25e-05,242.5375304222107
27,0.00010650434986531013,0.0005990381413662684,1.25e-05,255.86687207221985
28,0.00010695260244513546,0.0005986105778816782,1.25e-05,224.49861407279968
29,0.00010672611045495713,0.0005857501332069675,1.25e-05,215.7732231616974
30,0.00010630235221068703,0.0005446203244165827,1.25e-05,222.1080198287964
31,0.00010381184975406173,0.0005791053883264071,6.25e-06,223.9659194946289
32,0.00010242053517938502,0.0006150161461724474,6.25e-06,229.17850637435913
