number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_NUM_LAYERS,params_SEQUENCE_LENGTH,params_WEIGHT_DECAY,user_attrs_best_epoch,state
34,0.00041080013496417846,2025-04-08 18:22:38.875232,2025-04-08 19:50:10.255723,0 days 01:27:31.380491,32,0.5,32,0.0001,4,1008,0.0001,14,COMPLETE
35,0.00040789147298221764,2025-04-08 19:50:10.258528,2025-04-08 21:02:05.901423,0 days 01:11:55.642895,32,0.4,64,0.0001,3,1008,0.0001,3,COMPLETE
36,0.000601891505032492,2025-04-08 21:02:05.903879,2025-04-08 23:02:23.573367,0 days 02:00:17.669488,32,0.4,128,0.0001,3,720,0.0001,2,COMPLETE
37,0.0003981794106421141,2025-04-08 23:02:23.578443,2025-04-09 00:42:26.366740,0 days 01:40:02.788297,32,0.5,32,0.0001,4,864,0.0001,15,COMPLETE
38,0.00040789147298221764,2025-04-09 00:42:26.375310,2025-04-09 01:44:46.027699,0 days 01:02:19.652389,32,0.4,64,0.0001,3,1008,0.0001,3,COMPLETE
39,0.0004400622772269938,2025-04-09 01:44:46.030581,2025-04-09 02:34:55.330734,0 days 00:50:09.300153,32,0.5,32,0.0001,3,144,0.0001,5,COMPLETE
40,0.000415764871354656,2025-04-09 02:34:55.345495,2025-04-09 03:29:16.331708,0 days 00:54:20.986213,32,0.30000000000000004,64,0.0001,4,720,0.0001,2,COMPLETE
41,0.00039669200543471304,2025-04-09 03:29:16.334471,2025-04-09 04:24:12.419750,0 days 00:54:56.085279,32,0.4,32,0.0001,3,1008,0.0001,11,COMPLETE
42,0.00039669200543471304,2025-04-09 04:24:12.421449,2025-04-09 05:18:27.526462,0 days 00:54:15.105013,32,0.4,32,0.0001,3,1008,1e-05,11,COMPLETE
43,0.00040004407264304556,2025-04-09 05:18:27.531445,2025-04-09 06:34:14.812333,0 days 01:15:47.280888,32,0.5,32,0.0001,3,1008,0.0001,11,COMPLETE
44,0.000458892984178146,2025-04-09 06:34:14.859058,2025-04-09 07:08:17.486290,0 days 00:34:02.627232,32,0.30000000000000004,32,0.0001,5,288,0.0001,3,COMPLETE
45,0.00036853157821815886,2025-04-09 07:08:17.488685,2025-04-09 08:02:16.109739,0 days 00:53:58.621054,64,0.4,32,0.0001,3,864,0.0001,23,COMPLETE
46,0.00040830318442845623,2025-04-09 08:02:16.122067,2025-04-09 08:41:32.985855,0 days 00:39:16.863788,64,0.30000000000000004,32,0.0001,3,864,0.0001,10,COMPLETE
47,0.00042293551773953667,2025-04-09 08:41:32.987758,2025-04-09 11:37:32.918727,0 days 02:55:59.930969,64,0.5,128,0.0001,4,864,0.0001,4,COMPLETE
48,0.00036853157821815886,2025-04-09 11:37:32.930292,2025-04-09 12:34:18.302790,0 days 00:56:45.372498,64,0.4,32,0.0001,3,864,0.0,23,COMPLETE
49,0.0004157985953092239,2025-04-09 12:34:18.305551,2025-04-09 13:18:22.549045,0 days 00:44:04.243494,64,0.5,32,0.0001,2,432,0.0,20,COMPLETE
