epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,s,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0341833889034088,0.0341833889034088,0.0,0.0,0.0018105589735385563,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,101.58590149879456
1,0.007452370173116447,0.007452370173116447,0.0,0.0,0.0009682664125513159,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,103.89783024787903
2,0.0056414652602602595,0.0056414652602602595,0.0,0.0,0.0011449087113494234,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,104.31070518493652
3,0.004638859916581852,0.004638859916581852,0.0,0.0,0.0005009434105331532,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,103.63207721710205
4,0.0037085363912200352,0.0037085363912200352,0.0,0.0,0.001020783120375514,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,104.0844554901123
5,0.002845369854782415,0.002845369854782415,0.0,0.0,0.00038384924479144836,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,106.04349517822266
6,0.0019421369396270156,0.0019421369396270156,0.0,0.0,0.0003466020740066581,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,104.76937866210938
7,0.001374477534049623,0.001374477534049623,0.0,0.0,0.000235358877901477,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,105.44662618637085
8,0.001136400383246815,0.001136400383246815,0.0,0.0,0.0002873056698012691,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,106.20252299308777
9,0.0008587499468018549,0.0008587499468018549,0.0,0.0,0.0009257041117799518,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,105.72829675674438
10,0.0006458426692941797,0.0006458426692941797,0.0,0.0,0.0009103204335194277,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,106.45215582847595
11,0.0005321540643699718,0.0005321540643699718,0.0,0.0,0.0012564984550727132,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,106.10478734970093
12,0.0004721299663231581,0.0004721299663231581,0.0,0.0,0.008528246885802804,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,105.87565994262695
13,0.0004520592134173515,0.0004520592134173515,0.0,0.0,0.0026869809688442664,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,105.92539310455322
14,0.0003162512807423244,0.0003162512807423244,0.0,0.0,0.011495170841542633,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,106.01948499679565
15,0.00020441936333727057,0.00020441936333727057,0.0,0.0,0.011449966391969308,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,105.71907591819763
16,0.00028453645628152575,0.00028453645628152575,0.0,0.0,0.005056121189120342,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,106.18475651741028
17,0.0004223186078450601,0.0004223186078450601,0.0,0.0,0.007174852805058384,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,107.86856198310852
18,0.00024178235944161223,0.00024178235944161223,0.0,0.0,0.007741239356737516,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,105.62154793739319
19,0.00017374384764934058,0.00017374384764934058,0.0,0.0,0.00825100585344535,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,108.98026776313782
20,0.00011908467207709644,0.00011908467207709644,0.0,0.0,0.007034786744601703,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,106.25307035446167
21,0.00010880843898079181,0.00010880843898079181,0.0,0.0,0.004968442074578476,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,106.84941840171814
22,9.982576559704443e-05,9.982576559704443e-05,0.0,0.0,0.005410519438874089,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,106.66494560241699
23,9.672316536353716e-05,9.672316536353716e-05,0.0,0.0,0.004867258980967748,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,105.16684484481812
24,9.051768627792129e-05,9.051768627792129e-05,0.0,0.0,0.004227522650999837,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,104.7524049282074
25,8.646949663855977e-05,8.646949663855977e-05,0.0,0.0,0.008712453275138107,0.0,0.0,0.0,0.0,0.0,0.0,1.25e-05,103.9416778087616
26,8.001972699697969e-05,8.001972699697969e-05,0.0,0.0,0.004111769501440727,0.0,0.0,0.0,0.0,0.0,0.0,1.25e-05,103.82273364067078
27,7.800807950968069e-05,7.800807950968069e-05,0.0,0.0,0.004462383512855597,0.0,0.0,0.0,0.0,0.0,0.0,1.25e-05,104.90247988700867
