epoch,train_loss,val_loss,task_loss,kd_loss,ewc_loss,lr
0,0.008492582502606306,0.0012991955445420444,0.008492582502606306,0.0,0.0,0.0001
1,0.006934502948890286,0.001892444510809485,0.006934502948890286,0.0,0.0,0.0001
2,0.006072137483136717,0.002171253221348479,0.006072137483136717,0.0,0.0,0.0001
3,0.005454210768669911,0.0020394239184960434,0.005454210768669911,0.0,0.0,0.0001
4,0.004837768473904321,0.0020803573660720075,0.004837768473904321,0.0,0.0,0.0001
5,0.004263505592462081,0.000975639937492068,0.004263505592462081,0.0,0.0,0.0001
6,0.0035712242778465205,0.003479066603782225,0.0035712242778465205,0.0,0.0,0.0001
7,0.003226215031048921,0.001196869700228222,0.003226215031048921,0.0,0.0,0.0001
8,0.0024109544110340665,0.002720140989009841,0.0024109544110340665,0.0,0.0,0.0001
9,0.0019944254719763874,0.0019473207845421467,0.0019944254719763874,0.0,0.0,0.0001
10,0.0015931803308076393,0.0023348013897735395,0.0015931803308076393,0.0,0.0,0.0001
11,0.0013394966296995361,0.001784278438953046,0.0013394966296995361,0.0,0.0,5e-05
12,0.0010643462319728182,0.002045584439279468,0.0010643462319728182,0.0,0.0,5e-05
13,0.0009261971416665488,0.0021558170724642876,0.0009261971416665488,0.0,0.0,5e-05
14,0.0008416005862061016,0.002181200375432094,0.0008416005862061016,0.0,0.0,5e-05
15,0.0007758496210281765,0.0023573763571659106,0.0007758496210281765,0.0,0.0,5e-05
16,0.0007065077692453348,0.0023996677120609483,0.0007065077692453348,0.0,0.0,5e-05
17,0.0006309048391903884,0.0026722106134963244,0.0006309048391903884,0.0,0.0,2.5e-05
18,0.0005117207077758488,0.0027712705623690478,0.0005117207077758488,0.0,0.0,2.5e-05
19,0.0004967651421707952,0.0030156764779501596,0.0004967651421707952,0.0,0.0,2.5e-05
20,0.00047464449893399067,0.0035471095999877124,0.00047464449893399067,0.0,0.0,2.5e-05
21,0.0004511653372057779,0.004253439219286455,0.0004511653372057779,0.0,0.0,2.5e-05
22,0.0004490047101382973,0.0038338112008248363,0.0004490047101382973,0.0,0.0,2.5e-05
23,0.0004370144866404695,0.0049520484841377764,0.0004370144866404695,0.0,0.0,1.25e-05
24,0.0004002379585894503,0.0043485255475612964,0.0004002379585894503,0.0,0.0,1.25e-05
25,0.00039180462018975805,0.0058262772610625495,0.00039180462018975805,0.0,0.0,1.25e-05
