epoch,train_loss,val_loss,lr,time
0,0.014452869601500573,0.0004316512908422038,0.0001,138.88592958450317
1,0.005448226168084273,0.00025621955564853095,0.0001,142.3928198814392
2,0.003677974533763735,0.00046192312498070573,0.0001,132.85847854614258
3,0.0027585642306382488,0.00046898569062584525,0.0001,132.66124534606934
4,0.0020429888373720566,0.0005917990934982135,0.0001,133.47858047485352
5,0.0015109810870614856,0.0004086962725109192,0.0001,131.59244632720947
6,0.0011012462915873183,0.0006291028604109829,0.0001,131.0590853691101
7,0.0008446065781277676,0.00023041319677234275,0.0001,130.58719563484192
8,0.0006782612914938889,0.00034497906059668764,0.0001,133.36993670463562
9,0.00048216286871570485,0.0017273180924114128,0.0001,139.41583108901978
10,0.00031669609502817515,0.001764248534870268,0.0001,132.843425989151
11,0.0002226744445487249,0.001630423534844463,0.0001,143.31426668167114
12,0.00018434804452940924,0.0015741137967227585,0.0001,133.66726684570312
13,0.00016311091904373527,0.0015852796281065201,0.0001,136.53129482269287
14,0.00012348874249768502,0.0013715693243241517,5e-05,135.56659984588623
15,0.00011712391388962741,0.0013501311507464221,5e-05,135.65901374816895
16,0.00010488217471775496,0.0012504243211566908,5e-05,133.40331315994263
17,9.975232079474583e-05,0.0014154067143830385,5e-05,133.78544664382935
18,9.17797157027757e-05,0.001384979512478623,5e-05,140.9380645751953
19,8.673533503344058e-05,0.001220780393079489,5e-05,144.38022303581238
20,7.664002240872269e-05,0.00153248493167821,2.5e-05,135.77597832679749
21,7.515186856647504e-05,0.0014156158811736456,2.5e-05,134.462975025177
22,7.344832942608799e-05,0.0013765369947768766,2.5e-05,134.54684448242188
23,7.085123588599779e-05,0.0013809266599852754,2.5e-05,134.2077660560608
24,6.992262995049464e-05,0.001346654918065836,2.5e-05,133.7191607952118
25,6.921815083569974e-05,0.0012750661977975353,2.5e-05,134.38522696495056
26,6.459693517123956e-05,0.0014105590560201167,1.25e-05,133.5865204334259
27,6.358635193334134e-05,0.0013743791273565324,1.25e-05,134.68874073028564
