number,values_0,params_lambda0,params_lambda1
0,0.05868840590119362,3.14891164795686,635.1221010640695
1,0.05856078863143921,84.71801418819973,24.81040974867808
2,0.06555672734975815,0.4207988669606635,0.42070539502879356
3,0.08050811290740967,0.17073967431528117,291.5443189153751
4,0.058576297014951706,25.37815508265663,67.96578090758145
5,0.0748051181435585,0.12087541473056956,757.9479953347999
6,0.05856272578239441,213.6832907235874,0.70689749506246
7,0.06291108578443527,0.5337032762603955,0.5415244119402537
8,0.05992572009563446,1.6480446427978968,12.561043700013547
9,0.061230797320604324,5.342937261279771,1.4618962793704957
10,0.05851216986775398,760.6194283024023,7.821846444899148
11,0.05847467854619026,755.3503645583176,10.971335142140342
12,0.058451101183891296,917.8865859704072,3.684279214536873
13,0.05846048891544342,894.935678271871,3.4098720812536145
14,0.05868306756019592,136.30710204863536,0.11290337641647075
15,0.058810364454984665,43.40519178529119,2.656836893415812
16,0.05848580226302147,319.3383999096513,3.9734417207700097
17,0.05847657844424248,970.5954180509136,50.160170203267604
18,0.059541281312704086,19.641014244241696,0.12364618015702306
19,0.058528751134872437,350.9224713892092,2.7541253907067005
20,0.05862608179450035,66.30607964018999,121.72452284009428
21,0.058456677943468094,528.0554369299116,9.641958295232133
22,0.058528121560811996,388.7025720282969,4.914681053942645
23,0.05855841562151909,155.54261914483328,20.312954870571296
24,0.058490704745054245,492.7464193379,1.463725668998491
25,0.05846245214343071,994.1450502972556,1.3181471685130062
26,0.058474455028772354,195.99301205912386,29.505077605320068
27,0.05945626273751259,9.735125945191653,6.737210310169878
28,0.0587029755115509,83.04993906265241,0.26167927290502657
29,0.058469101786613464,513.9831593855936,13.046660885982362
30,0.06340217590332031,2.17442457997345,2.6054609263063764
31,0.058442533016204834,900.4512728787216,1.075383097598159
32,0.05849073827266693,300.66517702960505,0.9136003403245928
33,0.05851840600371361,609.1641481713783,0.28686246037174024
34,0.05851159617304802,234.3899757908836,2.089456701097239
35,0.05849428102374077,434.35777445244685,3.952893475418932
36,0.05864496901631355,110.72448678802873,22.36531036099895
37,0.05848706141114235,933.160060323067,6.419856115709822
38,0.05891801044344902,51.401340188456054,0.9482902190427301
39,0.05842011049389839,32.90899836737244,274.5361258452297
40,0.0584515817463398,24.198997081500774,210.44924624816707
41,0.05854766443371773,30.240963997002815,295.23884332583395
42,0.05866643786430359,10.30028029087653,306.0554184956583
43,0.05862056091427803,16.46668083166848,165.91685588389257
44,0.0618886798620224,0.7044358827507725,588.9693682377027
45,0.058567967265844345,6.571994949658039,893.7890525333991
46,0.058698620647192,34.40471131961515,46.89967123491735
47,0.0588870532810688,3.220949257663764,99.54726415227246
48,0.07678455859422684,0.29676745984187425,529.5568970870215
49,0.05844016745686531,100.28499166278955,196.42456083477003

==================================================
MAS OPTIMIZATION COMPLETED!
==================================================
Best Validation MAE: 0.058420
Best Parameters:
  lambda0: 32.908998
  lambda1: 274.536126
Completed trials: 50
==================================================

Final Best MAE: 0.058420
  lambda0: 32.908998
  lambda1: 274.536126
