epoch,train_loss,val_loss,lr,time
0,0.01812277754563635,0.002135817380423877,0.0001,176.09974598884583
1,0.006408449356456342,0.0015509100450785062,0.0001,175.83419108390808
2,0.004134787756966242,0.0009479575339626596,0.0001,175.59839797019958
3,0.0020847632408657678,0.0012056053220784238,0.0001,184.2502269744873
4,0.0010437962336729619,0.0006771791104841928,0.0001,178.25530648231506
5,0.0005188187514074673,0.0009453888892207135,0.0001,176.37936449050903
6,0.00028230067371652563,0.0003975963597911026,0.0001,171.58305311203003
7,0.00021609280772328025,0.0005281465542127182,0.0001,177.14716696739197
8,0.00013876295729310152,0.00048217681216857633,0.0001,209.59131169319153
9,0.00012216184682488967,0.0005667612757313887,0.0001,187.05595898628235
10,0.00011581229842683966,0.00044921853000266413,0.0001,205.08665537834167
11,0.00011022662884799359,0.0004936868730446095,0.0001,175.11970138549805
12,0.00010546061226120676,0.0005078983132368417,0.0001,167.05536770820618
13,9.185062560843838e-05,0.0005426953239720287,5e-05,185.12702083587646
14,8.909549331347046e-05,0.0005233252615628124,5e-05,169.20570158958435
15,8.986179115119042e-05,0.000567719300667751,5e-05,179.12514400482178
16,8.596475667815285e-05,0.0004493841711247047,5e-05,248.68382596969604
17,8.657460549110078e-05,0.0004598917261360823,5e-05,309.8210644721985
18,8.792012928278009e-05,0.00033742236040441734,5e-05,272.19755458831787
19,8.434612806373062e-05,0.0004636772988266684,5e-05,244.36722040176392
20,8.384922609857637e-05,0.0004536879793879278,5e-05,247.03846788406372
21,8.391679815411696e-05,0.00035595993269355405,5e-05,252.41651272773743
22,8.392505368050453e-05,0.0005200590796385238,5e-05,250.82117891311646
23,8.282668402743228e-05,0.0004774299047757893,5e-05,275.18005299568176
24,8.419393963762518e-05,0.00039993521545049796,5e-05,327.77769780158997
25,7.669611919907018e-05,0.00044076527110605267,2.5e-05,280.4192063808441
26,7.566451326297102e-05,0.0004322484658709652,2.5e-05,330.18060779571533
27,7.434210713931179e-05,0.0004388472248507577,2.5e-05,392.7767958641052
28,7.471627937972821e-05,0.00040264172484633716,2.5e-05,386.9936363697052
29,7.405774202604543e-05,0.0004885326047035985,2.5e-05,239.7491590976715
30,7.548807900393011e-05,0.0004683603581435754,2.5e-05,188.7506058216095
31,7.04001300412767e-05,0.0004964516862264377,1.25e-05,205.75965023040771
32,7.050496242459916e-05,0.0004975244341722936,1.25e-05,213.05324697494507
33,6.985843794621218e-05,0.00045805870974992876,1.25e-05,222.26608562469482
34,7.034583875008216e-05,0.00045732012732456305,1.25e-05,202.61035537719727
35,6.989614868269785e-05,0.00047696151409943243,1.25e-05,197.55502891540527
36,7.013568432900117e-05,0.0004441120126713366,1.25e-05,207.12491488456726
37,6.714100837531434e-05,0.00046648093266292196,6.25e-06,208.07820463180542
38,6.657132141311674e-05,0.0005380388583448764,6.25e-06,205.12798023223877
