epoch,train_task,kd_pct,si_pct,kl,val_mse,lr
0,0.0020700394681180006,5.647447429378105,2.946831563983181,0.749527302127206,0.00045629269324019936,1.25e-05
1,0.0017739835999107262,11.305064553787757,5.89493544790065,0.7504689394237496,0.0006174596088599656,1.25e-05
2,0.0017562499647157583,16.939178542623324,8.860821452427214,0.7493320083605157,0.0008165925380024763,1.25e-05
3,0.0017666515460782665,22.61556826808648,11.784431722461159,0.7507207536084515,0.0005827723575079923,6.25e-06
4,0.0017341570682057985,28.2333475622698,14.766652482919335,0.7493832415157727,0.0006142831752927161,6.25e-06
5,0.0017335379624595726,28.181704054637386,14.818295938850254,0.747470520956914,0.0006494921138969111,6.25e-06
6,0.0017226438900582832,28.363587284185066,14.636412678991634,0.7542069377956689,0.000645537785584595,6.25e-06
7,0.001747071730817775,28.293390850571182,14.706609101060716,0.7516070703518231,0.0006916177080321684,6.25e-06
8,0.0017474631175422755,28.210840702942953,14.789159250828071,0.7485496569221838,0.0005778102726027293,6.25e-06
9,0.0017651221522115349,28.280258320479174,14.719741655767708,0.7511206794140537,0.0005785211121595817,3.125e-06
10,0.0017290825470122455,28.265880491076096,14.734119532072555,0.7505881652060521,0.0006305097267384211,3.125e-06
11,0.001730614887981164,28.268152453525452,14.73184757175565,0.7506723120955827,0.0006613438172914491,3.125e-06
12,0.001714739272312957,28.17739405523918,14.822605925634615,0.7473108917395235,0.0007471904793962647,3.125e-06
13,0.0017087252438344473,28.269994425734097,14.730005561603585,0.7507405337769343,0.0007599400226034577,3.125e-06
14,0.0017213199558905271,28.314742245464032,14.685257721695022,0.752397862913176,0.0006785853718884445,3.125e-06
15,0.0017168162462831633,28.283962339652135,14.716037645939025,0.7512578643880303,0.0006832398408651498,1.5625e-06
16,0.001687488601848542,28.27092723306063,14.729072750046837,0.750775082804043,0.0006600872329697578,1.5625e-06
17,0.0016856789541993982,28.194958499643324,14.805041549949754,0.7479614247940437,0.0006497655792727729,1.5625e-06
18,0.0016954115674538324,28.22193736139709,14.778062582948953,0.7489606446557613,0.0006621718400307195,1.5625e-06
19,0.001686473433093974,28.269060368519717,14.73093957794732,0.7507059410323265,0.0006693373960327365,1.5625e-06
20,0.0017177889816529254,28.24550836248651,14.754491611177952,0.7498336432301502,0.0006288152345955018,1.5625e-06
