epoch,train_loss,val_loss,lr,time
1,0.0031634095808476025,0.0027080621465485986,0.0001,59.35729956626892
2,0.0018475724603788655,0.0018926507331569187,0.0001,60.47269344329834
3,0.001568350546390308,0.001518562660249068,0.0001,43.19908094406128
4,0.0014372582514890961,0.0029012007721370353,0.0001,45.19339418411255
5,0.0012959053098563573,0.0018138159745206088,0.0001,41.18479132652283
6,0.0012211831398305415,0.0014300226141987409,0.0001,42.34368085861206
7,0.0011297656868944714,0.00143053417716734,0.0001,40.081096172332764
8,0.0012561851151733701,0.0016200388619964983,0.0001,39.702969551086426
9,0.0010837815110449963,0.0017664286359996173,0.0001,40.14738082885742
10,0.0010872646569533224,0.0011907027542563643,0.0001,40.15511393547058
11,0.0010439572629709884,0.0010771771751402158,0.0001,40.70497536659241
12,0.0010631437438982081,0.0011471399927270847,0.0001,40.10950016975403
13,0.0010540760331385387,0.0011188614087167357,0.0001,40.12860441207886
14,0.0009625875023731323,0.0012517963379456796,0.0001,40.22230339050293
15,0.0009657951655951324,0.0011219579154452945,0.0001,40.13284492492676
16,0.0009863230534280427,0.0012684111626073769,0.0001,40.75418281555176
17,0.0009136739948347302,0.0014251714317523251,5e-05,40.655094146728516
18,0.0007841527198816809,0.0015104998791163054,5e-05,40.196526765823364
19,0.0007409175513880242,0.001021800543645226,5e-05,40.277650594711304
20,0.0006934872473203122,0.0012631934710578,5e-05,40.27372479438782
21,0.000724518457402053,0.0012863282233427835,5e-05,40.16844868659973
22,0.0006345007774251453,0.0011879958426784449,5e-05,40.24155950546265
23,0.0006963180184700068,0.0010678517752211118,5e-05,40.32025384902954
24,0.0006207213005251532,0.0012754776433556835,5e-05,40.011378049850464
25,0.0006322873733668936,0.001182864137375412,2.5e-05,40.26124978065491
26,0.0005860953798693559,0.0012753453397743126,2.5e-05,40.150973081588745
27,0.0005752477383626441,0.0010278409233827176,2.5e-05,39.971248626708984
28,0.0005354741320947459,0.0010100474796999107,2.5e-05,40.005061864852905
29,0.000444160542752877,0.0008347661127961611,2.5e-05,40.144875288009644
30,0.00043885252517069853,0.0009620715711900241,2.5e-05,40.979063749313354
31,0.00046470401333535607,0.0008266709454571899,2.5e-05,43.64369463920593
32,0.0004082770617602539,0.0007951404932206997,2.5e-05,40.03548240661621
33,0.0004155927222973904,0.0008259428134513409,2.5e-05,40.29278087615967
34,0.00040434312477148935,0.0007683773330953195,2.5e-05,39.737982511520386
35,0.00040489766003765543,0.0008481232963774891,2.5e-05,39.523361921310425
36,0.00039636363712846267,0.0007381103840289222,2.5e-05,39.580634355545044
37,0.00038816836962974905,0.0008655172857398972,2.5e-05,39.87151861190796
38,0.0003879683384054693,0.0009279894471569108,2.5e-05,40.0203537940979
39,0.000368239929030976,0.0008422978543046064,2.5e-05,40.093701124191284
40,0.00036531937486938083,0.001003416187117714,2.5e-05,39.71218395233154
41,0.0003591141325434178,0.0007679243738100636,2.5e-05,39.46958661079407
42,0.0003540057008961727,0.0007482431893664977,1.25e-05,39.318527698516846
43,0.0003232201859496238,0.0006975632921973544,1.25e-05,39.439855098724365
44,0.00032401281278971643,0.0005895535612054877,1.25e-05,39.39477014541626
45,0.00032224740775945734,0.0007644059361918427,1.25e-05,39.43560576438904
46,0.0003150520649940112,0.0006897460674566082,1.25e-05,39.40571689605713
47,0.00031290642001405126,0.0007976733298548273,1.25e-05,39.41442275047302
48,0.00031315063545999625,0.0006754661767843167,1.25e-05,39.39106345176697
49,0.0003135628021386436,0.0006980603537674766,1.25e-05,40.82882618904114
50,0.0003061119427086255,0.0007922027849411291,6.25e-06,42.22732329368591
51,0.0002984656220550626,0.0008059113721340878,6.25e-06,63.84578347206116
52,0.00029827633667856224,0.0007181417984959383,6.25e-06,67.4767656326294
53,0.0002962707364483574,0.0006987040168829425,6.25e-06,66.11468648910522
54,0.0002945508544829074,0.0006901835044896775,6.25e-06,66.49307227134705
55,0.00028930975041698963,0.0006307788219686199,6.25e-06,62.30177354812622
56,0.0002901766440502116,0.0006913950412857497,3.125e-06,58.758322954177856
57,0.00028411146083742977,0.0007192334636691785,3.125e-06,52.549039125442505
58,0.00028313336693452554,0.0006225447917438934,3.125e-06,60.59985971450806
59,0.0002817528040969844,0.0007525342778681714,3.125e-06,64.97699022293091
60,0.00028074314063458315,0.0006283540958044268,3.125e-06,60.94457745552063
61,0.00028532521153430056,0.0006127611735911164,3.125e-06,57.83534216880798
62,0.00028633768777400464,0.0007211620670015818,1.5625e-06,53.81826877593994
63,0.00027925018801896166,0.0006398005681567395,1.5625e-06,58.241198778152466
64,0.00028253697005187477,0.000643347904794518,1.5625e-06,51.11032962799072
