epoch,train_loss,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.00043873874194374227,0.00020364017129922827,0.04226145152455129,0.1002814780712804,0.08015481293920435,0.2874398164341045,0.0,0.0001,69.76768445968628
1,0.00037590983493404677,0.00011895467703633971,0.04206577153373958,0.10028017864227258,0.08015409825324994,0.32962366993944375,0.0,0.0001,69.839528799057
2,0.00034312402579032673,0.0002971180208251749,0.04173730417272165,0.1002779944907061,0.08015289696988845,0.35451586804194657,0.0,0.0001,69.71205115318298
3,0.0003163040865801994,0.00011018095606955562,0.042071344388087836,0.10028021571032103,0.08015411864067674,0.38127632935490935,0.0,0.0001,69.6000144481659
4,0.00029470700431054455,9.808278035527852e-05,0.04203497667381075,0.10027997209348241,0.08015398465141521,0.4056336220400011,0.0,0.0001,69.76398205757141
5,0.0002728073964426532,9.229304267010523e-05,0.042192122118822756,0.10028101805954853,0.08015455993275182,0.4336138306884931,0.0,0.0001,69.70388793945312
6,0.0002721620088584251,0.00013408970096103962,0.042385577320741594,0.10028230282562964,0.0801552665540962,0.43439867976804725,0.0,0.0001,69.63730144500732
7,0.0002562144925973583,6.815667153486793e-05,0.04172713118984925,0.10027792911071581,0.08015286101089367,0.4600530332811986,0.0,0.0001,69.65560483932495
8,0.000252533521926845,0.0002012357522456413,0.042153158397356116,0.10028075793971498,0.08015441686684323,0.46463426312480893,0.0,0.0001,69.641042470932
9,0.00024313582996691516,7.590759992508905e-05,0.042010463362501305,0.10027980965408936,0.0801538953097493,0.4812511614713371,0.0,0.0001,69.57834458351135
10,0.00024176359667206281,0.00023146137886873792,0.042098603273250775,0.10028039424206799,0.0801542168331374,0.48305221400455856,0.0,0.0001,69.60820031166077
11,0.00023671375341114656,0.0002514877571142743,0.04167693126247956,0.10027759262208717,0.08015267594214788,0.49116296477130605,0.0,0.0001,69.31604242324829
12,0.0002389801010733375,0.00032069839467449687,0.04189283606741161,0.10027902746393821,0.08015346510516613,0.487838784174132,0.0,0.0001,69.5255298614502
13,0.00023741599865260307,0.00014358593924308197,0.04215725999327233,0.10028078707137873,0.08015443288925835,0.4893856621475821,0.0,5e-05,69.42503929138184
14,0.00021242916668996693,0.0001482948984068772,0.041600826959391345,0.10027708757591315,0.0801523981667523,0.541931189992786,0.0,5e-05,68.98310351371765
15,0.00021286225872096677,0.00010253409786811244,0.041974012012369916,0.10027956574587185,0.0801537611602295,0.5400850970728441,0.0,5e-05,68.00488114356995
16,0.0002140878434500444,0.0002866572854146688,0.04165186564968109,0.10027742450479193,0.08015258347763539,0.5379352654117738,0.0,5e-05,67.07174444198608
17,0.00021147680343394193,0.00012844403445626615,0.04198906007906524,0.10027966656275708,0.08015381660951638,0.5429259466253425,0.0,5e-05,67.06122541427612
18,0.00021187439683852254,8.169472989002289e-05,0.04205275448455306,0.10028008910918212,0.08015404901005015,0.5427084149042938,0.0,5e-05,66.93724513053894
19,0.00020676811826961472,0.00011678336449862912,0.04189024342444595,0.10027901066588092,0.08015345586623457,0.5550298008429077,0.0,2.5e-05,66.64768266677856
20,0.00020229384778736124,0.00014916588491730256,0.04207078844618754,0.100280210598698,0.08015411582928371,0.5651671746621454,0.0,2.5e-05,66.80918598175049
21,0.00019980760441135322,9.000480782532942e-05,0.04193288810374269,0.1002792932212099,0.08015361127166543,0.5708280933088236,0.0,2.5e-05,67.00279235839844
22,0.00019961698069552252,0.00012899866928625065,0.04217322491754293,0.10028089159048975,0.0801544903747694,0.5732191967054424,0.0,2.5e-05,67.1059341430664
23,0.00019690599841481346,8.702312557605003e-05,0.04222627831455381,0.10028124537545995,0.08015468495650292,0.579679408664552,0.0,2.5e-05,68.38391661643982
24,0.00019609978318852608,0.0001308378874398011,0.0419200440405272,0.10027920907260132,0.08015356498993088,0.581660047464193,0.0,2.5e-05,66.31664657592773
25,0.00019646466953068738,0.00012122184826775467,0.04208945867833537,0.10028033353355699,0.08015418344345619,0.5795263808818684,0.0,1.25e-05,66.07583713531494
26,0.00019097519028642414,8.757309309682243e-05,0.04194354538925235,0.10027936478282229,0.08015365063055237,0.5958244505645932,0.0,1.25e-05,66.10735273361206
27,0.00019154112104764547,9.865080784681299e-05,0.04197713770320038,0.10027958818716794,0.08015377350294232,0.5936213257477078,0.0,1.25e-05,66.67503118515015
