epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,si_loss
0,0.0005610821829606957,0.0029748345618557546,0.0001,111.4493100643158,0.000536524161280335,0.0009156784756271671,0.0006762193422545204
1,0.0004830398970850354,0.0018152966791454847,0.0001,111.62163257598877,0.0004571663297374084,0.000873558305160087,0.0018979492418384838
2,0.00047440432125529997,0.0017210990231540002,0.0001,114.47699332237244,0.00044455046161364996,0.0008937542868405806,0.003674715678589168
3,0.0004286094093313257,0.0005940401657432021,0.0001,108.26875829696655,0.000395353352112842,0.0008847192837424289,0.005535374650351644
4,0.00040317514539823775,0.0006964105542779445,0.0001,114.86014604568481,0.0003676814744034243,0.0008303479036426213,0.007388844347372532
5,0.0003590922529728148,0.0013035675120154021,0.0001,116.65252923965454,0.0003189908476365708,0.0008604732981565718,0.00935798075338863
6,0.00030862396686463176,0.0004806899885721183,0.0001,117.80045533180237,0.00026571345743188506,0.0008225109935807474,0.011290897977344951
7,0.0003341584460648679,0.00012401166264477834,0.0001,117.6431667804718,0.00028749890020315065,0.0008232340945330385,0.013202381355564822
8,0.0002659860169047588,0.000181869253748905,0.0001,116.73950123786926,0.00021684779118526562,0.0008096379001082332,0.014649167915567998
9,0.00024415687916962966,4.898237768822652e-05,0.0001,109.72385883331299,0.00019310564316490502,0.0007977406878544072,0.01578403234179843
10,0.0002318647079118709,0.00015711233926811173,0.0001,92.45474672317505,0.00017845694180197805,0.0007997058622391166,0.01696588957960092
11,0.00023442874625156387,7.441063730683704e-05,0.0001,92.44169163703918,0.00017833137198890875,0.0008051829823997406,0.018272739522769647
12,0.00022428013352380346,0.0001238144494335109,0.0001,94.14247846603394,0.0001663936528856134,0.0007939113511473499,0.019335985014222186
13,0.00021096740188156562,0.0002396121619322024,0.0001,92.95867967605591,0.0001515186726496022,0.0007883464161107445,0.02020879179656
14,0.00021860110020784958,0.00011798727506408726,0.0001,93.86284494400024,0.00015732516466651528,0.0007997513535020451,0.020996695705852605
15,0.00020827308329083498,0.00019402411724677132,0.0001,93.35283493995667,0.0001452045944438458,0.0007956679974435247,0.021968238319730042
16,0.0001898579974676966,0.0001910246679146722,5e-05,94.26741528511047,0.0001264956657986473,0.0007855129518130003,0.022250839639264035
17,0.00018796514375222768,7.542923140807571e-05,5e-05,96.19475817680359,0.0001244448026261204,0.0007832430679305379,0.022361313616473852
18,0.00018757004164010875,0.00031629495057051255,5e-05,96.7020959854126,0.00012378830857070076,0.0007823997787001682,0.022506207784047952
19,0.0001832438133313959,0.00014865010155677686,5e-05,97.68774485588074,0.00011928415573549663,0.0007797864192145505,0.022631352010708605
20,0.00018385142809754159,0.00027539491717177547,5e-05,112.45445132255554,0.00011954742361563534,0.0007803764108892333,0.02280011262671817
21,0.00017878172474351125,0.00022296106264926718,5e-05,131.85061025619507,0.00011429243584870097,0.0007766526807890529,0.022943466086305896
22,0.00016827728105711973,0.0001730827126088604,2.5e-05,124.60284304618835,0.00010379969792889096,0.0007729899390316634,0.022985094735741247
23,0.0001689586325480943,0.0001640466694799551,2.5e-05,125.74746823310852,0.00010432240580627302,0.0007718049961190218,0.02308178659454853
24,0.00016488518695670517,9.856107660292461e-05,2.5e-05,127.07249355316162,0.0001003860271618341,0.0007650547711560205,0.02309933060825582
25,0.00016288529515444812,0.0002799424411658729,2.5e-05,129.92598390579224,9.828030615221751e-05,0.0007661683779441402,0.02313907389305713
26,0.00016418896423403618,0.00021175915363897695,2.5e-05,129.02903079986572,9.955936512200042e-05,0.0007659223670353494,0.023154882120594085
27,0.0001663963632101659,0.0002576232804885749,2.5e-05,130.21419072151184,0.0001016859448754132,0.0007664211803259421,0.023189805264018495
28,0.0001570601406138228,0.00025154508999122773,1.25e-05,112.48855066299438,9.245224408062275e-05,0.0007599986581828419,0.023220788025490484
29,0.0001570777348306285,0.00024835038437409575,1.25e-05,125.07648038864136,9.243926150445757e-05,0.0007623730079691236,0.02320558110756207
