epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,s,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0014131298560656502,0.0014131298560656502,0.0,0.0,0.0007145323802376067,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,95.93819546699524
1,0.0008436215148710735,0.0008418263701896031,1.5833663674842725e-06,2.117783139862022e-07,0.0013484487576043622,0.0,0.0,0.0001171142666747389,0.0001583152520218466,0.0018768681684537768,0.0002510347475177506,0.0001,102.7111587524414
2,0.000629341762978146,0.0006254546714305831,3.193846458791766e-06,6.932450887710969e-07,0.0016359223390778437,0.0,0.0,0.0002342285333494778,0.0003166305040436932,0.005074899913964033,0.0011015399414946662,0.0001,101.85603427886963
3,0.0005709761252714462,0.0005647981152500424,4.776129388807426e-06,1.4018806325962944e-06,0.0018445245099497274,0.0,0.0,0.00035134280002421505,0.00047494575606554107,0.008364849557478118,0.0024552351150056062,0.0001,101.1481020450592
4,0.00046335049201993295,0.0004546410470386283,6.295027207018379e-06,2.4144177742862586e-06,0.001628814744661194,0.0,0.0,0.0004684570666989556,0.0006332610080873864,0.013585886527444482,0.005210780642016438,0.0001,105.09147691726685
5,0.00041498506908190197,0.00040341892531458717,7.839061899045679e-06,3.727081868269126e-06,0.0024631190403041287,0.0,0.0,0.0005855713333736893,0.0007915762601091855,0.01888998540691726,0.008981243292716018,0.0001,100.8899405002594
6,0.00043347457691875684,0.0004185281149975358,9.413179408633425e-06,5.533282512587649e-06,0.0018381887137134017,0.0,0.0,0.0007026856000484301,0.0009498915121310821,0.021715643569098338,0.012764952795893065,5e-05,101.80670928955078
7,0.00033960466730846193,0.0003213831539487767,1.0928947948754518e-05,7.292565410930753e-06,0.0018287538967061904,0.0,0.0,0.0008197998667231869,0.0011082067641528435,0.032181383240024154,0.021473690184319334,5e-05,119.57027983665466
8,0.00032198346126478366,0.00030062956532144516,1.2489816188348254e-05,8.864079754990222e-06,0.0017252162386279968,0.0,0.0,0.0009369141333979112,0.0012665220161747729,0.03879024139714193,0.027529611987433204,5e-05,126.53183102607727
9,0.0003110142893470613,0.0002863205490157662,1.4046446859608055e-05,1.0647293471687091e-05,0.0017643920583992338,0.0,0.0,0.0010540284000726085,0.0014248372681966136,0.04516334889016499,0.03423409739160171,5e-05,124.39451146125793
10,0.0003019526507962354,0.0002737336778726881,1.560047426138354e-05,1.2618498662163767e-05,0.001929865191469481,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.051665299907935225,0.04178966016323871,5e-05,124.93559050559998
11,0.0002864364982431855,0.00025750927689390196,1.5565146094933505e-05,1.3362075254350017e-05,0.0021589703846382796,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.05434065208309677,0.04664934579323607,5e-05,126.88993430137634
12,0.0002737204637383199,0.0002440575269258657,1.5576682360124982e-05,1.40862544523292e-05,0.0021762664280091416,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.05690726278695948,0.05146218978276988,2.5e-05,125.39621877670288
13,0.00025253033615149964,0.00022236033786300933,1.5524174412137353e-05,1.4645823876352973e-05,0.0025487799115561254,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.061474493119210785,0.05799629501766693,2.5e-05,121.68898057937622
14,0.0002452056372966696,0.00021473336605483528,1.5488858641587012e-05,1.49834126002473e-05,0.002775973964528153,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.06316681301599661,0.06110549808493659,2.5e-05,119.35587334632874
15,0.0002390492242779679,0.00020823902106013905,1.5488228379882373e-05,1.53219748379465e-05,0.002780640261449701,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.06479095854280023,0.06409548026865801,2.5e-05,124.73189973831177
16,0.0002731814557523724,0.0002420507416732092,1.547436514904871e-05,1.5656348930114522e-05,0.0029410704239784466,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.056645005812823467,0.05731117028787762,2.5e-05,119.95127201080322
17,0.0002325796822914862,0.00020118377890781332,1.545375074301611e-05,1.594215264065677e-05,0.0028170952708595305,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.06644497314106877,0.06854490677597916,2.5e-05,108.63733243942261
18,0.00021788291284285352,0.00018627213396009716,1.544371920643705e-05,1.6167059676319306e-05,0.0027951740873821793,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.07088081853199624,0.0742006771681985,1.25e-05,90.20120048522949
19,0.0002094832198707841,0.00017768434996330817,1.544069740438711e-05,1.6358172503088824e-05,0.0030475171427046047,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.07370851667217747,0.0780882235492612,1.25e-05,88.95448064804077
20,0.00020919862996194005,0.0001772580343827338,1.5466358219756776e-05,1.6474237359449466e-05,0.0030529048919555454,0.0,0.0,0.0011711426667473787,0.001583152520218371,0.07393145080620558,0.07874926027214739,1.25e-05,88.95104956626892
