epoch,train_loss,val_loss,lr,time
0,0.01708374272921095,0.0017875511311870955,0.0001,287.46498560905457
1,0.004952577158298027,0.0009545910864820485,0.0001,265.38001823425293
2,0.0028506909023095018,0.0008316323829639749,0.0001,276.304979801178
3,0.0015972375727605712,0.0007819217880768414,0.0001,331.0789113044739
4,0.0010157437928761872,0.000652190093454639,0.0001,353.2489905357361
5,0.0006907927251777366,0.00046150721380082936,0.0001,363.6859495639801
6,0.000621769069447795,0.000932163115424712,0.0001,368.1985626220703
7,0.0005057687424700558,0.0005122269908018332,0.0001,300.79593563079834
8,0.0004769968983762583,0.0003931771985870638,0.0001,294.16531777381897
9,0.00036423952778408405,0.0003957801040377877,0.0001,301.3363778591156
10,0.0003349685341649104,0.0003652059862040113,0.0001,303.1546981334686
11,0.0002901977318510472,0.0005633574947554714,0.0001,321.01899576187134
12,0.000265558325505617,0.00045940579387179444,0.0001,440.1113214492798
13,0.00022941107023603251,0.000970324525290263,0.0001,334.39295983314514
14,0.00020874670949636552,0.0006263039645984597,0.0001,257.06658697128296
15,0.000191092662554938,0.0006446369553423507,0.0001,208.34298753738403
16,0.00018219701619838803,0.0006383681362023437,5e-05,217.83553647994995
17,0.0001466156991154266,0.0008984741663171432,5e-05,260.8960556983948
18,0.00014325723528900514,0.0008391276621808177,5e-05,242.91348934173584
19,0.00013867810996893415,0.0009079402251257303,5e-05,257.26458382606506
20,0.0001385089454234147,0.0008209293166375672,5e-05,220.00128436088562
21,0.00013694007990730544,0.0007234425918011085,5e-05,202.9209508895874
22,0.00013602345318962605,0.0007098357425437861,2.5e-05,202.52289843559265
23,0.00012074113866760793,0.0008493374232990648,2.5e-05,201.94589495658875
24,0.00012218609965676774,0.0008376263484335022,2.5e-05,200.87845396995544
25,0.00011910105618368077,0.0007748286763276864,2.5e-05,196.68059515953064
26,0.00011799039221119997,0.0008656921026269625,2.5e-05,196.16551661491394
27,0.00011894669834576244,0.000795013243034653,2.5e-05,196.47784781455994
28,0.00011693518712433856,0.0008474938884419988,1.25e-05,198.3979721069336
29,0.00011089329652530943,0.0008688863807749546,1.25e-05,204.8816888332367
30,0.00010898101918656029,0.0008882938357448546,1.25e-05,204.6619358062744
