number,state,values_0,params_alpha1,params_alpha2,params_lambda0,params_lambda1,user_attrs_avg_mae,user_attrs_mae_values
0,COMPLETE,0.030285948887467384,0.6271654017913608,1.6622208393914228,87.64858071686321,26.141733146306564,0.030285948887467384,"[0.016565671, 0.025133109, 0.049159072]"
1,COMPLETE,0.04084087535738945,1.959836197924544,1.501070762239217,152.2968533102999,9578.526936902432,0.04084087535738945,"[0.034098137, 0.033195667, 0.05522881]"
2,COMPLETE,0.033655595034360886,0.4023599288738291,1.3664634045809472,564.8771565431908,2300.2157023703153,0.033655595034360886,"[0.025674585, 0.024231656, 0.051060542]"
3,COMPLETE,0.038646399974823,0.518241726180132,0.46941345582696736,1309.7384233336365,12.298209787742827,0.038646399974823,"[0.04418491, 0.03920633, 0.032547962]"
4,COMPLETE,0.034975405782461166,1.1019629048172919,1.8840850764898505,8412.049749764827,13.628271446728188,0.034975405782461166,"[0.025636623, 0.028465373, 0.050824214]"
5,COMPLETE,0.04083618149161339,0.0437430830290817,1.2368912366884377,2425.6082901032682,8174.954525754659,0.04083618149161339,"[0.030047365, 0.045209408, 0.047251772]"
6,COMPLETE,0.03607076779007912,1.7623317126752263,1.0208412883926636,29.242293000653724,580.9849236787242,0.03607076779007912,"[0.02505025, 0.035354152, 0.047807895]"
7,COMPLETE,0.03961541876196861,1.6313632342699569,0.9170493825406871,204.83426904747813,232.0774252585584,0.03961541876196861,"[0.03069493, 0.040683854, 0.047467474]"
8,COMPLETE,0.03547948971390724,1.891146664147962,0.7220433133212993,372.72434959904894,3547.0473526493283,0.03547948971390724,"[0.028029796, 0.037136547, 0.04127213]"
9,COMPLETE,0.06131568178534508,0.5819360212167306,1.6696307331565516,3659.825067990815,4180.118124387756,0.06131568178534508,"[0.08453769, 0.02950335, 0.069906]"
10,COMPLETE,0.05091359093785286,1.104580517967254,0.032705306359621655,14.032826650145616,63.61467091312413,0.05091359093785286,"[0.091591865, 0.052676056, 0.008472862]"
11,COMPLETE,0.03808077052235603,0.4957712636443036,1.4026707287378883,49.364004322947,856.1174952872996,0.03808077052235603,"[0.028925028, 0.0339405, 0.05137679]"
12,COMPLETE,0.04294048622250557,0.08682251735475921,1.9468981103653547,590.661798183313,154.60664043096648,0.04294048622250557,"[0.03390371, 0.034444965, 0.06047278]"
13,COMPLETE,0.04468073323369026,0.7528941925451985,1.6670867519887365,102.08829034242515,49.598521531710524,0.04468073323369026,"[0.040776983, 0.037213705, 0.056051522]"
14,COMPLETE,0.03930393233895302,0.270749604634531,1.2421108576102238,725.3284034386498,1031.7613970761943,0.03930393233895302,"[0.02883372, 0.032410808, 0.056667265]"
15,COMPLETE,0.034501343965530396,0.9473750236631132,1.7016598680702273,69.86821008361079,54.63848480697935,0.034501343965530396,"[0.027003387, 0.030341305, 0.04615934]"
16,COMPLETE,0.03174955025315285,1.3611715218122602,1.3416195181578237,253.36343718911897,1102.7242980788637,0.03174955025315285,"[0.01826297, 0.031689692, 0.04529599]"
17,COMPLETE,0.04284520819783211,1.4177365007644445,1.033512346789921,23.091503703304202,414.5768339393711,0.04284520819783211,"[0.030690536, 0.052098487, 0.045746613]"
18,COMPLETE,0.035214439034461975,1.390859636483136,0.5952249206040141,263.47883365391255,105.16695299955033,0.035214439034461975,"[0.021403661, 0.040881947, 0.04335771]"
19,COMPLETE,0.03804503753781319,0.8090743747838198,0.2392248488351918,103.7062050640682,25.50359920454513,0.03804503753781319,"[0.046652284, 0.04378924, 0.023693593]"
20,COMPLETE,0.049527693539857864,1.3229180254827633,1.5620876843107028,39.90398118175808,1650.878017828813,0.049527693539857864,"[0.051160224, 0.037218597, 0.060204268]"
21,COMPLETE,0.028652364388108253,0.30787546631146706,1.261950525276332,555.8803969466832,1964.1799421675798,0.028652364388108253,"[0.017597383, 0.025639396, 0.042720314]"
22,COMPLETE,0.039168115705251694,0.6866428680685581,1.1753117764768648,1112.3826668268082,1426.7769550646103,0.039168115705251694,"[0.03943764, 0.0320726, 0.0459941]"
23,COMPLETE,0.034569066017866135,0.2488625216896393,0.8856872791677064,290.8405973459907,315.29983408354536,0.034569066017866135,"[0.02390684, 0.03313524, 0.046665117]"
24,COMPLETE,0.034696098417043686,0.9620460747556661,1.8267897349008373,169.84132393372246,750.8601540895937,0.034696098417043686,"[0.024514291, 0.02699677, 0.05257723]"
25,COMPLETE,0.03326954320073128,0.3596269956640603,1.5066464949309495,10.042298833861905,3275.437380538629,0.03326954320073128,"[0.020210482, 0.030269742, 0.0493284]"
26,COMPLETE,0.033117059618234634,1.5303572883277998,1.360290739331825,94.2408122769027,27.0275980275512,0.033117059618234634,"[0.024361173, 0.028356925, 0.04663308]"
27,COMPLETE,0.04029899835586548,1.2538563413599007,1.12914434465605,402.4486301943841,5709.4201866573085,0.04029899835586548,"[0.033167675, 0.043184858, 0.044544455]"
28,COMPLETE,0.03859378397464752,0.15846826699425662,1.7913105870695107,1226.8687385597102,1964.0993654306067,0.03859378397464752,"[0.027152246, 0.031866558, 0.056762543]"
29,COMPLETE,0.03514498472213745,1.1243954322502305,1.5418295966165658,139.0881563038569,535.593887659186,0.03514498472213745,"[0.023914088, 0.0337984, 0.047722463]"
30,COMPLETE,0.034508492797613144,0.6500470431947035,1.3781789830105895,59.103084484364906,211.42619321554935,0.034508492797613144,"[0.027290402, 0.029545484, 0.046689592]"
31,COMPLETE,0.031181158497929573,1.474980354151512,1.3164943642094622,103.05934015098305,26.399985553065832,0.031181158497929573,"[0.02193567, 0.026530355, 0.04507745]"
32,COMPLETE,0.04045689478516579,1.5505641499412315,1.3003617554142861,171.67229295971546,16.845615672688197,0.04045689478516579,"[0.04146183, 0.031267013, 0.048641838]"
33,COMPLETE,0.04391032084822655,0.42394158646855884,1.4818055108457189,461.6333883884449,32.867094326158444,0.04391032084822655,"[0.052589685, 0.031218186, 0.04792309]"
34,COMPLETE,0.035815879702568054,0.8332095088417677,1.1141703485020023,252.9284597052153,10.35786484650834,0.035815879702568054,"[0.028003199, 0.036147665, 0.043296777]"
35,COMPLETE,0.0340639166533947,1.9996762451142014,1.4301370363237362,887.8350648068115,94.83104996656051,0.0340639166533947,"[0.020815564, 0.030905904, 0.050470285]"
36,COMPLETE,0.03718312457203865,1.2143739184059092,0.7800656265540824,117.50387111895685,1281.2687272675596,0.03718312457203865,"[0.032269396, 0.03897913, 0.040300842]"
37,COMPLETE,0.05530274286866188,1.7596461252767874,1.6347574258269426,1772.0709521138494,2786.562328645219,0.05530274286866188,"[0.05955542, 0.039147776, 0.06720504]"
38,COMPLETE,0.03412961587309837,1.4953459762505188,1.98300285709247,3454.6274784132243,18.39178223598608,0.03412961587309837,"[0.022569178, 0.02387409, 0.055945583]"
39,COMPLETE,0.040396492928266525,1.7225692607097955,1.2321188793019922,75.58440726586709,9779.522104900941,0.040396492928266525,"[0.023532553, 0.039695963, 0.05796096]"
40,COMPLETE,0.0366145558655262,1.6252456716928958,0.9350404932816343,27.96442343928491,6106.491291206298,0.0366145558655262,"[0.03150151, 0.03683915, 0.04150301]"
41,COMPLETE,0.0645085945725441,1.4671641317723123,1.3002596761073646,100.45959332557403,16.32345122554511,0.0645085945725441,"[0.078879975, 0.0494125, 0.065233305]"
42,COMPLETE,0.03444412723183632,1.6531311037543877,1.3379744062258538,222.14974040514124,30.106991407891822,0.03444412723183632,"[0.021109119, 0.031529, 0.050694272]"
43,COMPLETE,0.03534745052456856,1.2827712312328117,1.0504705608600198,77.36166235089657,37.916336281572136,0.03534745052456856,"[0.04370948, 0.025675634, 0.036657244]"
44,COMPLETE,0.034899014979600906,0.5288548079145073,1.771841372797153,45.60014572109862,22.803795493246998,0.034899014979600906,"[0.020745812, 0.0351886, 0.04876263]"
45,COMPLETE,0.03832796961069107,1.8771354143952679,1.5811719518382885,8396.172527943036,89.53972285919434,0.03832796961069107,"[0.0187143, 0.038297154, 0.057972454]"
46,COMPLETE,0.032429203391075134,1.5630593664817234,1.430335923281091,458.5224442418826,45.49666647150274,0.032429203391075134,"[0.02150013, 0.03353128, 0.042256203]"
47,COMPLETE,0.031438153237104416,1.2052509237539495,1.4472080934176053,506.5608169012087,68.19677492130351,0.031438153237104416,"[0.02304243, 0.025972307, 0.045299727]"
48,COMPLETE,0.03667706251144409,1.0437196036926308,1.2228947493826483,753.9773376247309,126.5668176982518,0.03667706251144409,"[0.043724578, 0.028295087, 0.03801152]"
49,COMPLETE,0.03469831496477127,1.3725178158115072,1.4598974038590018,593.0562593222835,70.74657760978258,0.03469831496477127,"[0.030761128, 0.026836962, 0.046496853]"
