epoch,train_task,kd_pct,si_pct,kl,val_mae,val_mse
0,0.03424520650152262,0.0,0.0,0.0,0.040886898088435444,0.001967000277783943
1,0.0073882130662679905,0.0,0.0,0.0,0.03614828928067172,0.0016493749654626982
2,0.005553839180134427,0.0,0.0,0.0,0.015670908964986706,0.0003843017203025043
3,0.00395741537343219,0.0,0.0,0.0,0.012477861219171611,0.0002240024613440045
4,0.0029705796013940987,0.0,0.0,0.0,0.01496991424709219,0.0003491792731379654
5,0.0022705788691476463,0.0,0.0,0.0,0.014074438494852619,0.0003078385519866439
6,0.0016811067822901057,0.0,0.0,0.0,0.014000623822459183,0.00030201663051628513
7,0.0012226463530689475,0.0,0.0,0.0,0.01710136632062842,0.0004532360459197201
8,0.000908930020398427,0.0,0.0,0.0,0.012918292173372186,0.0002516747270865855
9,0.0007018356176183518,0.0,0.0,0.0,0.016901303864498427,0.0004429461277555724
10,0.0005693888283528395,0.0,0.0,0.0,0.01375133934563328,0.00029051167266130813
11,0.0005002339907511778,0.0,0.0,0.0,0.014115851390230895,0.0003099215683753386
12,0.0004613972508402507,0.0,0.0,0.0,0.013839889201215021,0.0002962586202553364
13,0.00041976431115817034,0.0,0.0,0.0,0.012330886766064456,0.00022781151158751464
14,0.0002616570341081585,0.0,0.0,0.0,0.013908523968196147,0.0003107325124662854
15,0.00019762579563862288,0.0,0.0,0.0,0.021142713603628627,0.0006140188290089257
16,0.0001580215839572701,0.0,0.0,0.0,0.022477303043714782,0.0006810176574614595
17,0.00014238436915466098,0.0,0.0,0.0,0.020643223401970168,0.0005862331832398827
18,0.00013012509406380767,0.0,0.0,0.0,0.02160491984355319,0.0006349706678082092
19,0.00011888479263127668,0.0,0.0,0.0,0.02416377478945396,0.000768784673743662
20,0.00011306579347699304,0.0,0.0,0.0,0.02571565153276745,0.000860398529565872
21,0.00012110566364438154,0.0,0.0,0.0,0.024165404665314538,0.0007846456766187911
22,0.00012173598255042944,0.0,0.0,0.0,0.02391745184664156,0.0007627064983934463
23,0.00010746306650231858,0.0,0.0,0.0,0.024580336006650376,0.0007981826782611538
