epoch,train_loss,val_loss,task_loss,kd_loss,ewc_loss,lr
0,0.004341488254984668,0.0019687809324367275,0.004341488254984668,0.0,0.0,0.0001
1,0.003592342186954211,0.0018094050079240072,0.003592342186954211,0.0,0.0,0.0001
2,0.0031599474517925007,0.0016937974012583774,0.0031599474517925007,0.0,0.0,0.0001
3,0.0026851176207988783,0.0020431634467708397,0.0026851176207988783,0.0,0.0,0.0001
4,0.002106044023137799,0.0008862263680707169,0.002106044023137799,0.0,0.0,0.0001
5,0.001622283274673356,0.0012107998729262754,0.001622283274673356,0.0,0.0,0.0001
6,0.001291111112065699,0.0015554316181435623,0.001291111112065699,0.0,0.0,0.0001
7,0.001134403637220033,0.001708222567412869,0.001134403637220033,0.0,0.0,0.0001
8,0.00101278570876945,0.002328441912541978,0.00101278570876945,0.0,0.0,0.0001
9,0.0007987642992465324,0.00301664873800803,0.0007987642992465324,0.0,0.0,0.0001
10,0.0007542714697319979,0.0023434995108159535,0.0007542714697319979,0.0,0.0,5e-05
11,0.0006586003463146978,0.002462236724268304,0.0006586003463146978,0.0,0.0,5e-05
12,0.0006345427758369384,0.0027861837221309876,0.0006345427758369384,0.0,0.0,5e-05
13,0.0006041527249312565,0.0031143046104319338,0.0006041527249312565,0.0,0.0,5e-05
14,0.0006146186741869059,0.0034025409121924456,0.0006146186741869059,0.0,0.0,5e-05
15,0.0005451162803997083,0.0032253095607325936,0.0005451162803997083,0.0,0.0,5e-05
16,0.0005231628691715775,0.0036427274331818182,0.0005231628691715775,0.0,0.0,2.5e-05
17,0.0004818743981364243,0.0037747690214746704,0.0004818743981364243,0.0,0.0,2.5e-05
18,0.00046724910179572076,0.0034671522582296888,0.00046724910179572076,0.0,0.0,2.5e-05
19,0.0004609065646129808,0.0033064712004576995,0.0004609065646129808,0.0,0.0,2.5e-05
20,0.0004464802783624422,0.0036988936103010215,0.0004464802783624422,0.0,0.0,2.5e-05
21,0.000444249556859729,0.00397006009165405,0.000444249556859729,0.0,0.0,2.5e-05
22,0.00042456876416429695,0.004041177188095487,0.00042456876416429695,0.0,0.0,1.25e-05
23,0.00040559113024837254,0.0039041987368585345,0.00040559113024837254,0.0,0.0,1.25e-05
24,0.0003827301983426517,0.003834209011619691,0.0003827301983426517,0.0,0.0,1.25e-05
