epoch,train_loss,val_loss,lr,time
0,0.00037835938238185794,0.0016968475243153195,0.0001,83.63029384613037
1,0.0003041037868865504,0.0007897203623921553,0.0001,84.48842310905457
2,0.00026266808973975976,0.001639439429006042,0.0001,67.71568727493286
3,0.00023238411075209603,0.0003411636839334943,0.0001,60.71016454696655
4,0.0002113950509752844,0.0003754968451623625,0.0001,64.24922609329224
5,0.00018838245893074149,0.0005092413545408767,0.0001,81.24541568756104
6,0.000179468705898236,0.00012891777557245078,0.0001,69.71145176887512
7,0.0001589991762561122,0.00015003417529938843,0.0001,60.31838655471802
8,0.0001523135986476413,0.00013079822663273995,0.0001,60.784719705581665
9,0.0001518997331835965,0.00013191270442547233,0.0001,60.86277985572815
10,0.00014211861749206467,7.403622011968755e-05,0.0001,70.94724702835083
11,0.00013522714514760693,7.524758984176665e-05,0.0001,51.519410848617554
12,0.00013811211137242321,0.00013510442641272751,0.0001,50.40891790390015
13,0.00013514158720863106,9.474593848307406e-05,0.0001,48.36120915412903
14,0.00012569246478660276,8.305076050367242e-05,0.0001,68.28689312934875
15,0.0001200532396809356,9.906345816039604e-05,0.0001,50.09863877296448
16,0.0001191158578357739,0.00010384640127140911,0.0001,45.780946254730225
17,9.742804691958983e-05,7.070275110186716e-05,5e-05,45.54629158973694
18,9.533752339452771e-05,9.635022266915733e-05,5e-05,48.27280044555664
19,9.111891926807027e-05,8.102580292492362e-05,5e-05,59.468202114105225
20,9.297812663466871e-05,6.296576301344422e-05,5e-05,59.380661725997925
21,9.344253992012181e-05,0.00014119746151346123,5e-05,56.93784475326538
22,8.904398962109821e-05,0.00013384902581966318,5e-05,47.89885902404785
23,8.73356540533522e-05,8.975575950380965e-05,5e-05,47.80946087837219
24,8.900517273763555e-05,8.744353644316586e-05,5e-05,47.86744284629822
25,9.010184356607699e-05,0.0002660317714119839,5e-05,47.669479846954346
26,8.515040887827183e-05,0.00011925774417004881,5e-05,47.96199822425842
27,7.746386244345182e-05,0.00013392626195415748,2.5e-05,47.95817017555237
28,7.424710847498681e-05,0.00011922289905484489,2.5e-05,47.765440225601196
29,7.554999842755604e-05,0.00018426953114930963,2.5e-05,47.59103560447693
30,7.396322712570181e-05,8.167289827460124e-05,2.5e-05,47.896817207336426
31,7.293176752827985e-05,0.00017897707651798266,2.5e-05,47.741297483444214
32,7.23628842822872e-05,0.00012204553935367826,2.5e-05,47.66014099121094
33,6.758918239705036e-05,0.00012012417551547045,1.25e-05,47.74871611595154
34,6.924473723567557e-05,0.0001620036078405834,1.25e-05,47.71897530555725
35,6.796079969157517e-05,0.00010715287991747826,1.25e-05,51.04104948043823
36,6.76016112730703e-05,9.728388019568634e-05,1.25e-05,47.90167427062988
37,6.865285491888932e-05,0.00013407735998928575,1.25e-05,47.72040557861328
38,6.604315756331369e-05,0.00010810865081877631,1.25e-05,51.861234188079834
39,6.860169045001663e-05,0.00014520500207739227,6.25e-06,48.06727170944214
40,6.56856617862026e-05,0.00012164773181957423,6.25e-06,47.950799226760864
