epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,si_loss
0,0.0341833889034088,0.0018105589735385563,0.0001,129.23541259765625,0.0341833889034088,0.0,0.0
1,0.007452370173116447,0.0009682664125513159,0.0001,128.12759613990784,0.007452370173116447,0.0,0.0
2,0.0056414652602602595,0.0011449087113494234,0.0001,131.9200735092163,0.0056414652602602595,0.0,0.0
3,0.004638859916581852,0.0005009434105331532,0.0001,121.47800922393799,0.004638859916581852,0.0,0.0
4,0.0037085363912200352,0.001020783120375514,0.0001,120.69548630714417,0.0037085363912200352,0.0,0.0
5,0.002845369854782415,0.00038384924479144836,0.0001,121.28796243667603,0.002845369854782415,0.0,0.0
6,0.0019421369396270156,0.0003466020740066581,0.0001,118.96013188362122,0.0019421369396270156,0.0,0.0
7,0.001374477534049623,0.000235358877901477,0.0001,122.09666967391968,0.001374477534049623,0.0,0.0
8,0.001136400383246815,0.0002873056698012691,0.0001,124.28302097320557,0.001136400383246815,0.0,0.0
9,0.0008587499468018549,0.0009257041117799518,0.0001,121.05624890327454,0.0008587499468018549,0.0,0.0
10,0.0006458426692941797,0.0009103204335194277,0.0001,117.10630488395691,0.0006458426692941797,0.0,0.0
11,0.0005321540643699718,0.0012564984550727132,0.0001,118.8401563167572,0.0005321540643699718,0.0,0.0
12,0.0004721299663231581,0.008528246885802804,0.0001,117.96905708312988,0.0004721299663231581,0.0,0.0
13,0.0004520592134173515,0.0026869809688442664,0.0001,118.89880776405334,0.0004520592134173515,0.0,0.0
14,0.0003162512807423244,0.011495170841542633,5e-05,119.65577411651611,0.0003162512807423244,0.0,0.0
15,0.00020441936333727057,0.011449966391969308,5e-05,119.93173933029175,0.00020441936333727057,0.0,0.0
16,0.00028453645628152575,0.005056121189120342,5e-05,117.2618989944458,0.00028453645628152575,0.0,0.0
17,0.0004223186078450601,0.007174852805058384,5e-05,116.59273552894592,0.0004223186078450601,0.0,0.0
18,0.00024178235944161223,0.007741239356737516,5e-05,112.77685189247131,0.00024178235944161223,0.0,0.0
19,0.00017374384764934058,0.00825100585344535,5e-05,115.48959422111511,0.00017374384764934058,0.0,0.0
20,0.00011908467207709644,0.007034786744601703,2.5e-05,116.86331248283386,0.00011908467207709644,0.0,0.0
21,0.00010880843898079181,0.004968442074578476,2.5e-05,125.88044261932373,0.00010880843898079181,0.0,0.0
22,9.982576559704443e-05,0.005410519438874089,2.5e-05,119.90972447395325,9.982576559704443e-05,0.0,0.0
23,9.672316536353716e-05,0.004867258980967748,2.5e-05,114.94702386856079,9.672316536353716e-05,0.0,0.0
24,9.051768627792129e-05,0.004227522650999837,2.5e-05,109.61842346191406,9.051768627792129e-05,0.0,0.0
25,8.646949663855977e-05,0.008712453275138107,2.5e-05,113.52599573135376,8.646949663855977e-05,0.0,0.0
26,8.001972699697969e-05,0.004111769501440727,1.25e-05,115.94033789634705,8.001972699697969e-05,0.0,0.0
27,7.800807950968069e-05,0.004462383512855597,1.25e-05,115.17134475708008,7.800807950968069e-05,0.0,0.0
