epoch,time,lr,train_loss,val_loss,task_loss,kd_loss,si_loss,KL,alpha,lambda,adapter
0,108.80160069465637,0.0001,0.02860100903759359,0.0014317572754555502,0.02860100903759359,0.0,0.0,0.0,0.0,0.0,0.0
1,108.73251461982727,0.0001,0.006851373963378403,0.0012917599276303679,0.006851373963378403,0.0,0.0,0.0,0.0,0.0,0.0
2,108.32294750213623,0.0001,0.0052833018669208595,0.0011261023805138539,0.0052833018669208595,0.0,0.0,0.0,0.0,0.0,0.0
3,108.27249431610107,0.0001,0.004283268666922879,0.0005008893828015015,0.004283268666922879,0.0,0.0,0.0,0.0,0.0,0.0
4,108.06838965415955,0.0001,0.0029158416706702,0.00028231213042124184,0.0029158416706702,0.0,0.0,0.0,0.0,0.0,0.0
5,109.4347460269928,0.0001,0.002127479458495561,0.00021854981062253653,0.002127479458495561,0.0,0.0,0.0,0.0,0.0,0.0
6,107.91159582138062,0.0001,0.0015249407041415428,0.00031923456065159974,0.0015249407041415428,0.0,0.0,0.0,0.0,0.0,0.0
7,111.40711236000061,0.0001,0.0010934102413474157,0.000314990626189023,0.0010934102413474157,0.0,0.0,0.0,0.0,0.0,0.0
8,108.05945706367493,0.0001,0.0008202205593186994,0.0002169368908402908,0.0008202205593186994,0.0,0.0,0.0,0.0,0.0,0.0
9,107.47957706451416,0.0001,0.0007186452508216516,0.0003142845351322098,0.0007186452508216516,0.0,0.0,0.0,0.0,0.0,0.0
10,108.01020812988281,0.0001,0.0006688097478314524,0.0002462809197159173,0.0006688097478314524,0.0,0.0,0.0,0.0,0.0,0.0
11,109.17468857765198,0.0001,0.0005210698726069172,0.0002701967456290733,0.0005210698726069172,0.0,0.0,0.0,0.0,0.0,0.0
12,107.57547616958618,0.0001,0.0004721924526337447,0.00024146767715843876,0.0004721924526337447,0.0,0.0,0.0,0.0,0.0,0.0
13,107.97210955619812,0.0001,0.00027874719108782165,0.00040439955053970465,0.00027874719108782165,0.0,0.0,0.0,0.0,0.0,0.0
14,108.2847969532013,0.0001,0.00022224080994495942,0.00029274946442449953,0.00022224080994495942,0.0,0.0,0.0,0.0,0.0,0.0
15,107.15005016326904,5e-05,0.0001680880483762735,0.000341570034108409,0.0001680880483762735,0.0,0.0,0.0,0.0,0.0,0.0
16,108.40854072570801,5e-05,0.0001511046162128667,0.0005306188349998128,0.0001511046162128667,0.0,0.0,0.0,0.0,0.0,0.0
17,108.33394575119019,5e-05,0.000138468148662968,0.000672009441549168,0.000138468148662968,0.0,0.0,0.0,0.0,0.0,0.0
18,109.1774697303772,5e-05,0.00012069715647124186,0.0008922925648450703,0.00012069715647124186,0.0,0.0,0.0,0.0,0.0,0.0
19,111.95936846733093,5e-05,0.00011338801129326815,0.0007650561566998299,0.00011338801129326815,0.0,0.0,0.0,0.0,0.0,0.0
20,110.74912190437317,5e-05,0.00010678565431084376,0.0008711570093336533,0.00010678565431084376,0.0,0.0,0.0,0.0,0.0,0.0
21,107.7179868221283,2.5e-05,9.33298870524117e-05,0.0009601308728947597,9.33298870524117e-05,0.0,0.0,0.0,0.0,0.0,0.0
22,106.76809597015381,2.5e-05,9.095473913332637e-05,0.0010114441542136807,9.095473913332637e-05,0.0,0.0,0.0,0.0,0.0,0.0
23,107.20946526527405,2.5e-05,8.78793547176291e-05,0.0008402008807503268,8.78793547176291e-05,0.0,0.0,0.0,0.0,0.0,0.0
24,107.90641903877258,2.5e-05,8.578994636667002e-05,0.00108202273722142,8.578994636667002e-05,0.0,0.0,0.0,0.0,0.0,0.0
25,113.94697999954224,2.5e-05,8.294189146188187e-05,0.0009846297224444006,8.294189146188187e-05,0.0,0.0,0.0,0.0,0.0,0.0
26,112.29761600494385,2.5e-05,8.434857915876454e-05,0.0010628755590620968,8.434857915876454e-05,0.0,0.0,0.0,0.0,0.0,0.0
27,108.44413828849792,1.25e-05,7.802188671313515e-05,0.0012929140411616074,7.802188671313515e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,105.669269323349,1.25e-05,7.513656549185233e-05,0.0012522024859132634,7.513656549185233e-05,0.0,0.0,0.0,0.0,0.0,0.0
