number,value,datetime_start,datetime_complete,duration,params_lambda1,params_lambda2,user_attrs_val_update1,user_attrs_val_update2,state
0,0.0006897948265144424,2025-06-11 09:44:12.175139,2025-06-11 11:03:32.697899,0 days 01:19:20.522760,554.9829090278781,61.966841942595046,0.0042099848397820746,0.0006897948265144424,COMPLETE
1,0.0006741390034633152,2025-06-11 11:03:32.698835,2025-06-11 12:05:02.896117,0 days 01:01:30.197282,211.46122503649588,223.18222266496824,0.0042099848397820746,0.0006741390034633152,COMPLETE
2,0.0006835166549151987,2025-06-11 12:05:02.897818,2025-06-11 13:15:03.827404,0 days 01:10:00.929586,491.06433351421686,314.14209169262216,0.0042099848397820746,0.0006835166549151987,COMPLETE
3,0.0010324968046887587,2025-06-11 13:15:03.829073,2025-06-11 14:25:34.472896,0 days 01:10:30.643823,22.44786397595707,2055.712841753727,0.0042099848397820746,0.0010324968046887587,COMPLETE
4,0.00027936218729069187,2025-06-11 14:25:34.474078,2025-06-11 15:35:34.034349,0 days 01:09:59.560271,14.161218398256278,4549.993007080157,0.0042099848397820746,0.00027936218729069187,COMPLETE
5,0.00041099751846821353,2025-06-11 15:35:34.035778,2025-06-11 17:10:32.796480,0 days 01:34:58.760702,179.3928563951141,11.78214490361656,0.0042099848397820746,0.00041099751846821353,COMPLETE
6,0.0006163858172982447,2025-06-11 17:10:32.798004,2025-06-11 18:13:05.538446,0 days 01:02:32.740442,219.16030909933764,11.519299781349291,0.0042099848397820746,0.0006163858172982447,COMPLETE
7,0.0006161718611947913,2025-06-11 18:13:05.539975,2025-06-11 19:24:55.454794,0 days 01:11:49.914819,14.618501591601897,3306.0898638794374,0.0042099848397820746,0.0006161718611947913,COMPLETE
8,0.0008871468039982907,2025-06-11 19:24:55.464273,2025-06-11 20:49:07.811621,0 days 01:24:12.347348,184.74767645837952,183.05347762471408,0.0042099848397820746,0.0008871468039982907,COMPLETE
9,0.0006658246721768616,2025-06-11 20:49:07.814910,2025-06-11 22:21:37.085800,0 days 01:32:29.270890,9114.277554559818,31.84547147439032,0.0042099848397820746,0.0006658246721768616,COMPLETE
10,0.0010839230685741905,2025-06-11 22:21:37.087336,2025-06-11 23:47:31.067198,0 days 01:25:53.979862,45.60410950372908,8145.828247299373,0.0042099848397820746,0.0010839230685741905,COMPLETE
11,0.0006515366497367476,2025-06-11 23:47:31.080893,2025-06-12 01:25:11.013613,0 days 01:37:39.932720,2561.322415334375,1291.0903263122489,0.0042099848397820746,0.0006515366497367476,COMPLETE
12,0.0011384961423265858,2025-06-12 01:25:11.015552,2025-06-12 02:42:23.251136,0 days 01:17:12.235584,59.44696151151128,11.657792645302036,0.0042099848397820746,0.0011384961423265858,COMPLETE
13,0.0005224310908549966,2025-06-12 02:42:23.253543,2025-06-12 04:22:10.789488,0 days 01:39:47.535945,65.70440981269823,678.1304203880273,0.0042099848397820746,0.0005224310908549966,COMPLETE
14,0.0005901863778367899,2025-06-12 04:22:10.801156,2025-06-12 05:34:01.494365,0 days 01:11:50.693209,1709.7866899481498,7948.986479767889,0.0042099848397820746,0.0005901863778367899,COMPLETE
15,0.0004896121870016671,2025-06-12 05:34:01.495420,2025-06-12 07:26:55.108968,0 days 01:52:53.613548,11.37722605463959,90.84409278320794,0.0042099848397820746,0.0004896121870016671,COMPLETE
16,0.0008590991913117814,2025-06-12 07:26:55.110311,2025-06-12 08:53:07.985464,0 days 01:26:12.875153,28.200101251728753,811.1741966979666,0.0042099848397820746,0.0008590991913117814,COMPLETE
17,0.0007073376803947018,2025-06-12 08:53:07.987078,2025-06-12 10:08:45.393405,0 days 01:15:37.406327,116.13345879702635,25.753352720167904,0.0042099848397820746,0.0007073376803947018,COMPLETE
18,0.0005290819808555584,2025-06-12 10:08:45.395021,2025-06-12 11:35:54.072433,0 days 01:27:08.677412,551.6132388919015,3774.4079909823267,0.0042099848397820746,0.0005290819808555584,COMPLETE
19,0.0008128836082778037,2025-06-12 11:35:54.073711,2025-06-12 12:38:43.751806,0 days 01:02:49.678095,1380.3406348083988,626.7999582906839,0.0042099848397820746,0.0008128836082778037,COMPLETE
20,0.0005774381580914852,2025-06-12 12:38:43.753254,2025-06-12 13:43:31.213016,0 days 01:04:47.459762,93.31133584981677,72.99510394387832,0.0042099848397820746,0.0005774381580914852,COMPLETE
21,0.00037968172238512387,2025-06-12 13:43:31.214793,2025-06-12 15:03:24.421929,0 days 01:19:53.207136,11.482915365695172,83.85527167542902,0.0042099848397820746,0.00037968172238512387,COMPLETE
22,0.0007128872777659173,2025-06-12 15:03:24.423687,2025-06-12 16:30:53.823500,0 days 01:27:29.399813,30.413014021083498,24.706801709285337,0.0042099848397820746,0.0007128872777659173,COMPLETE
23,0.000835185202702905,2025-06-12 16:30:53.824967,2025-06-12 17:27:32.725766,0 days 00:56:38.900799,12.74763435386489,133.08684491694166,0.0042099848397820746,0.000835185202702905,COMPLETE
24,0.0008779716025643949,2025-06-12 17:27:32.727452,2025-06-12 18:36:31.877221,0 days 01:08:59.149769,10.066875509960658,49.3618635012836,0.0042099848397820746,0.0008779716025643949,COMPLETE
25,0.0004881090186242097,2025-06-12 18:36:31.878771,2025-06-12 20:09:58.138303,0 days 01:33:26.259532,21.778052626277553,10.10115109268626,0.0042099848397820746,0.0004881090186242097,COMPLETE
26,0.0008757391622618927,2025-06-12 20:09:58.140589,2025-06-12 21:06:26.529411,0 days 00:56:28.388822,40.70794618713465,348.2186181676027,0.0042099848397820746,0.0008757391622618927,COMPLETE
27,0.0006267841744026186,2025-06-12 21:06:26.531699,2025-06-12 22:03:23.043659,0 days 00:56:56.511960,110.9369386930277,38.511577808474215,0.0042099848397820746,0.0006267841744026186,COMPLETE
28,0.0011038757177044619,2025-06-12 22:03:23.045166,2025-06-12 23:17:27.276667,0 days 01:14:04.231501,7098.2354773327315,21.209732089045488,0.0042099848397820746,0.0011038757177044619,COMPLETE
