epoch,train_loss,val_loss,lr,time
0,0.003954326572666041,0.00108227238983258,0.0001,25.665329694747925
1,0.0032230859944022967,0.001143792704031416,0.0001,22.791062593460083
2,0.0030808921875170843,0.0006906302387378957,0.0001,22.255480527877808
3,0.0030373518952648403,0.0006025638776342817,0.0001,22.354076147079468
4,0.0030041745612751167,0.0005046041492612541,0.0001,22.452369451522827
5,0.002953014294892557,0.0006844327379376903,0.0001,22.396818161010742
6,0.002939143205167913,0.0005008868059242231,0.0001,22.31461262702942
7,0.002924617910818667,0.0004808797125954157,0.0001,22.311502695083618
8,0.002895868309208219,0.0006399104532823747,0.0001,22.46925950050354
9,0.002900748592636215,0.0005105893602141302,0.0001,22.588929176330566
10,0.0028968289057687228,0.0004558536285903087,0.0001,22.346428871154785
11,0.002875552433264926,0.0005120496591932394,0.0001,22.29440665245056
12,0.0028807183219457856,0.0005791498742729939,0.0001,22.240066289901733
13,0.002875906214048192,0.0003899028749919158,0.0001,22.259666919708252
14,0.002859838154233008,0.0004262508840039705,0.0001,22.290499210357666
15,0.0028691724118235736,0.00045614309247070346,0.0001,22.14246702194214
16,0.002862179105131741,0.0004700707086919904,0.0001,22.510234832763672
17,0.0028479473754793993,0.00045956339611062224,0.0001,22.323071241378784
18,0.0028499588526464457,0.0005317404453241038,0.0001,22.348063707351685
19,0.0028386197436659397,0.0004918304009145524,0.0001,23.00983953475952
20,0.0028229551548659693,0.0004744629158653951,5e-05,22.451194047927856
21,0.002822687178334499,0.0004817325094969993,5e-05,22.28775715827942
22,0.0028246566911779704,0.0004686412173935826,5e-05,22.339941263198853
23,0.0028171382268342604,0.00043192641070867384,5e-05,22.377137660980225
24,0.0028112162300163957,0.000497373204674289,5e-05,22.477025747299194
25,0.002825599641759815,0.0004795826776997391,5e-05,22.049665927886963
26,0.002816515031763682,0.0005840326148994114,2.5e-05,22.318646907806396
27,0.0027853112106369523,0.0004766317754933987,2.5e-05,22.311827182769775
28,0.0028027386072637015,0.0004985442535287558,2.5e-05,22.36373519897461
29,0.0027924397205929324,0.0005407512516596672,2.5e-05,22.521010160446167
30,0.0027843199500274464,0.000441505412321827,2.5e-05,22.61101770401001
31,0.002798566580722998,0.0005403531670271661,2.5e-05,25.89639925956726
32,0.002793563459173974,0.0004965026878542194,1.25e-05,27.821868658065796
33,0.002782834639931389,0.0004962778237882144,1.25e-05,22.572274446487427
