task,scope,RMSE,MAE,R2,RMSE_smooth,MAE_smooth,R2_smooth
task0,task,0.051833507,0.045294464,-3.268558979034424,0.0515980473156335,0.0451216477827733,-3.229866005402977
task0,full,0.08556693,0.067164116,-0.03424811363220215,0.08531517082257299,0.06700488070682868,-0.028171131786235426
task1,task,0.07246763,0.06657793,-7.118321418762207,0.07228073924567169,0.0664459390302738,-7.076501338337476
task1,full,0.07888648,0.06015807,0.12094110250473022,0.07881866688417373,0.06014070886526593,0.12245166476945513
task2,task,0.14101395,0.13178168,-61.62387466430664,0.13957904851763903,0.12923936645818393,-60.355889537650796
task2,full,0.096028864,0.07759863,-0.3026161193847656,0.09550684405233996,0.07699052784816104,-0.2884924120265926
