epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,si_loss
0,0.0021148315916125738,0.001339100545241162,0.0001,70.0689742565155,0.0021148315916125738,0.0,0.0
1,0.0010077365154842542,0.0016039098152102074,0.0001,69.55745887756348,0.0010077365154842542,0.0,0.0
2,0.0008783850226927586,0.0022958320211026667,0.0001,69.11214470863342,0.0008783850226927586,0.0,0.0
3,0.0006535943080579296,0.0024718138042319586,0.0001,68.94958329200745,0.0006535943080579296,0.0,0.0
4,0.0006025413666721427,0.0026636176301756465,0.0001,69.78208446502686,0.0006025413666721427,0.0,0.0
5,0.0005580314877184569,0.002642827311742053,0.0001,69.74838519096375,0.0005580314877184569,0.0,0.0
6,0.0005368605917282519,0.002330102154648413,0.0001,68.95588421821594,0.0005368605917282519,0.0,0.0
7,0.0003604304866687082,0.0028173824120735296,5e-05,70.08985352516174,0.0003604304866687082,0.0,0.0
8,0.00034667641475045476,0.003224055893982073,5e-05,70.10297322273254,0.00034667641475045476,0.0,0.0
9,0.000325318404120351,0.003166043519231993,5e-05,68.56434917449951,0.000325318404120351,0.0,0.0
10,0.00031700461239222175,0.003347605796474511,5e-05,69.7958676815033,0.00031700461239222175,0.0,0.0
11,0.0002925057623407326,0.0025506252498665254,5e-05,69.49426436424255,0.0002925057623407326,0.0,0.0
12,0.0002923747206311359,0.0033794080765017043,5e-05,69.11134886741638,0.0002923747206311359,0.0,0.0
13,0.00024576654578908094,0.0032137181470774374,2.5e-05,68.49726390838623,0.00024576654578908094,0.0,0.0
14,0.00023657895836566757,0.003929960695425946,2.5e-05,68.35050201416016,0.00023657895836566757,0.0,0.0
15,0.0002402116485603996,0.0037905559294355434,2.5e-05,68.85387754440308,0.0002402116485603996,0.0,0.0
16,0.0002304895349542759,0.0035944945374626514,2.5e-05,68.47562742233276,0.0002304895349542759,0.0,0.0
17,0.00023186555399420746,0.004181317176359504,2.5e-05,69.32581043243408,0.00023186555399420746,0.0,0.0
18,0.0002239535816505068,0.0039659940035924384,2.5e-05,68.8873553276062,0.0002239535816505068,0.0,0.0
19,0.00021006205673879688,0.0039196829292612685,1.25e-05,69.00877046585083,0.00021006205673879688,0.0,0.0
20,0.00019994133362150773,0.004083900846283208,1.25e-05,68.92330408096313,0.00019994133362150773,0.0,0.0
