epoch,train_loss,val_loss,task_loss,kd_loss,ewc_loss,lr
0,0.001814308778479443,0.0019772666676898232,0.001814308778479443,0.0,0.0,0.0001
1,0.0010839632196448128,0.0010455047313140972,0.0010839632196448128,0.0,0.0,0.0001
2,0.0009926566414331923,0.001498978870588367,0.0009926566414331923,0.0,0.0,0.0001
3,0.0009053760018471334,0.0012924011457049569,0.0009053760018471334,0.0,0.0,0.0001
4,0.0008609522701323476,0.0011794599111844667,0.0008609522701323476,0.0,0.0,0.0001
5,0.0007658619139339275,0.0011578045386056452,0.0007658619139339275,0.0,0.0,0.0001
6,0.0007470421115323711,0.0007988894710370123,0.0007470421115323711,0.0,0.0,0.0001
7,0.0007778725843277957,0.0009254227079509292,0.0007778725843277957,0.0,0.0,0.0001
8,0.0007171027159331221,0.001364447272019959,0.0007171027159331221,0.0,0.0,0.0001
9,0.0006648028008973084,0.0007058339815544992,0.0006648028008973084,0.0,0.0,0.0001
10,0.0006760149584492479,0.0011563513507379228,0.0006760149584492479,0.0,0.0,0.0001
11,0.0006227090784110932,0.0009482798406292021,0.0006227090784110932,0.0,0.0,0.0001
12,0.0005831834419914439,0.0008184746978143596,0.0005831834419914439,0.0,0.0,0.0001
13,0.0005760161320668367,0.0008120634488016163,0.0005760161320668367,0.0,0.0,0.0001
14,0.0005346512614114676,0.0009347328151040914,0.0005346512614114676,0.0,0.0,0.0001
15,0.0005036838626684771,0.0008381302639803652,0.0005036838626684771,0.0,0.0,5e-05
16,0.0004249900689311747,0.0008188122209530001,0.0004249900689311747,0.0,0.0,5e-05
17,0.0004135559298774027,0.0006924851666604714,0.0004135559298774027,0.0,0.0,5e-05
18,0.00039282723548179254,0.0009098659665190349,0.00039282723548179254,0.0,0.0,5e-05
19,0.0003836204006786249,0.0009888477385726323,0.0003836204006786249,0.0,0.0,5e-05
20,0.00038333590854684524,0.0008164281928684947,0.00038333590854684524,0.0,0.0,5e-05
21,0.0003660254476565355,0.0008811508508478052,0.0003660254476565355,0.0,0.0,5e-05
22,0.0003598179035730288,0.001757543254721204,0.0003598179035730288,0.0,0.0,5e-05
23,0.0003728092918811133,0.0010644210431779181,0.0003728092918811133,0.0,0.0,2.5e-05
24,0.00031629621036484955,0.0009480252001347602,0.00031629621036484955,0.0,0.0,2.5e-05
25,0.0003074963278631669,0.001038622389751889,0.0003074963278631669,0.0,0.0,2.5e-05
26,0.00030319797054879216,0.001156462414632958,0.00030319797054879216,0.0,0.0,2.5e-05
27,0.0002894590946013189,0.0010664683663827422,0.0002894590946013189,0.0,0.0,2.5e-05
28,0.0002860030443353942,0.001265843764950743,0.0002860030443353942,0.0,0.0,2.5e-05
29,0.0002885688574301908,0.0011866497729120036,0.0002885688574301908,0.0,0.0,1.25e-05
30,0.00026165020297259743,0.0012332033999373538,0.00026165020297259743,0.0,0.0,1.25e-05
31,0.0002555280745171124,0.001288259639830469,0.0002555280745171124,0.0,0.0,1.25e-05
32,0.0002575840440819176,0.0011673399598953339,0.0002575840440819176,0.0,0.0,1.25e-05
33,0.00025279007853039364,0.0011953672539637482,0.00025279007853039364,0.0,0.0,1.25e-05
34,0.00025323231077838555,0.001147874841919244,0.00025323231077838555,0.0,0.0,1.25e-05
35,0.00024833559263599646,0.0011335359135689418,0.00024833559263599646,0.0,0.0,6.25e-06
36,0.00023400602456736166,0.0011248963673597444,0.00023400602456736166,0.0,0.0,6.25e-06
37,0.00023672837157079284,0.0010729887131992058,0.00023672837157079284,0.0,0.0,6.25e-06
