number,values_0,params_lambda0
0,0.0726514533162117,0.20059560245279648
1,0.06148691102862358,20.218499516556736
2,0.026620149612426758,3.5093904781414595
3,0.07636565715074539,1.2067245262919604
4,0.0613524354994297,0.034873515599526915
5,0.09270484000444412,0.034866781670451236
6,0.025652186945080757,0.015920758785234034
7,0.019153499975800514,10.275417738969418
8,0.03257710859179497,1.2306931514988035
9,0.02471822500228882,2.897705266717829
10,0.08228210359811783,25.32579575628509
11,0.07055415958166122,4.691818251984435
12,0.022269146516919136,5.002962484325992
13,0.07556852698326111,9.59504550020039
14,0.03563091158866882,0.24051608277968897
15,0.026599237695336342,9.776469629982259
16,0.03324985131621361,0.7996806871209444
17,0.0361010916531086,6.67443158391697
18,0.052894044667482376,0.3144542058528971
19,0.018640918657183647,1.7308811107049262
20,0.019415313377976418,2.230207325345345
21,0.06424878537654877,2.081668955859349
22,0.03579280897974968,0.4998927685941614
23,0.03123747743666172,1.8167988502024341
24,0.021713340654969215,12.859625223113143
25,0.022824935615062714,0.12785563849920573
26,0.019686462357640266,15.264170466395823
27,0.032136037945747375,0.5769332978430267
28,0.0179648008197546,1.7667388057786266
29,0.1129407212138176,0.09096383899379061
30,0.028479134663939476,1.073174849360204
31,0.019902771338820457,2.476861855910677
32,0.035778697580099106,7.6640623786915345
33,0.04109863564372063,3.6457681426614843
34,0.019995437934994698,1.5219157984921674
35,0.022042924538254738,0.685148238543335
36,0.01927964575588703,0.3904143360954384
37,0.0799010619521141,0.37690364905657
38,0.028594426810741425,0.15096669443459404
39,0.028868474066257477,0.8695357435912042
40,0.02413923479616642,29.847253664885404
41,0.031166816130280495,3.3425880289113903
42,0.020104428753256798,1.422072659244633
43,0.06326489895582199,0.06916968400458183
44,0.05262208357453346,4.386438442106829
45,0.022120989859104156,0.4089328442979022
46,0.04432247579097748,5.967975514196635
47,0.01882304437458515,1.1142206057934334
48,0.024109400808811188,0.9922503954468102
49,0.03254194185137749,0.2684667019874754
