epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0014131298560656502,0.0014131298560656502,0.0,0.0,0.0007145323802376067,0.5703565482225316,0.0,0.0,0.0,0.0,0.0001,100.77362966537476
1,0.0009228715464634056,0.0007763085660572969,0.00012402406409427663,2.2538916311831953e-05,0.0015437529337247293,0.5686951298979618,0.009532170180559508,0.0003547073461398135,0.13438930322378786,0.02442259315308264,0.0001,100.7881383895874
2,0.0009727898271497852,0.0006749191303336488,0.00024459922548397526,5.327147133216119e-05,0.0018050352676373858,0.5655431868049152,0.019069324053642204,0.0007067013485725976,0.2514409779557791,0.05476154236546999,0.0001,101.81000661849976
3,0.0010218870026266326,0.0005832895856307018,0.0003557220530993307,8.28753638966002e-05,0.001338642008291584,0.568693032556586,0.02859800122655753,0.0010633104433186923,0.3481031192147387,0.08110032095875516,0.0001,96.44475793838501
4,0.001074240037387258,0.0005058371292371817,0.0004683649947104537,0.0001000379134396225,0.0013721813440003374,0.5639206737044872,0.03814017966103406,0.0014125688512147284,0.4359965914597638,0.09312435764629703,0.0001,96.4688606262207
5,0.0012301275027333724,0.0005383465556343942,0.0005743173326841339,0.00011746361441484434,0.00231379459378217,0.5717171067527326,0.047648930303141455,0.0017800268349563056,0.46687626397100074,0.09548897504838923,0.0001,96.09148359298706
6,0.001348947478884612,0.0005442382972167727,0.0006722783192657194,0.00013243086240211972,0.0022079941508430026,0.5616753527575419,0.05722553251874434,0.0021105434064614165,0.498372493954767,0.09817347559863579,5e-05,95.9715085029602
7,0.001367761880677156,0.0004517803422771654,0.0007722263581613528,0.00014375518023863792,0.0020152399821180065,0.5670274086215206,0.06674089082847398,0.002474403882275283,0.5645912267850574,0.1051024906231976,5e-05,95.82709813117981
8,0.0015008263493672903,0.0004769020278764816,0.0008704168940810975,0.00015350742740971132,0.0019088383070930887,0.5724939592300147,0.07622948193577167,0.002852837612746558,0.5799584305326481,0.10228193786338177,5e-05,96.33111000061035
9,0.0015965179800324133,0.0004798599044488128,0.0009609514501894643,0.00015570662539413614,0.0017590607012952764,0.5630985101511488,0.08583003265497936,0.0031703155545112463,0.6019045586758469,0.09752888933388332,5e-05,95.1682198047638
10,0.0017042004463242305,0.0004895291494868777,0.001049674979303301,0.00016499631753405186,0.0017491328776056965,0.5601106212214245,0.09538496500819495,0.0035126301622049176,0.6159339892014066,0.09681743593597246,5e-05,97.33992767333984
11,0.0017039373048753422,0.0004988239637835497,0.0010416000428665197,0.00016351329822527272,0.0014440537330137906,0.5693541775951612,0.09532405569266314,0.0035457919006612673,0.6112901219348101,0.0959620390711706,5e-05,96.32383847236633
12,0.0016934005514551967,0.0004870993830835628,0.0010455375300826404,0.0001607636382889935,0.00144204644435143,0.5704235584599107,0.0953031286321557,0.003557185522492959,0.6174189143756771,0.0949353879392822,2.5e-05,101.25054359436035
13,0.0016590480344233149,0.00046050714886492226,0.0010392234174120569,0.00015931746814633565,0.0012339701765172264,0.5737085201562554,0.09527999156219384,0.0035697823716945563,0.6263974254207119,0.09602944872040092,2.5e-05,135.0046455860138
14,0.0016347957879812918,0.0004416290225292629,0.0010405071555720294,0.0001526596098799995,0.0017225034477762944,0.5633921505012746,0.0953665470779505,0.003522657702004775,0.6364753097736369,0.09338145534893347,2.5e-05,134.49363589286804
15,0.0016320567156835341,0.00044115312074716147,0.0010391458820924219,0.00015175771284395078,0.0019614901205112236,0.5672810951030305,0.09533896454036979,0.0035376748613541844,0.6367094183103859,0.09298556317657868,2.5e-05,156.12479734420776
16,0.0016193074757127298,0.00042952841049372927,0.0010406996862572884,0.00014907937896171215,0.0020811531979326534,0.5684783281188391,0.0953256561576792,0.0035449205363747246,0.6426819500720392,0.09206366375607303,2.5e-05,183.97691297531128
17,0.0016333969324199887,0.00044603444290223674,0.001039137635862357,0.00014822485365539485,0.0018948088765939595,0.57211345252975,0.09529160795883923,0.003563457889076356,0.6361819440439404,0.09074637689920824,2.5e-05,172.1965446472168
18,0.001618283776165659,0.0004333366973312969,0.001038447552595614,0.00014649952623874802,0.0018642003133614326,0.5696319783871956,0.09531301051713124,0.003551805385117408,0.6416968197358429,0.09052771114461898,1.25e-05,174.22191715240479
19,0.0015898659863106145,0.0004072754126750294,0.0010367504657811618,0.00014584010785442323,0.002037633795617367,0.5644758631729215,0.09534598199154198,0.003533854249049395,0.6520992805104331,0.0917310698575636,1.25e-05,170.84126329421997
20,0.0015867130749451514,0.000406573487454257,0.0010343011703801152,0.00014583841711077934,0.001921418907966719,0.5664164379115922,0.09534608871460885,0.00353379614426847,0.6518514195869144,0.09191228043281902,1.25e-05,175.1351912021637
