epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,mas_loss
0,0.015823637229720734,0.02330889870689706,0.0001,49.01167845726013,0.015701683248770713,0.0,0.00012195394876650335
1,0.01578777954710495,0.02336103895095066,0.0001,65.04834604263306,0.015700102046417027,0.0,8.767750233219032e-05
2,0.015771787465889378,0.023368471386493343,0.0001,74.25030946731567,0.015688102985122875,0.0,8.3684483452397e-05
3,0.015796240236482156,0.02333784570097115,0.0001,74.99612641334534,0.015707825872804584,0.0,8.841435301544414e-05
4,0.01579250703573654,0.023311141824879287,0.0001,76.1227777004242,0.015706719729742715,0.0,8.57873104666627e-05
5,0.0157990847742064,0.02331555706190223,0.0001,80.07981085777283,0.0157101672145982,0.0,8.891753956279508e-05
6,0.015788161416093297,0.023349724850587738,0.0001,79.14004635810852,0.0157023487635784,0.0,8.581265923386956e-05
7,0.015753409069699836,0.02339907032688488,5e-05,76.79530215263367,0.01569532806032474,0.0,5.808102445160131e-05
8,0.015763718122163296,0.023424922740712995,5e-05,59.26658773422241,0.015703347521461297,0.0,6.037059627851966e-05
9,0.015770445865720333,0.02322302294509586,5e-05,77.31476473808289,0.01571001112855961,0.0,6.0434745139273896e-05
10,0.01576355121530191,0.023402091850437054,5e-05,80.17082500457764,0.01569847419546584,0.0,6.507701783210146e-05
11,0.0157698626286056,0.023379969522104273,5e-05,81.40179419517517,0.015708058240304253,0.0,6.180438219650569e-05
12,0.015763879613687273,0.02334100446723021,5e-05,61.88954019546509,0.0157024152021735,0.0,6.146440447913358e-05
13,0.015768464301314167,0.023312710693598405,5e-05,71.25859189033508,0.015707181051636623,0.0,6.12832366943163e-05
14,0.015771786472532596,0.023403239120505088,5e-05,64.1000325679779,0.01570947576052145,0.0,6.231071322491163e-05
15,0.015762167887948608,0.02339445337272741,5e-05,58.76723504066467,0.01569984469771103,0.0,6.232318534719704e-05
16,0.01574712452147193,0.023385928666034905,2.5e-05,77.23828315734863,0.015700095384353973,0.0,4.7029147252256504e-05
17,0.015741862975484557,0.023404424113236035,2.5e-05,77.49209880828857,0.015693228057663662,0.0,4.863492491877396e-05
18,0.015751361250856452,0.023387690206751046,2.5e-05,75.44641757011414,0.015702935705845023,0.0,4.842555033243067e-05
19,0.01574752054614485,0.023356715053206724,2.5e-05,78.2067334651947,0.01569722466065278,0.0,5.029587549790007e-05
20,0.015747956458772715,0.02333023243017517,2.5e-05,78.14545178413391,0.01569895737217635,0.0,4.899909028261917e-05
21,0.015757173061070273,0.023355951286806623,2.5e-05,78.71366620063782,0.01570672261024638,0.0,5.0450460543886704e-05
22,0.015732817293184705,0.0233815133957741,1.25e-05,77.04547119140625,0.015690659912233514,0.0,4.215736508663763e-05
23,0.015739545017901466,0.023374448671808816,1.25e-05,78.29555130004883,0.01569726667536223,0.0,4.227833285526344e-05
24,0.01573980412290403,0.02339779907138762,1.25e-05,76.31804490089417,0.015697766736048148,0.0,4.203737777177133e-05
25,0.015746283350511873,0.023348536619824545,1.25e-05,70.49319362640381,0.015703353691732487,0.0,4.292967698670746e-05
26,0.015731101477003885,0.023377136868062916,1.25e-05,73.64919757843018,0.01568850565086159,0.0,4.259584024936343e-05
27,0.01575285458802597,0.023371043612230562,1.25e-05,72.55061793327332,0.015710381844382133,0.0,4.247274007195189e-05
28,0.015736598894466002,0.023354801112669424,6.25e-06,67.91969227790833,0.015697963690890934,0.0,3.8635189265242e-05
29,0.015748751622188303,0.023359061325005696,6.25e-06,79.30226278305054,0.01570948256127054,0.0,3.926906123304268e-05
