epoch,train_loss,val_loss
1,0.016797332006868268,0.00913764397691077
2,0.0024432021139465902,0.0077189312731347805
3,0.0025380901629939987,0.003170495205957568
4,0.0019253566911092556,0.0011877816035288835
5,0.0019387708052543162,0.003077589984124984
6,0.0024707804797649306,0.004396236031166696
7,0.0021878709885924373,0.00200880019164029
8,0.001774438250013003,0.00282235574351636
9,0.0015679754505031566,0.0010108392087169035
10,0.0015714954835203245,0.0028957227139594175
11,0.001609043322955893,0.001865227731769747
12,0.0016317352419785776,0.0019138037774993808
13,0.0014707360260263523,0.002535790484321468
14,0.0013457781810381206,0.0015814934333736052
15,0.0012310051410509655,0.001121620354449702
16,0.0011262619054013755,0.0012985594340950862
17,0.000962992341287369,0.001652616448854699
18,0.0009278888714371488,0.0011323622600130346
19,0.0007681902382708312,0.0012162779032138331
20,0.0007808342955510195,0.0009353555204970032
21,0.0007630213982600853,0.0011545467530819848
22,0.0007904492345833799,0.0017714992549581782
23,0.0007932929946372353,0.0010235851609237563
24,0.000812335890269212,0.0013745751008482755
25,0.0007731376439361632,0.001168393592564859
26,0.0007747556716687753,0.0014007444012324847
27,0.0006069009331406232,0.0007788943559409354
28,0.0005767295637613648,0.0011051309093674901
29,0.0005776461353362164,0.0008144344868141755
30,0.0005643398726158583,0.0006307199900175011
31,0.000541986915275104,0.0012809308659639893
32,0.0005361457934763383,0.0010678317820090586
33,0.0005380904003111661,0.0010419041106590591
34,0.0005145477508492117,0.0007965075793518484
35,0.0005204944616549153,0.0015647564693657865
36,0.0005339863238009952,0.0007143984047069892
37,0.0004575122546501013,0.0008696810629463989
38,0.00045563019913787134,0.0010658891758805323
39,0.0004458462458842926,0.0013516154927609794
40,0.00043965945972476684,0.00116978536261351
41,0.00043616860702312216,0.0008214100400453707
42,0.0004339924771450716,0.0008864306215849296
43,0.0004059876474033255,0.0012055902818421274
44,0.00040304562887232877,0.0010614096507078575
45,0.000397791765144648,0.0009057785717345144
46,0.00040466204157404767,0.000987178509201471
47,0.00039817572644746887,0.0009756421002917273
48,0.00038854485102766484,0.0009681893747929335
49,0.0003778201970426787,0.0010581938316096208
50,0.00037661094607227005,0.0010236308127887326
