epoch,train_loss,val_loss
203,2e-05,5.23e-05
204,6.34e-07,3.84e-05
205,8.43e-06,3.9e-05
206,1.93e-06,3.88e-05
207,8.63e-07,4.3e-05
208,5.33e-06,5.61e-05
209,1.5e-05,5.59e-05
210,8.34e-06,4.19e-05
211,3.15e-05,4.5e-05
212,6.92e-07,4.72e-05
213,2.19e-05,5.52e-05
214,3.6e-07,3.83e-05
215,2.32e-06,4.21e-05
216,2.23e-05,4.35e-05
217,5.3e-06,4.19e-05
218,2.66e-06,4.46e-05
219,2.32e-05,5.02e-05
220,1.59e-06,4.08e-05
221,2.39e-05,3.78e-05
222,9.79e-08,4.92e-05
223,1.8e-05,4.14e-05
224,2.47e-05,4.55e-05
225,8.95e-07,4.52e-05
226,1.2e-05,4.07e-05
227,5.69e-07,3.97e-05
228,7.29e-06,4.22e-05
229,3.08e-05,4.79e-05
230,2.09e-06,3.73e-05
231,2.55e-06,3.94e-05
232,1.27e-05,5.56e-05
233,1.8e-06,4.06e-05
234,2.73e-06,4.1e-05
235,6.84e-07,3.71e-05
236,1.37e-05,4.58e-05
237,2.74e-06,3.85e-05
238,7.65e-06,4.09e-05
239,4.49e-07,4.71e-05
240,1.72e-06,3.78e-05
241,7.48e-06,5.61e-05
242,8.01e-06,8.87e-05
243,1.78e-06,4.69e-05
244,4.13e-05,5.64e-05
245,3.34e-06,3.84e-05
246,1.62e-06,4.28e-05
247,6.5e-07,4.88e-05
248,3.34e-06,4.18e-05
249,6.95e-07,3.77e-05
250,4.23e-06,4.14e-05
251,7.4e-07,3.84e-05
252,2.16e-07,4.2e-05
253,8.73e-07,4.19e-05
254,3.04e-05,0.000131
255,1.25e-05,8.76e-05
256,1.01e-06,4.65e-05
257,3.4e-07,4.3e-05
258,4.82e-06,3.94e-05
259,2.14e-06,3.98e-05
260,5.5e-06,3.83e-05
261,1.56e-06,6.21e-05
262,4.88e-07,3.8e-05
263,1.43e-05,6.3e-05
264,3.05,2490.0
265,24.1,1640.0
266,7.36,996.0
267,1.1,490.0
268,1.51,184.0
269,0.97,229.0
270,0.0903,29.3
271,0.0295,17.6
272,0.00161,1.75
273,0.000975,0.308
274,0.00698,0.381
275,0.00429,0.33
276,0.00169,0.175
277,0.00721,0.00144
278,0.00122,0.00107
279,0.000957,0.00106
280,0.000461,0.0807
281,0.000387,0.000529
282,0.000518,0.000539
283,0.000122,0.000441
284,0.00119,0.000413
285,0.00018,0.000391
286,0.000219,0.00036
287,0.000214,0.000353
288,1.76e-05,0.000279
289,0.000169,0.000331
290,7.31e-05,0.000209
291,3.42e-05,0.00028
292,0.000302,0.000277
293,9.72e-06,0.000138
294,0.000126,0.000139
295,3.61e-05,0.000131
296,7.35e-05,9.48e-05
297,2.76e-05,8.93e-05
298,2.64e-06,7.34e-05
299,1.02e-05,5.65e-05
300,1.8e-05,5.49e-05
301,8.69e-06,9.27e-05
302,1.81e-05,5.79e-05
303,8.81e-06,4.65e-05
304,5.36e-05,5.64e-05
305,5.56e-05,0.000116
306,1.22e-05,4.83e-05
307,4.44e-06,4.2e-05
308,2.88e-06,4.51e-05
309,5.81e-06,4.75e-05
310,4.38e-05,6.18e-05
311,1.51e-06,4.22e-05
312,3.38e-06,6.36e-05
313,1.04e-06,4.4e-05
314,1.49e-06,4.65e-05
315,8.99e-06,4.85e-05
316,4.26e-06,0.000108
317,9.21e-06,3.88e-05
318,0.118,0.122
319,0.109,0.122
320,0.113,0.122
321,0.119,0.121
322,0.118,0.12
323,0.114,0.118
324,0.116,0.113
325,0.108,0.103
326,0.0809,0.084
327,0.0587,0.0553
328,0.0193,0.0235
329,0.00117,0.00478
330,0.00107,0.00158
331,0.00104,0.00111
332,0.000717,0.000652
333,5e-05,0.000384
334,0.000269,0.000308
335,0.000117,0.000273
336,0.000268,0.000243
337,0.000225,0.000214
338,8.52e-05,0.00018
339,5.7e-05,0.000153
340,3.52e-05,0.00014
341,6.47e-05,0.000118
342,5.98e-05,0.000109
343,3.16e-05,9.19e-05
344,3.29e-05,7.95e-05
345,1.9e-06,7.39e-05
346,2.58e-05,8.22e-05
347,0.000158,6.84e-05
348,1.35e-05,6.65e-05
349,3.82e-05,6.28e-05
350,0.000217,6.66e-05
351,0.000117,5.93e-05
352,1.03e-05,6.74e-05
353,5.96e-06,5.88e-05
354,7.31e-05,5.87e-05
355,1.63e-05,5.93e-05
356,1.82e-05,5.42e-05
357,9.46e-06,5.36e-05
358,1.23e-05,6.88e-05
359,4.22e-05,5.51e-05
360,8.37e-06,4.74e-05
361,6.18e-06,5.06e-05
362,1.12e-06,8.32e-05
363,4.25e-06,9.52e-05
364,1.87e-05,6.02e-05
365,1.7e-06,4.98e-05
366,2.18e-05,5.1e-05
367,7.99e-07,4.59e-05
368,2.04e-06,4.22e-05
369,7.09e-07,4.02e-05
370,1.44e-06,4.21e-05
371,2.66e-06,6.28e-05
372,1.57e-06,3.92e-05
373,2.86e-06,5.48e-05
374,3.08e-05,8.22e-05
375,1.83e-05,5.75e-05
376,7.88e-07,4.52e-05
377,2.31e-05,4.14e-05
378,4.01e-06,4.8e-05
379,3.5e-05,5.68e-05
380,2.5e-05,6.44e-05
381,1.11e-05,4.32e-05
382,4.96e-06,3.84e-05
383,1.96e-06,3.8e-05
384,8.32e-07,4.13e-05
385,5.86,3.31e+31
386,2.63,3.39
387,1.62,3.39
388,2.72,3.39
389,3.83,3.39
390,8.93,3.39
391,2.01,3.39
392,5.23,3.39
393,6.31,3.39
394,3.71,3.39
395,10.5,3.39
396,26.9,3.39
397,1.88,3.4
398,7.01,3.4
399,9.9,3.42
400,2.08,3.43
401,7.41,3.37
402,3.92,3.34
403,3.05,3.26
404,21.0,2.66
405,23.4,2.0
406,3.56,1.2
407,1.3,0.691
408,4.19,1.11
409,4.58,3.18
410,6.1,5.11
411,11.0,7.77
412,4.96,5.58
413,11.5,12.3
414,2.88,4.36
415,10.2,6.11
416,5.76,8.97
417,16.8,8.79
418,8.67,8.41
419,9.33,7.64
420,7.42,6.25
421,12.1,4.19
422,6.6,2.13
423,2.94,1.13
424,1.57,0.929
425,1.37,0.825
426,0.878,0.704
427,3.15,0.601
428,5.37,0.788
429,1.55,0.54
430,0.625,0.568
431,0.363,0.598
432,0.492,0.613
433,3.0,0.753
434,0.265,0.661
435,0.829,0.704
436,0.531,0.738
437,0.877,0.745
438,1.57,5.29
439,5.34,5.3
440,1.85,5.31
441,7.46,5.33
442,4.47,5.37
443,7.8,5.4
444,5.67,5.43
445,5.77,5.45
446,6.73,5.48
447,2.94,5.47
448,4.47,5.46
449,6.18,5.47
450,7.62,5.4
451,6.46,5.25
452,6.05,4.94
453,5.26,4.36
454,3.19,3.36
455,2.47,2.0
456,0.781,0.827
457,0.522,0.423
458,0.23,0.401
459,0.276,0.399
460,0.617,0.394
461,0.544,0.384
462,0.304,0.365
463,0.143,0.338
464,0.534,0.296
465,0.277,0.245
466,0.062,0.191
467,0.115,0.142
468,0.0927,0.107
469,0.0954,0.0846
470,0.0703,0.0659
471,0.173,0.0488
472,0.0354,0.0335
473,0.00807,0.0232
474,0.0149,0.0165
475,0.0127,0.0122
476,0.00721,0.0105
477,0.029,0.00821
478,0.00239,0.00682
479,0.00292,0.00561
480,0.00937,0.00496
481,0.0115,0.0035
482,0.00193,0.00279
483,0.000253,0.00214
484,0.00109,0.00253
485,0.000412,0.00152
486,0.0011,0.000909
487,0.000792,0.000737
488,0.000512,0.000468
489,9.26e-05,0.000484
490,0.000433,0.000368
491,0.000187,0.000185
492,5.47e-05,0.000263
493,0.000136,0.000305
494,0.00084,0.00168
495,4.8e-05,0.00027
496,0.000374,0.000697
497,1.34e-05,0.000168
498,0.000208,0.00153
499,0.000473,0.00111
