number,value,datetime_start,datetime_complete,duration,params_factor,params_gamma,params_optimizer,params_scheduler,params_step_size,state
36,0.038191835339205844,2025-07-25 13:06:53.257039,2025-07-25 13:10:01.857398,0 days 00:03:08.600359,0.5221892115483359,,RMSprop,ReduceLROnPlateau,,PRUNED
37,0.0209065366782989,2025-07-25 13:10:01.878775,2025-07-25 13:28:59.791895,0 days 00:18:57.913120,,0.696267629144574,Adam,StepLR,30.0,PRUNED
38,0.26588229031874844,2025-07-25 13:28:59.839726,2025-07-25 13:33:44.402275,0 days 00:04:44.562549,,,SGD,CosineAnnealingLR,,PRUNED
39,0.02554166223274922,2025-07-25 13:33:44.487374,2025-07-25 13:55:47.205141,0 days 00:22:02.717767,0.43445357479846397,,Adam,ReduceLROnPlateau,,PRUNED
40,0.016768482536124014,2025-07-25 13:55:47.275181,2025-07-25 14:35:36.872362,0 days 00:39:49.597181,,0.5677881533468062,RMSprop,StepLR,10.0,PRUNED
41,0.03815582533895419,2025-07-25 14:35:36.917607,2025-07-25 14:38:45.134398,0 days 00:03:08.216791,,,Adam,CosineAnnealingLR,,PRUNED
42,0.018869011333602772,2025-07-25 14:38:45.150374,2025-07-25 15:10:17.031859,0 days 00:31:31.881485,,,Adam,CosineAnnealingLR,,PRUNED
43,0.05385675403374732,2025-07-25 15:10:17.051553,2025-07-25 15:13:25.468554,0 days 00:03:08.417001,,,Adam,CosineAnnealingLR,,PRUNED
44,0.3354345057306808,2025-07-25 15:13:25.474624,2025-07-25 15:16:31.033986,0 days 00:03:05.559362,,,SGD,CosineAnnealingLR,,PRUNED
45,0.03344894837580768,2025-07-25 15:16:31.057708,2025-07-25 15:19:44.723214,0 days 00:03:13.665506,0.6799170613652787,,Adam,ReduceLROnPlateau,,PRUNED
46,0.01914394830018971,2025-07-25 15:19:44.754394,2025-07-25 15:57:57.278748,0 days 00:38:12.524354,,0.310139349214152,Adam,StepLR,26.0,PRUNED
47,0.015750074705916155,2025-07-25 15:57:57.362445,2025-07-25 16:53:25.002172,0 days 00:55:27.639727,0.4026118096024989,,Adam,ReduceLROnPlateau,,PRUNED
48,0.04381577193857187,2025-07-25 16:53:25.090519,2025-07-25 16:58:38.141175,0 days 00:05:13.050656,,,Adam,CosineAnnealingLR,,PRUNED
49,0.053940527412287886,2025-07-25 16:58:38.180429,2025-07-25 17:02:57.836547,0 days 00:04:19.656118,0.5500836356332859,,RMSprop,ReduceLROnPlateau,,PRUNED
