number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_num_layers,params_seq_length,params_weight_decay,state
38,0.00047084974366501007,2025-05-16 04:48:59.449752,2025-05-16 05:40:01.261392,0 days 00:51:01.811640,32,0.0,32,5,720,0.0,COMPLETE
39,0.0009676428176685399,2025-05-16 05:40:01.263478,2025-05-16 06:35:25.021837,0 days 00:55:23.758359,128,0.1,256,2,144,0.0001,COMPLETE
40,0.00034998422240494024,2025-05-16 06:35:25.023960,2025-05-16 07:34:37.575672,0 days 00:59:12.551712,16,0.5,64,4,288,1e-06,COMPLETE
41,0.0005812802230426084,2025-05-16 07:34:37.577790,2025-05-16 08:42:07.429473,0 days 01:07:29.851683,16,0.5,64,4,288,1e-06,COMPLETE
42,0.0008482760613912203,2025-05-16 08:42:07.431837,2025-05-16 09:27:42.267574,0 days 00:45:34.835737,16,0.5,64,4,288,1e-06,COMPLETE
43,0.00027252855185445413,2025-05-16 09:27:42.355724,2025-05-16 11:10:06.605484,0 days 01:42:24.249760,16,0.5,64,4,288,1e-06,COMPLETE
44,0.00031823428441022115,2025-05-16 11:10:06.607112,2025-05-16 13:03:45.518093,0 days 01:53:38.910981,16,0.3,64,4,864,1e-06,COMPLETE
45,0.0004614520252777886,2025-05-16 13:03:45.520103,2025-05-16 13:57:09.668132,0 days 00:53:24.148029,64,0.0,64,2,720,0.0,COMPLETE
46,0.0007880096080433778,2025-05-16 13:57:09.670295,2025-05-16 16:26:51.966611,0 days 02:29:42.296316,32,0.5,128,4,576,1e-06,COMPLETE
47,0.0006371411268918,2025-05-16 16:26:51.969490,2025-05-16 18:54:36.913841,0 days 02:27:44.944351,16,0.3,32,2,1008,1e-05,COMPLETE
48,0.0011167301288824742,2025-05-16 18:54:36.915722,2025-05-16 19:53:36.430808,0 days 00:58:59.515086,32,0.2,128,3,288,1e-06,COMPLETE
49,0.0003725180432424967,2025-05-16 19:53:36.432836,2025-05-16 20:52:23.078035,0 days 00:58:46.645199,32,0.5,64,2,720,1e-06,COMPLETE
