epoch,train_loss,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.004550902998477645,0.0006171774908730809,1.962561046814369,0.11257045964428757,0.08691375280435804,0.4565965221501368,0.0,0.0001,64.61114835739136
1,0.003875874765561615,0.0005403154218305744,1.9610915089779577,0.11256680468905123,0.08691174257897805,0.5409416880404069,0.0,0.0001,64.66246891021729
2,0.00338154189474685,0.0002574412695086007,1.963261270970097,0.11257709701431678,0.08691740335787428,0.6171535137958929,0.0,0.0001,64.97130274772644
3,0.003401674487239819,0.00023562400997582966,1.9616153428016319,0.11256712530140194,0.086911918915771,0.6152969557926082,0.0,0.0001,64.5389289855957
4,0.0031275806303891493,0.00033948606777916223,1.963385165934067,0.1125749624841616,0.08691622936628873,0.6746627514675669,0.0,0.0001,64.63022994995117
5,0.0031452938908486158,0.0002932427621430522,1.9670878651498378,0.11259415877141375,0.08692678732427783,0.6814652498731848,0.0,0.0001,64.68845534324646
6,0.0031541742679745363,0.0005442833140943692,1.958330409701565,0.11255666255168228,0.08690616440342534,0.673804286293278,0.0,0.0001,64.93790936470032
7,0.0030350730045986462,0.0003460695359489341,1.9612202434899442,0.11256778744587376,0.08691228309523046,0.6998103174807035,0.0,0.0001,64.34606194496155
8,0.0029242947318868814,0.00021734029795438656,1.9639671076848384,0.1125790020735992,0.08691845114047968,0.7230160954036138,0.0,0.0001,64.63951230049133
9,0.0029140906912543028,0.00042918752128527393,1.9613085933428378,0.11256659574641914,0.08691162766053079,0.7208570638269391,0.0,0.0001,65.15794062614441
10,0.002880704479568347,0.0002424401145007951,1.9634473541628341,0.11258089009375932,0.08691948955156754,0.7287613692868942,0.0,0.0001,65.24250745773315
11,0.0028326181199851913,0.0006307049995095862,1.9635964803046813,0.11258124853505895,0.08691968669428234,0.7393430338009604,0.0,0.0001,66.37330794334412
12,0.0028215726536125183,0.00014540389293517315,1.9642397998695305,0.11257727063116109,0.08691749884713855,0.7459853046864298,0.0,0.0001,64.69719505310059
13,0.002756376246837518,0.0003767648261382838,1.9609474183366526,0.11256483518072895,0.08691065934940098,0.7617517412583235,0.0,0.0001,65.72357487678528
14,0.002716616001963432,0.000596555571352204,1.9607732273926475,0.11256668892010727,0.08691167890605893,0.7692933603907914,0.0,0.0001,65.46499752998352
15,0.002713944684569506,0.0005368392338988335,1.9607010211738016,0.11256280882450524,0.08690954485347797,0.7705811970655967,0.0,0.0001,65.60484981536865
16,0.002685253232361592,8.460544461960385e-05,1.9632365479080038,0.11257287240514402,0.08691507982282914,0.7794053073503137,0.0,0.0001,65.24121928215027
