epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,si_loss
0,0.004530295299301887,0.0020800667529865375,0.0001,65.8102343082428,0.004378941404423616,0.005925743987852508,0.0003428626397875349
1,0.0040757512826711485,0.0003913361284822977,0.0001,66.39669728279114,0.0039275457377647635,0.005691851538315576,0.0013286804686264888
2,0.003734980771651195,0.0004889053976933177,0.0001,66.11001253128052,0.003587217032919753,0.005511980354136721,0.002786854478634066
3,0.003451467763324973,0.000727902891428902,0.0001,67.52557325363159,0.0032995354488210924,0.005458389052207498,0.00474215390987371
4,0.0031602217245466214,0.0004763149407349901,0.0001,65.86818242073059,0.0030043384372085763,0.005371920062150075,0.00691558861882397
5,0.002927596571843391,0.0005542305763925656,0.0001,66.5653510093689,0.0027672172908287554,0.005294941855739434,0.0091965934083956
6,0.002657659932040484,0.00168199955318574,0.0001,67.66970109939575,0.0024955177635687447,0.005109675535468306,0.011482921445645791
7,0.002336817647389397,0.0005530169032865835,0.0001,65.97236680984497,0.0021683101548682407,0.005086103317647446,0.01394570725340916
8,0.0018700144629693665,0.00038597326176456197,5e-05,68.61723804473877,0.0016958267130273643,0.005103294006173001,0.015800341578301062
9,0.0017806342532241284,0.00047314953033958975,5e-05,80.88910293579102,0.0016029911509169072,0.005091288011945152,0.017130149239330043
10,0.0016705936631700594,0.0009567415843051683,5e-05,73.30060720443726,0.00149015541330546,0.005047431987187831,0.01851233403829087
11,0.0016014214386794491,0.0005605253890953192,5e-05,67.83265256881714,0.0014177429398397237,0.005011934738805578,0.019976910710345828
12,0.0015147370008650226,0.0007257236546992096,5e-05,86.44860172271729,0.0013279753167981273,0.004963869646494556,0.021498742125290255
13,0.0014426848004410254,0.0008226584803298709,5e-05,85.06271481513977,0.001251903985134457,0.004949756817319657,0.023046850353182873
14,0.001334334141820839,0.0007023278287586077,5e-05,93.26031017303467,0.001139164444281806,0.004941949464736188,0.02466913503031253
15,0.0012263082553590659,0.0008533903110072943,2.5e-05,92.66801905632019,0.0010275934035848943,0.00495020978558443,0.025848804219052546
16,0.001169162028344946,0.0008003296007032801,2.5e-05,92.10431933403015,0.0009685289144238356,0.004934543407528013,0.026667846560279308
17,0.0011302802660445516,0.0008327396824015115,2.5e-05,94.86723017692566,0.0009280624925586537,0.004908299420926522,0.027463842334554747
18,0.0011081789608192085,0.0009971827321901983,2.5e-05,97.66904354095459,0.0009039758554432565,0.004900022962767948,0.02824027606492954
19,0.0010746017471816266,0.0010472668524818573,2.5e-05,99.27777671813965,0.0008686880185922045,0.004881736424543036,0.029009399639550532
20,0.0010606175631055882,0.00100015812691464,2.5e-05,99.41672563552856,0.0008536031321273545,0.004846850415767013,0.029711801035507194
21,0.0010100192659874192,0.0010715700331241542,1.25e-05,97.25163912773132,0.0008001070331576984,0.004900084964610096,0.03025885872720582
22,0.0009815289506061042,0.0008756991648550954,1.25e-05,96.07061696052551,0.0007709324144962137,0.004885580821516217,0.03063105656635907
23,0.0009777997434680249,0.0010220195545822984,1.25e-05,95.10607481002808,0.0007666779136333502,0.004865204408247323,0.030999723962491912
24,0.0009728173920756961,0.0008749847489676108,1.25e-05,97.2430477142334,0.00076037791553495,0.00487672099137446,0.03136236700166614
25,0.0009534664239590298,0.0008741838533112095,1.25e-05,97.6247251033783,0.0007403943424099052,0.004863752250135692,0.03170249964247644
26,0.0009281693946077159,0.0009411386053060779,1.25e-05,96.99034357070923,0.0007140787687781563,0.004865884553837222,0.03204358840862409
27,0.0009210896945688903,0.0008889875428077144,6.25e-06,85.78343844413757,0.0007063644889812005,0.004861897234723778,0.032303807036630036
28,0.0009257985184030376,0.0010522634504260395,6.25e-06,85.2020571231842,0.000710723936649164,0.004855951978251229,0.032480732707633415
