fold,val_loss,RMSE,MAE,MAPE,R²
1,0.00038492168523596105,0.029231086,0.023147238,0.027165107,0.8941808938980103
2,0.0006307199900175011,0.031994298,0.025365965,0.030122645,0.8515338897705078
3,0.004301586456051996,0.13368447,0.10267665,0.13933873,-0.3848215341567993
4,0.0002705341658796863,0.034533422,0.028026601,0.02956837,-0.6066629886627197
Average,0.001396940574296286,0.05736082,0.044804115,0.056548715,0.18855756521224976
