epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,ewc_loss
0,0.015591772139840731,0.0014203105365236859,0.0001,187.89396238327026,0.015591772139840731,0.0,0.0
1,0.005018521651339279,0.0010159879459750226,0.0001,184.5922245979309,0.005018521651339279,0.0,0.0
2,0.0028479005741011464,0.0007331319025181988,0.0001,187.46423840522766,0.0028479005741011464,0.0,0.0
3,0.0016237618142211168,0.0007286306374436105,0.0001,185.7479248046875,0.0016237618142211168,0.0,0.0
4,0.0010044536680088058,0.00046342539400658577,0.0001,188.49287271499634,0.0010044536680088058,0.0,0.0
5,0.000743529721835873,0.0005020891346725971,0.0001,188.31030344963074,0.000743529721835873,0.0,0.0
6,0.000580463036141806,0.0004555852053318533,0.0001,191.0397298336029,0.000580463036141806,0.0,0.0
7,0.0004883161704676683,0.00033031257180972807,0.0001,191.3633689880371,0.0004883161704676683,0.0,0.0
8,0.00042845354905222363,0.0003627344750340918,0.0001,190.66465854644775,0.00042845354905222363,0.0,0.0
9,0.00044174157620970516,0.00031542238650998004,0.0001,190.53169083595276,0.00044174157620970516,0.0,0.0
10,0.0003517297976676748,0.00036179255559563454,0.0001,190.5214352607727,0.0003517297976676748,0.0,0.0
11,0.000294209745582981,0.0004217830936606065,0.0001,191.40017652511597,0.000294209745582981,0.0,0.0
12,0.0002215696032814261,0.00048609126407485206,0.0001,191.24533438682556,0.0002215696032814261,0.0,0.0
13,0.00021463084083016187,0.0005376773576060612,0.0001,190.94683718681335,0.00021463084083016187,0.0,0.0
14,0.00023328301478502166,0.0005140554492275839,0.0001,196.88000297546387,0.00023328301478502166,0.0,0.0
15,0.00018702535147185277,0.0004277823766919911,5e-05,189.91551661491394,0.00018702535147185277,0.0,0.0
16,0.00015594796978708243,0.00044492570328943167,5e-05,189.35769271850586,0.00015594796978708243,0.0,0.0
17,0.00013746382947250145,0.0005092710745836138,5e-05,191.77267122268677,0.00013746382947250145,0.0,0.0
18,0.00013395914374921293,0.00037709379003342237,5e-05,188.43335056304932,0.00013395914374921293,0.0,0.0
19,0.00012967628981891036,0.0005343242053230126,5e-05,269.9162347316742,0.00012967628981891036,0.0,0.0
20,0.0001271837624472751,0.0006323018464727355,5e-05,319.71477007865906,0.0001271837624472751,0.0,0.0
21,0.0001257849321605989,0.0004851707507696925,2.5e-05,317.48690271377563,0.0001257849321605989,0.0,0.0
22,0.00011158058425968679,0.0005696093148730763,2.5e-05,257.2563180923462,0.00011158058425968679,0.0,0.0
23,0.00011259215829645541,0.0006693935648826295,2.5e-05,252.24782919883728,0.00011259215829645541,0.0,0.0
24,0.00010925001780555962,0.0006799550594447248,2.5e-05,277.41656970977783,0.00010925001780555962,0.0,0.0
25,0.00011386894389659894,0.0005896041345285182,2.5e-05,225.14706134796143,0.00011386894389659894,0.0,0.0
26,0.00010710080062060675,0.0006634364250299235,2.5e-05,229.27826833724976,0.00010710080062060675,0.0,0.0
27,0.00010708131429950844,0.000686199902178443,1.25e-05,271.550404548645,0.00010708131429950844,0.0,0.0
28,0.00010031363191937868,0.0006155462307204568,1.25e-05,297.2137246131897,0.00010031363191937868,0.0,0.0
29,9.986382900939198e-05,0.0006003098633482471,1.25e-05,215.26898765563965,9.986382900939198e-05,0.0,0.0
