number,value,datetime_start,datetime_complete,duration,params_lambda1,params_lambda2,user_attrs_delta0_after1,user_attrs_delta0_after2,user_attrs_delta1_after2,user_attrs_val_update1,user_attrs_val_update2,state
33,9.857860993656132,2025-06-19 07:32:27.501291,2025-06-19 08:22:41.085220,0 days 00:50:13.583929,21742.178439650088,43.12279841068195,0.0114891995,0.08584268,-0.0002783537,0.0017877375318151678,0.0006332132438432596,COMPLETE
34,6.210243845162921,2025-06-19 08:22:41.087288,2025-06-19 09:07:13.328186,0 days 00:44:32.240898,3.5114545653384592,302.09252557040315,0.0024547186,0.014323534,0.043764748,0.0014439230468456645,0.002454671337003372,COMPLETE
35,9.127252844849698,2025-06-19 09:07:13.330008,2025-06-19 10:14:40.363318,0 days 01:07:27.033310,45483.227727128644,2059.764665593058,0.0013426039,0.033833988,-0.055509053,0.001332341650960903,0.00013486667439216774,COMPLETE
36,18.380000826776083,2025-06-19 10:14:40.365970,2025-06-19 11:26:38.163405,0 days 01:11:57.797435,47.38576824309867,0.39679999665757465,0.008027062,0.123997,0.05056073,0.001960221817596235,0.0010778085996686838,COMPLETE
37,3.651460289603733,2025-06-19 11:26:38.165185,2025-06-19 12:23:52.505624,0 days 00:57:14.340439,8190.0693174816615,6110.711846915593,0.0065530054,0.021240277,-0.008329917,0.0005571699815459904,0.0004213387875852793,COMPLETE
38,2.876444377406787,2025-06-19 12:23:52.509453,2025-06-19 13:10:12.055012,0 days 00:46:19.545559,518.6116694341331,1.3986880211727555,0.0028342307,0.0072446633,-0.017639674,0.0014466337671161763,0.0011680551162170038,COMPLETE
39,8.10024291465211,2025-06-19 13:10:12.056767,2025-06-19 13:54:53.923879,0 days 00:44:41.867112,282.72591756627793,0.020120984774713982,0.003191445,0.057586126,-0.018895447,0.0020842051874819844,0.0012393219125863544,COMPLETE
40,3.677841285275716,2025-06-19 13:54:53.928578,2025-06-19 14:38:32.549530,0 days 00:43:38.620952,420.7712545488119,0.08376244669488896,0.0022424664,0.0057298187,0.027789712,0.0013407179886612702,0.0012003213840038704,COMPLETE
41,3.796038739192748,2025-06-19 14:38:32.551591,2025-06-19 15:24:29.998824,0 days 00:45:57.447233,2665.643222852489,0.883702424918256,0.0038649887,0.008710438,0.02427385,0.0015123697707913866,0.0012654059740109648,COMPLETE
42,11.454759592640364,2025-06-19 15:24:30.002594,2025-06-19 16:22:43.694822,0 days 00:58:13.692228,73075.80493852451,2.6596590349880245,0.0019705743,0.03862769,-0.073169634,0.0017292994668400752,0.0002199414170458486,COMPLETE
43,0.7382322826176173,2025-06-19 16:22:43.697481,2025-06-19 17:10:17.153771,0 days 00:47:33.456290,1919.1667298329062,0.18393944199331227,0.0014283676,-0.0020379573,-0.0030860081,0.001316043353285161,0.0007589311815971634,COMPLETE
44,12.004154209238129,2025-06-19 17:10:17.155192,2025-06-19 18:15:31.569098,0 days 01:05:14.413906,163.4604360466812,0.17055885354374392,0.002094347,0.086821064,-0.030068256,0.0015337906112305839,0.0011108962600853997,COMPLETE
45,6.914926858480894,2025-06-19 18:15:31.571200,2025-06-19 19:10:00.596693,0 days 00:54:29.025493,30.8572889189398,0.29735970448381727,0.007380642,0.016544228,0.044745058,0.0007475853307829235,0.00045076553674982086,COMPLETE
46,8.806031642861862,2025-06-19 19:10:00.598327,2025-06-19 20:25:16.758365,0 days 01:15:16.160038,1990.3969032891982,0.9147931791457969,0.0016577635,0.061813287,-0.024137422,0.0010688032312681018,6.0804401679320606e-05,COMPLETE
47,1.6293767582012244,2025-06-19 20:25:16.769593,2025-06-19 21:08:56.857569,0 days 00:43:40.087976,536.4372021023331,0.03161323949101616,0.00083273277,0.0056493487,0.008481763,0.0013781393307667805,0.0019466676466270171,COMPLETE
48,6.903221970047705,2025-06-19 21:08:56.859336,2025-06-19 22:03:27.639751,0 days 00:54:30.780415,8.64732841110387,0.018080534523329226,0.0045793187,0.03004481,-0.033784688,0.0011436403168420689,0.0004148663022475598,COMPLETE
49,12.393513191588445,2025-06-19 22:03:27.643130,2025-06-19 22:52:49.461565,0 days 00:49:21.818435,202.29658011182872,0.046842619125159704,0.002504317,0.08166892,-0.03909369,0.001225991546107699,0.00044451384216521084,COMPLETE
