epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0006914979115074567,0.0006914979115074567,0.0,0.0,0.000768063549179246,0.0,0.0,0.0,0.0,0.0,5e-05,104.23765420913696
1,0.0005561868187880299,0.0005560850163022816,0.0,1.0180248574823562e-07,0.000506748347848181,0.0,0.0,0.0008300999999999639,0.0,0.00018303649476999546,5e-05,102.35889673233032
2,0.0005637570742528405,0.0005633564519474122,0.0,4.006223054283546e-07,0.0007084511713155152,0.0,0.0,0.0016601999999999277,0.0,0.000710629318415752,5e-05,103.89964723587036
3,0.0005165457018959201,0.0005156137188273341,0.0,9.319830685859897e-07,0.00013921883043665977,0.0,0.0,0.0024902999999999167,0.0,0.0018042606204354344,5e-05,100.90584230422974
4,0.0004645583097338779,0.00046275459430236774,0.0,1.8037154315101762e-06,0.00038064823791048166,0.0,0.0,0.0033203999999998554,0.0,0.0038826459320971656,5e-05,102.64622712135315
5,0.00040567665155531176,0.00040264293441019433,0.0,3.033717145117411e-06,0.00012299790920565671,0.0,0.0,0.0041504999999999095,0.0,0.007478165513066952,5e-05,71.05410599708557
6,0.0003737628034792598,0.00036909422181492416,0.0,4.668581664335595e-06,0.00020939303231377678,0.0,0.0,0.004980599999999833,0.0,0.012490760506066935,5e-05,53.01253342628479
7,0.00038597873933840315,0.0003791964490829766,0.0,6.782290255426544e-06,0.00017912388908316993,0.0,0.0,0.005810699999999779,0.0,0.017571667981122235,5e-05,52.46571159362793
8,0.00036615864322170534,0.00035700319229236833,0.0,9.155450929337025e-06,0.00013946182081747376,0.0,0.0,0.006640799999999711,0.0,0.025004055206184202,5e-05,52.776201486587524
9,0.0003392979490600427,0.00032737677209046875,0.0,1.192117696957395e-05,0.00013709926858651336,0.0,0.0,0.00747089999999991,0.0,0.03513483356618923,5e-05,54.7440402507782
10,0.00030999847430190734,0.0002948438440803595,0.0,1.5154630221547806e-05,0.0001996804442849529,0.0,0.0,0.008300999999999819,0.0,0.048886144538855765,5e-05,52.36031150817871
11,0.00030846765381121636,0.00029164494161463867,0.0,1.6822712196577696e-05,0.00026974260216638783,0.0,0.0,0.008300999999999819,0.0,0.054536389759923656,2.5e-05,53.48817563056946
12,0.000251852099565004,0.0002336695189666561,0.0,1.818258059834788e-05,0.0003190494935149077,0.0,0.0,0.008300999999999819,0.0,0.07219546960201094,2.5e-05,52.76752853393555
13,0.00023316868487218385,0.00021384851125932263,0.0,1.9320173612861234e-05,0.00040532745985213893,0.0,0.0,0.008300999999999819,0.0,0.08285921252012027,2.5e-05,52.94672131538391
14,0.00023104754404608253,0.00021058188978073387,0.0,2.0465654265348653e-05,0.0003058787102560643,0.0,0.0,0.008300999999999819,0.0,0.0885776749969122,2.5e-05,52.46229100227356
15,0.0002288745633036069,0.00020737664269701619,0.0,2.1497920606590683e-05,0.00017721819252361227,0.0,0.0,0.008300999999999819,0.0,0.09392883287809158,2.5e-05,52.767810583114624
16,0.00022865895440044514,0.00020627599318957283,0.0,2.238296121087231e-05,0.0003092611090008531,0.0,0.0,0.008300999999999819,0.0,0.09788797149694627,2.5e-05,52.6983323097229
17,0.00020708270217009836,0.00018384411022124978,0.0,2.3238591948848564e-05,0.0002692913931726108,0.0,0.0,0.008300999999999819,0.0,0.11221889469918311,1.25e-05,52.64616799354553
18,0.00019537212462914053,0.0001714174840188641,0.0,2.3954640610276446e-05,0.0002943590781045562,0.0,0.0,0.008300999999999819,0.0,0.12261032967598448,1.25e-05,52.66388392448425
19,0.00019992369108436307,0.00017546307530899344,0.0,2.4460615775369608e-05,0.00029638270444840085,0.0,0.0,0.008300999999999819,0.0,0.12234976076471,1.25e-05,52.5699782371521
20,0.00019302857696571618,0.00016811789330431958,0.0,2.491068366139659e-05,0.00030799470475418943,0.0,0.0,0.008300999999999819,0.0,0.12905179146516205,1.25e-05,52.91446876525879
21,0.00018686417998013411,0.00016146827068971175,0.0,2.5395909290422383e-05,0.00023038973308471013,0.0,0.0,0.008300999999999819,0.0,0.13590571126645176,1.25e-05,54.752009868621826
22,0.0001869310083629963,0.0001610544063751479,0.0,2.5876601987848392e-05,0.0003426546853757979,0.0,0.0,0.008300999999999819,0.0,0.1384286224872832,1.25e-05,53.058929681777954
23,0.00018320350245842578,0.0001568643932030226,0.0,2.6339109255403162e-05,0.0003344145430634137,0.0,0.0,0.008300999999999819,0.0,0.14376968181260769,6.25e-06,53.00015878677368
24,0.00017701790145157052,0.00015038962799579505,0.0,2.6628273455775483e-05,0.00031098061764264686,0.0,0.0,0.008300999999999819,0.0,0.15042700900541736,6.25e-06,55.72480797767639
25,0.00017330861965026312,0.000146490720831543,0.0,2.6817898818720113e-05,0.00026869056278752375,0.0,0.0,0.008300999999999819,0.0,0.15474070979757756,6.25e-06,55.1566104888916
