task,current_task_R2,current_task_MAE,current_task_RMSE,test_full_R2,test_full_MAE,test_full_RMSE,EWC_lambda,LWF_alpha
task0,-3.338817596435547,0.045395735651254654,0.05225834622979164,-0.1948537826538086,0.0730363205075264,0.0919710099697113,0.0,0.0
task1,-1.5824666023254395,0.03675496205687523,0.040872227400541306,0.6323046684265137,0.03911478817462921,0.051019664853811264,0.0,0.0
task2,-20.05725860595703,0.08002417534589767,0.08176981657743454,0.4392464756965637,0.05817136913537979,0.06300565600395203,0.0,0.0
