,eval_task0,eval_task1,eval_task2
after_task0,-0.02909592166543007,-0.07773160189390182,-0.26696062088012695
after_task1,-0.08404146134853363,-0.0381905622780323,-0.05467263609170914
after_task2,-0.09637115150690079,-0.012485751882195473,-0.03892598673701286
