number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_num_layers,params_seq_length,params_weight_decay,state
38,0.0004884492250721257,2025-06-13 00:55:47.889292,2025-06-13 02:37:45.915710,0 days 01:41:58.026418,16,0.2,64,5,720,1e-06,COMPLETE
39,0.0007776617658989759,2025-06-13 02:37:45.917592,2025-06-13 04:46:17.669333,0 days 02:08:31.751741,128,0.1,128,3,576,1e-06,COMPLETE
40,0.0008770387377277784,2025-06-13 04:46:17.671183,2025-06-13 05:54:18.143303,0 days 01:08:00.472120,16,0.1,64,4,144,1e-06,COMPLETE
41,0.0008427471400553053,2025-06-13 05:54:18.144884,2025-06-13 08:25:23.993358,0 days 02:31:05.848474,128,0.4,128,3,864,1e-06,COMPLETE
42,0.00028505061561836983,2025-06-13 08:25:23.995081,2025-06-13 15:01:33.165003,0 days 06:36:09.169922,128,0.4,128,3,864,1e-06,COMPLETE
43,0.0006561284546037327,2025-06-13 15:01:33.166599,2025-06-13 17:44:07.576612,0 days 02:42:34.410013,128,0.4,128,3,864,1e-06,COMPLETE
44,0.0003623746284213591,2025-06-13 17:44:07.578794,2025-06-13 18:12:32.819048,0 days 00:28:25.240254,128,0.4,32,3,864,1e-05,COMPLETE
45,0.00133191897635489,2025-06-13 18:12:32.820853,2025-06-13 19:31:40.973206,0 days 01:19:08.152353,64,0.0,128,3,288,0.0001,COMPLETE
46,0.0004327977246073288,2025-06-13 19:31:40.975460,2025-06-13 20:20:49.823947,0 days 00:49:08.848487,128,0.3,32,4,864,1e-06,COMPLETE
47,0.00034115137039475153,2025-06-13 20:20:49.825504,2025-06-13 21:33:20.876592,0 days 01:12:31.051088,32,0.4,64,2,1008,0.0,COMPLETE
48,0.000697927448407684,2025-06-13 21:33:20.879382,2025-06-13 23:32:43.938519,0 days 01:59:23.059137,128,0.5,128,3,432,1e-06,COMPLETE
49,0.00024878570330632947,2025-06-13 23:32:43.940304,2025-06-14 00:04:39.434073,0 days 00:31:55.493769,64,0.2,64,2,144,1e-05,COMPLETE
