number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_num_layers,params_sequence_length,params_weight_decay,state
38,0.0032658602318810814,2025-07-17 22:20:31.285896,2025-07-18 06:16:17.910648,0 days 07:55:46.624752,32,0.0,256,4,696,0.0,COMPLETE
39,0.001651574366938173,2025-07-18 06:16:17.917068,2025-07-18 07:18:48.202890,0 days 01:02:30.285822,32,0.0,32,5,612,1e-06,COMPLETE
40,0.0006794700215695662,2025-07-18 07:18:48.209546,2025-07-18 08:50:08.876442,0 days 01:31:20.666896,32,0.0,128,3,762,0.0001,COMPLETE
41,0.0005949302875979628,2025-07-18 08:50:08.901381,2025-07-18 09:49:48.407488,0 days 00:59:39.506107,32,0.0,64,2,870,0.0001,COMPLETE
42,0.000669503678184651,2025-07-18 09:49:48.411835,2025-07-18 10:36:09.201120,0 days 00:46:20.789285,32,0.0,64,2,852,0.0001,COMPLETE
43,0.0005716410599225595,2025-07-18 10:36:09.207258,2025-07-18 11:10:54.067300,0 days 00:34:44.860042,32,0.0,64,2,786,0.0001,COMPLETE
44,0.0006577559385709508,2025-07-18 11:10:54.074701,2025-07-18 11:59:39.995441,0 days 00:48:45.920740,32,0.0,64,2,726,0.0001,COMPLETE
45,0.0006401568322313281,2025-07-18 11:59:40.001350,2025-07-18 12:42:39.615144,0 days 00:42:59.613794,32,0.0,64,2,780,0.0001,COMPLETE
46,0.0006980039027926627,2025-07-18 12:42:39.620469,2025-07-18 13:09:15.403777,0 days 00:26:35.783308,32,0.0,64,2,678,0.0001,COMPLETE
47,0.0009005880586034019,2025-07-18 13:09:15.409390,2025-07-18 13:27:16.329132,0 days 00:18:00.919742,128,0.0,64,2,522,1e-05,COMPLETE
48,0.0017720069448345713,2025-07-18 13:27:16.337993,2025-07-18 13:57:52.351316,0 days 00:30:36.013323,32,0.0,64,2,618,1e-06,COMPLETE
49,0.0007175779884297424,2025-07-18 13:57:52.356871,2025-07-18 14:31:20.355123,0 days 00:33:27.998252,64,0.2,64,2,798,0.0001,COMPLETE
